Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,18.0,20.0,19.0,22.0,16.0,23.0,22.0,17.0,20.0,21.0,21.0,23.0,22.0,21.0,20.0,24.0,23.0,18.0,22.0,21.0,23.0,20.0,24.0,22.0,19.0,23.0,21.0,23.0,19.0,22.0,20.967,2.025
1,18.0,20.0,19.0,22.0,16.0,23.0,21.0,17.0,17.0,21.0,21.0,23.0,21.0,20.0,20.0,22.0,23.0,18.0,21.0,20.0,23.0,19.0,23.0,21.0,19.0,20.0,21.0,18.0,19.0,22.0,20.267,1.931
2,18.0,20.0,19.0,22.0,16.0,19.0,21.0,17.0,17.0,21.0,21.0,22.0,21.0,20.0,20.0,20.0,18.0,18.0,17.0,20.0,21.0,19.0,21.0,21.0,19.0,20.0,21.0,18.0,19.0,17.0,19.433,1.627
3,18.0,20.0,19.0,22.0,16.0,19.0,21.0,17.0,17.0,20.0,21.0,22.0,21.0,20.0,20.0,20.0,18.0,18.0,17.0,20.0,21.0,19.0,21.0,21.0,19.0,18.0,20.0,18.0,19.0,17.0,19.3,1.595
4,18.0,20.0,19.0,22.0,16.0,19.0,21.0,17.0,17.0,20.0,21.0,22.0,21.0,20.0,19.0,20.0,18.0,18.0,17.0,20.0,21.0,17.0,21.0,20.0,19.0,18.0,20.0,18.0,19.0,17.0,19.167,1.614
5,18.0,20.0,19.0,20.0,16.0,19.0,21.0,17.0,17.0,20.0,21.0,22.0,21.0,20.0,19.0,20.0,18.0,18.0,17.0,20.0,21.0,17.0,21.0,20.0,19.0,18.0,20.0,18.0,19.0,17.0,19.1,1.535
6,18.0,20.0,19.0,20.0,16.0,19.0,21.0,17.0,17.0,20.0,20.0,22.0,21.0,19.0,19.0,20.0,18.0,18.0,17.0,18.0,19.0,17.0,21.0,20.0,19.0,18.0,20.0,18.0,19.0,17.0,18.9,1.446
7,18.0,20.0,19.0,20.0,16.0,19.0,21.0,17.0,17.0,20.0,20.0,22.0,21.0,19.0,19.0,20.0,18.0,18.0,17.0,18.0,19.0,17.0,20.0,20.0,19.0,18.0,20.0,18.0,19.0,17.0,18.867,1.408
8,18.0,19.0,19.0,20.0,16.0,19.0,21.0,17.0,17.0,19.0,18.0,22.0,21.0,19.0,19.0,20.0,18.0,18.0,17.0,18.0,19.0,17.0,20.0,20.0,19.0,18.0,20.0,18.0,19.0,17.0,18.733,1.365
9,18.0,19.0,19.0,20.0,16.0,19.0,21.0,17.0,17.0,19.0,18.0,22.0,21.0,19.0,19.0,20.0,18.0,18.0,17.0,18.0,19.0,17.0,20.0,20.0,19.0,18.0,20.0,18.0,19.0,17.0,18.733,1.365
10,18.0,19.0,19.0,20.0,16.0,19.0,21.0,17.0,17.0,19.0,18.0,20.0,21.0,19.0,19.0,20.0,18.0,18.0,17.0,18.0,19.0,17.0,20.0,20.0,19.0,18.0,20.0,18.0,19.0,17.0,18.667,1.247
11,18.0,19.0,19.0,20.0,16.0,19.0,21.0,17.0,17.0,19.0,18.0,19.0,21.0,19.0,19.0,20.0,18.0,18.0,17.0,18.0,19.0,17.0,20.0,20.0,19.0,18.0,20.0,18.0,19.0,17.0,18.633,1.224
12,18.0,19.0,19.0,20.0,16.0,19.0,21.0,17.0,17.0,19.0,18.0,15.0,21.0,19.0,19.0,18.0,18.0,18.0,17.0,18.0,19.0,17.0,20.0,20.0,19.0,18.0,20.0,18.0,19.0,17.0,18.433,1.359
13,18.0,19.0,18.0,20.0,16.0,19.0,21.0,17.0,17.0,19.0,18.0,15.0,21.0,19.0,19.0,18.0,18.0,18.0,17.0,18.0,19.0,17.0,20.0,20.0,19.0,18.0,19.0,18.0,19.0,17.0,18.367,1.329
