Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,21.0,19.0,19.0,22.0,19.0,19.0,20.0,21.0,22.0,19.0,21.0,20.0,20.0,16.0,16.0,21.0,22.0,21.0,22.0,17.0,19.0,20.0,15.0,21.0,21.0,22.0,21.0,19.0,17.0,21.0,19.767,1.909
1,21.0,19.0,18.0,21.0,19.0,19.0,20.0,19.0,20.0,18.0,19.0,20.0,20.0,15.0,16.0,18.0,20.0,20.0,22.0,17.0,17.0,20.0,15.0,18.0,20.0,21.0,21.0,18.0,16.0,19.0,18.867,1.784
2,18.0,16.0,18.0,18.0,17.0,19.0,18.0,15.0,20.0,18.0,19.0,20.0,20.0,15.0,15.0,15.0,19.0,20.0,20.0,17.0,17.0,17.0,15.0,18.0,20.0,18.0,21.0,18.0,14.0,19.0,17.8,1.869
3,18.0,16.0,16.0,18.0,17.0,18.0,16.0,15.0,20.0,16.0,19.0,20.0,17.0,15.0,15.0,15.0,16.0,15.0,18.0,17.0,15.0,15.0,15.0,17.0,17.0,18.0,16.0,15.0,14.0,17.0,16.533,1.543
4,18.0,16.0,16.0,16.0,17.0,18.0,16.0,14.0,17.0,15.0,18.0,18.0,17.0,15.0,15.0,15.0,16.0,15.0,18.0,16.0,14.0,15.0,15.0,16.0,17.0,18.0,15.0,15.0,14.0,14.0,15.967,1.329
5,16.0,16.0,16.0,16.0,14.0,18.0,16.0,12.0,17.0,13.0,18.0,18.0,17.0,15.0,13.0,15.0,16.0,15.0,16.0,16.0,14.0,13.0,15.0,16.0,17.0,18.0,15.0,15.0,14.0,14.0,15.467,1.586
6,16.0,16.0,16.0,16.0,14.0,17.0,16.0,12.0,15.0,13.0,13.0,17.0,17.0,14.0,13.0,15.0,15.0,14.0,15.0,16.0,14.0,13.0,12.0,16.0,17.0,17.0,15.0,13.0,13.0,14.0,14.8,1.558
7,16.0,14.0,16.0,16.0,10.0,15.0,15.0,12.0,15.0,13.0,13.0,17.0,15.0,14.0,13.0,15.0,15.0,12.0,15.0,16.0,14.0,12.0,11.0,15.0,17.0,16.0,15.0,13.0,12.0,14.0,14.2,1.74
8,13.0,14.0,14.0,14.0,10.0,14.0,15.0,11.0,14.0,12.0,13.0,17.0,15.0,12.0,8.0,13.0,15.0,12.0,14.0,14.0,14.0,9.0,11.0,15.0,14.0,16.0,15.0,13.0,11.0,13.0,13.167,1.985
9,13.0,14.0,14.0,14.0,9.0,14.0,14.0,10.0,13.0,12.0,13.0,14.0,15.0,12.0,8.0,13.0,14.0,11.0,14.0,14.0,12.0,9.0,9.0,14.0,14.0,16.0,14.0,12.0,11.0,12.0,12.6,1.96
10,12.0,14.0,14.0,13.0,9.0,14.0,14.0,10.0,13.0,12.0,12.0,14.0,15.0,10.0,8.0,13.0,14.0,11.0,13.0,13.0,12.0,9.0,9.0,13.0,13.0,16.0,14.0,12.0,10.0,11.0,12.233,1.961
11,12.0,14.0,13.0,12.0,9.0,13.0,14.0,9.0,10.0,11.0,12.0,14.0,11.0,8.0,8.0,12.0,14.0,10.0,13.0,12.0,12.0,8.0,8.0,12.0,13.0,14.0,14.0,11.0,10.0,10.0,11.433,1.995
12,11.0,10.0,13.0,10.0,7.0,12.0,13.0,9.0,10.0,11.0,12.0,14.0,10.0,8.0,8.0,11.0,13.0,9.0,12.0,9.0,12.0,7.0,8.0,12.0,12.0,14.0,12.0,10.0,10.0,10.0,10.633,1.923
13,9.0,10.0,12.0,10.0,7.0,12.0,13.0,9.0,10.0,10.0,12.0,13.0,10.0,8.0,6.0,11.0,13.0,9.0,12.0,9.0,12.0,7.0,8.0,10.0,12.0,14.0,11.0,9.0,9.0,8.0,10.167,2.001
14,9.0,10.0,11.0,9.0,7.0,9.0,12.0,9.0,8.0,10.0,11.0,13.0,10.0,7.0,6.0,11.0,12.0,8.0,11.0,7.0,11.0,7.0,8.0,10.0,12.0,14.0,11.0,9.0,9.0,8.0,9.633,1.941
15,8.0,10.0,10.0,9.0,6.0,9.0,11.0,8.0,8.0,9.0,11.0,13.0,8.0,7.0,6.0,11.0,11.0,7.0,10.0,6.0,11.0,7.0,8.0,9.0,12.0,14.0,11.0,8.0,9.0,7.0,9.133,2.045
16,7.0,10.0,9.0,9.0,6.0,9.0,11.0,8.0,7.0,9.0,11.0,12.0,8.0,5.0,6.0,10.0,9.0,7.0,9.0,6.0,11.0,7.0,8.0,9.0,11.0,14.0,9.0,8.0,9.0,7.0,8.7,1.969
17,7.0,9.0,8.0,9.0,6.0,9.0,11.0,8.0,7.0,9.0,10.0,12.0,7.0,5.0,6.0,10.0,9.0,6.0,9.0,6.0,11.0,7.0,8.0,9.0,10.0,14.0,9.0,8.0,8.0,7.0,8.467,1.945
18,6.0,9.0,7.0,9.0,6.0,9.0,11.0,7.0,7.0,9.0,9.0,10.0,7.0,5.0,6.0,10.0,9.0,6.0,8.0,5.0,10.0,6.0,8.0,9.0,10.0,14.0,9.0,8.0,8.0,6.0,8.1,1.955
19,6.0,8.0,7.0,8.0,6.0,9.0,11.0,6.0,7.0,8.0,9.0,10.0,5.0,5.0,6.0,10.0,8.0,5.0,8.0,5.0,9.0,6.0,7.0,9.0,10.0,14.0,7.0,8.0,7.0,6.0,7.667,2.022
20,5.0,8.0,5.0,8.0,6.0,8.0,10.0,6.0,7.0,8.0,8.0,10.0,5.0,5.0,6.0,10.0,8.0,5.0,8.0,5.0,9.0,6.0,7.0,7.0,9.0,13.0,7.0,8.0,7.0,5.0,7.3,1.9
21,5.0,8.0,5.0,8.0,6.0,8.0,10.0,6.0,5.0,8.0,8.0,10.0,5.0,5.0,6.0,9.0,8.0,5.0,8.0,5.0,8.0,6.0,7.0,7.0,9.0,11.0,7.0,8.0,7.0,5.0,7.1,1.7
22,5.0,8.0,5.0,8.0,5.0,5.0,10.0,6.0,5.0,7.0,8.0,10.0,5.0,5.0,5.0,9.0,8.0,5.0,7.0,5.0,8.0,6.0,7.0,7.0,9.0,11.0,7.0,8.0,7.0,4.0,6.833,1.809
23,5.0,6.0,5.0,8.0,5.0,5.0,10.0,6.0,5.0,7.0,8.0,10.0,5.0,5.0,5.0,9.0,6.0,5.0,7.0,5.0,7.0,6.0,7.0,7.0,9.0,11.0,5.0,8.0,7.0,4.0,6.6,1.8
24,5.0,6.0,5.0,8.0,5.0,5.0,10.0,6.0,5.0,7.0,8.0,10.0,5.0,5.0,5.0,9.0,6.0,5.0,7.0,5.0,7.0,6.0,6.0,7.0,9.0,10.0,5.0,8.0,7.0,4.0,6.533,1.727
