Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,21.0,18.0,21.0,21.0,17.0,17.0,20.0,18.0,20.0,22.0,20.0,18.0,22.0,21.0,23.0,20.0,22.0,21.0,22.0,21.0,18.0,18.0,20.0,21.0,13.0,20.0,20.0,22.0,22.0,19.0,19.933,2.065
1,18.0,18.0,21.0,21.0,17.0,17.0,17.0,18.0,20.0,20.0,18.0,18.0,21.0,20.0,19.0,20.0,21.0,21.0,20.0,20.0,18.0,18.0,20.0,19.0,13.0,20.0,20.0,20.0,19.0,19.0,19.033,1.683
2,16.0,18.0,19.0,17.0,17.0,16.0,17.0,18.0,19.0,18.0,16.0,18.0,21.0,15.0,19.0,20.0,21.0,19.0,16.0,20.0,18.0,18.0,20.0,18.0,13.0,18.0,20.0,17.0,19.0,19.0,18.0,1.77
3,16.0,18.0,19.0,17.0,17.0,16.0,17.0,18.0,19.0,18.0,16.0,17.0,20.0,15.0,19.0,19.0,20.0,19.0,15.0,19.0,18.0,18.0,19.0,18.0,13.0,18.0,17.0,17.0,19.0,19.0,17.667,1.578
4,15.0,18.0,19.0,17.0,15.0,16.0,15.0,18.0,19.0,18.0,16.0,17.0,16.0,15.0,18.0,18.0,18.0,19.0,15.0,17.0,18.0,18.0,19.0,18.0,13.0,14.0,17.0,17.0,17.0,18.0,16.933,1.569
5,15.0,18.0,19.0,17.0,15.0,16.0,15.0,17.0,17.0,18.0,16.0,17.0,16.0,15.0,17.0,18.0,18.0,17.0,15.0,16.0,13.0,18.0,19.0,18.0,13.0,14.0,13.0,16.0,16.0,18.0,16.333,1.68
6,15.0,16.0,19.0,16.0,15.0,14.0,15.0,15.0,15.0,18.0,16.0,15.0,16.0,14.0,17.0,18.0,18.0,17.0,15.0,16.0,13.0,17.0,17.0,18.0,13.0,14.0,13.0,16.0,16.0,18.0,15.833,1.614
7,15.0,16.0,19.0,16.0,15.0,14.0,15.0,15.0,15.0,18.0,16.0,15.0,16.0,14.0,14.0,17.0,17.0,17.0,15.0,16.0,12.0,14.0,17.0,16.0,13.0,13.0,13.0,16.0,16.0,16.0,15.367,1.538
8,15.0,16.0,19.0,16.0,15.0,14.0,14.0,15.0,15.0,17.0,16.0,15.0,16.0,14.0,14.0,17.0,17.0,15.0,15.0,16.0,12.0,14.0,17.0,16.0,13.0,13.0,13.0,13.0,12.0,16.0,15.0,1.612
9,15.0,16.0,17.0,16.0,15.0,14.0,14.0,15.0,15.0,15.0,16.0,15.0,14.0,14.0,14.0,17.0,17.0,14.0,13.0,16.0,10.0,14.0,15.0,15.0,13.0,12.0,13.0,13.0,12.0,16.0,14.5,1.586
10,14.0,14.0,16.0,16.0,12.0,14.0,13.0,12.0,13.0,14.0,16.0,14.0,14.0,12.0,14.0,17.0,17.0,14.0,12.0,16.0,9.0,12.0,15.0,15.0,10.0,12.0,13.0,13.0,12.0,16.0,13.7,1.917
11,14.0,14.0,16.0,16.0,12.0,14.0,11.0,12.0,13.0,14.0,12.0,11.0,14.0,12.0,14.0,17.0,17.0,14.0,10.0,14.0,8.0,10.0,13.0,15.0,10.0,11.0,13.0,13.0,12.0,16.0,13.067,2.159
12,13.0,14.0,16.0,16.0,12.0,13.0,10.0,12.0,11.0,13.0,12.0,8.0,14.0,11.0,14.0,17.0,15.0,14.0,10.0,14.0,7.0,10.0,13.0,13.0,10.0,10.0,12.0,11.0,12.0,14.0,12.367,2.273
13,12.0,14.0,16.0,16.0,11.0,11.0,10.0,10.0,11.0,12.0,12.0,8.0,12.0,8.0,12.0,17.0,14.0,12.0,8.0,14.0,5.0,10.0,13.0,13.0,7.0,9.0,11.0,10.0,11.0,13.0,11.4,2.666
14,12.0,14.0,15.0,15.0,8.0,9.0,8.0,10.0,10.0,10.0,11.0,8.0,12.0,8.0,11.0,14.0,14.0,10.0,8.0,13.0,5.0,10.0,11.0,11.0,7.0,9.0,10.0,10.0,9.0,13.0,10.5,2.432
15,9.0,14.0,12.0,15.0,8.0,9.0,8.0,10.0,10.0,10.0,7.0,8.0,11.0,6.0,10.0,14.0,13.0,10.0,8.0,11.0,3.0,9.0,11.0,11.0,6.0,8.0,8.0,10.0,9.0,13.0,9.7,2.571
16,9.0,13.0,12.0,12.0,8.0,9.0,4.0,10.0,10.0,10.0,7.0,7.0,11.0,6.0,10.0,11.0,13.0,9.0,7.0,10.0,3.0,7.0,11.0,11.0,6.0,6.0,8.0,10.0,8.0,13.0,9.033,2.549
17,9.0,13.0,11.0,10.0,7.0,7.0,4.0,9.0,10.0,10.0,7.0,7.0,11.0,4.0,9.0,11.0,13.0,8.0,7.0,8.0,3.0,7.0,8.0,10.0,6.0,6.0,7.0,8.0,6.0,12.0,8.267,2.489
