Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,23.0,22.0,21.0,23.0,20.0,22.0,18.0,22.0,21.0,19.0,21.0,20.0,21.0,22.0,23.0,22.0,23.0,21.0,22.0,17.0,24.0,21.0,18.0,23.0,20.0,21.0,20.0,19.0,22.0,21.0,21.067,1.652
1,22.0,21.0,21.0,23.0,20.0,14.0,18.0,20.0,21.0,17.0,21.0,20.0,21.0,22.0,23.0,22.0,22.0,21.0,21.0,17.0,24.0,21.0,18.0,22.0,20.0,21.0,20.0,16.0,22.0,21.0,20.4,2.169
2,20.0,21.0,21.0,21.0,20.0,14.0,18.0,20.0,21.0,17.0,21.0,17.0,21.0,22.0,23.0,22.0,22.0,21.0,21.0,17.0,24.0,21.0,18.0,22.0,20.0,21.0,20.0,16.0,22.0,21.0,20.167,2.177
3,20.0,21.0,19.0,21.0,20.0,14.0,18.0,20.0,19.0,17.0,20.0,17.0,21.0,21.0,20.0,22.0,22.0,21.0,21.0,17.0,19.0,21.0,18.0,22.0,20.0,21.0,20.0,16.0,22.0,21.0,19.7,1.935
4,20.0,21.0,18.0,21.0,20.0,14.0,18.0,20.0,19.0,17.0,20.0,17.0,21.0,21.0,20.0,22.0,22.0,20.0,21.0,17.0,18.0,21.0,18.0,22.0,20.0,19.0,20.0,16.0,22.0,21.0,19.533,1.945
5,20.0,21.0,18.0,21.0,20.0,14.0,18.0,20.0,19.0,17.0,20.0,17.0,21.0,21.0,20.0,22.0,22.0,20.0,21.0,17.0,18.0,21.0,18.0,22.0,20.0,19.0,20.0,16.0,21.0,21.0,19.5,1.91
6,20.0,21.0,18.0,18.0,20.0,14.0,18.0,20.0,19.0,17.0,20.0,17.0,21.0,21.0,20.0,22.0,16.0,20.0,21.0,17.0,18.0,21.0,18.0,22.0,20.0,19.0,20.0,16.0,21.0,20.0,19.167,1.916
7,20.0,21.0,18.0,18.0,20.0,14.0,18.0,20.0,19.0,17.0,19.0,17.0,21.0,21.0,20.0,21.0,16.0,20.0,21.0,17.0,18.0,21.0,18.0,22.0,20.0,19.0,20.0,16.0,21.0,20.0,19.1,1.868
8,20.0,18.0,18.0,18.0,20.0,14.0,18.0,20.0,19.0,17.0,19.0,17.0,21.0,21.0,20.0,21.0,16.0,19.0,21.0,17.0,18.0,21.0,18.0,22.0,20.0,19.0,20.0,16.0,19.0,20.0,18.9,1.795
9,20.0,18.0,18.0,18.0,20.0,14.0,18.0,20.0,19.0,17.0,19.0,17.0,21.0,21.0,20.0,21.0,16.0,19.0,21.0,17.0,18.0,21.0,18.0,22.0,20.0,19.0,18.0,16.0,19.0,20.0,18.833,1.79
10,20.0,18.0,18.0,16.0,20.0,14.0,18.0,20.0,19.0,17.0,19.0,17.0,21.0,20.0,20.0,21.0,16.0,19.0,21.0,17.0,18.0,21.0,18.0,22.0,20.0,17.0,18.0,16.0,19.0,20.0,18.667,1.85
11,20.0,18.0,18.0,16.0,20.0,14.0,18.0,20.0,19.0,17.0,19.0,17.0,21.0,20.0,20.0,21.0,16.0,19.0,21.0,17.0,18.0,21.0,18.0,22.0,20.0,17.0,18.0,16.0,19.0,20.0,18.667,1.85
12,20.0,18.0,18.0,16.0,20.0,14.0,18.0,20.0,19.0,17.0,19.0,16.0,21.0,20.0,20.0,21.0,16.0,19.0,21.0,17.0,18.0,21.0,18.0,19.0,20.0,17.0,18.0,16.0,19.0,20.0,18.533,1.784
