Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,21.0,18.0,21.0,22.0,20.0,20.0,21.0,22.0,20.0,23.0,21.0,23.0,22.0,23.0,19.0,20.0,22.0,22.0,21.0,20.0,20.0,19.0,21.0,20.0,20.0,21.0,22.0,20.0,20.0,22.0,20.867,1.231
1,20.0,18.0,17.0,16.0,20.0,19.0,21.0,22.0,20.0,21.0,20.0,21.0,19.0,21.0,19.0,20.0,18.0,19.0,19.0,20.0,20.0,17.0,21.0,18.0,20.0,17.0,20.0,16.0,19.0,19.0,19.233,1.521
2,16.0,17.0,17.0,16.0,18.0,19.0,20.0,20.0,20.0,18.0,18.0,20.0,18.0,20.0,18.0,18.0,18.0,19.0,19.0,19.0,18.0,17.0,21.0,18.0,20.0,16.0,17.0,14.0,17.0,17.0,18.1,1.535
3,16.0,17.0,17.0,16.0,18.0,19.0,17.0,18.0,18.0,18.0,17.0,16.0,17.0,16.0,17.0,18.0,17.0,19.0,18.0,17.0,18.0,16.0,17.0,15.0,17.0,16.0,16.0,13.0,17.0,17.0,16.933,1.181
4,16.0,17.0,15.0,14.0,17.0,18.0,16.0,17.0,18.0,18.0,17.0,16.0,17.0,16.0,16.0,16.0,16.0,18.0,15.0,17.0,17.0,16.0,17.0,15.0,15.0,15.0,16.0,13.0,15.0,17.0,16.2,1.194
5,15.0,17.0,15.0,14.0,14.0,17.0,16.0,15.0,18.0,18.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0,17.0,15.0,17.0,16.0,15.0,16.0,15.0,15.0,15.0,15.0,13.0,15.0,16.0,15.733,1.123
6,15.0,17.0,15.0,14.0,14.0,14.0,16.0,15.0,14.0,17.0,15.0,16.0,17.0,16.0,15.0,16.0,16.0,17.0,15.0,16.0,13.0,15.0,16.0,15.0,15.0,15.0,14.0,13.0,15.0,14.0,15.167,1.098
7,15.0,16.0,15.0,13.0,14.0,13.0,15.0,14.0,13.0,17.0,13.0,14.0,17.0,16.0,15.0,15.0,15.0,17.0,15.0,16.0,13.0,15.0,14.0,15.0,14.0,15.0,14.0,13.0,15.0,13.0,14.633,1.224
8,15.0,15.0,15.0,13.0,14.0,13.0,15.0,12.0,9.0,17.0,12.0,14.0,16.0,14.0,15.0,13.0,15.0,15.0,15.0,15.0,13.0,13.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.867,1.454
9,15.0,14.0,14.0,12.0,13.0,13.0,15.0,12.0,9.0,13.0,12.0,14.0,16.0,13.0,12.0,13.0,15.0,15.0,14.0,14.0,13.0,13.0,14.0,13.0,14.0,14.0,11.0,12.0,12.0,12.0,13.2,1.4
10,15.0,13.0,13.0,12.0,13.0,12.0,15.0,11.0,9.0,13.0,12.0,13.0,15.0,12.0,12.0,13.0,15.0,14.0,13.0,14.0,13.0,13.0,14.0,13.0,14.0,13.0,11.0,11.0,12.0,12.0,12.833,1.344
11,13.0,11.0,13.0,11.0,13.0,12.0,14.0,11.0,9.0,12.0,12.0,12.0,13.0,12.0,12.0,13.0,10.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,12.0,11.0,11.0,12.0,12.0,12.233,1.146
12,13.0,11.0,12.0,11.0,13.0,12.0,14.0,11.0,9.0,12.0,12.0,12.0,13.0,12.0,12.0,13.0,10.0,12.0,13.0,13.0,12.0,10.0,13.0,13.0,14.0,10.0,10.0,10.0,12.0,10.0,11.8,1.301
13,12.0,10.0,12.0,11.0,13.0,12.0,13.0,9.0,9.0,11.0,12.0,12.0,13.0,12.0,12.0,13.0,10.0,12.0,11.0,10.0,12.0,8.0,13.0,13.0,12.0,9.0,10.0,10.0,12.0,8.0,11.2,1.514
14,12.0,10.0,11.0,10.0,13.0,11.0,13.0,9.0,9.0,11.0,12.0,12.0,10.0,12.0,12.0,12.0,10.0,12.0,10.0,10.0,12.0,8.0,12.0,13.0,12.0,8.0,10.0,9.0,12.0,8.0,10.833,1.507
15,11.0,10.0,11.0,9.0,13.0,11.0,11.0,8.0,9.0,10.0,12.0,12.0,10.0,12.0,11.0,11.0,8.0,11.0,10.0,9.0,11.0,7.0,11.0,12.0,12.0,8.0,10.0,9.0,10.0,8.0,10.233,1.476
16,9.0,10.0,9.0,9.0,13.0,11.0,11.0,8.0,9.0,10.0,12.0,12.0,10.0,12.0,9.0,11.0,7.0,11.0,10.0,9.0,11.0,7.0,11.0,11.0,9.0,8.0,10.0,9.0,10.0,8.0,9.867,1.477
17,9.0,10.0,8.0,8.0,12.0,10.0,11.0,8.0,7.0,10.0,12.0,12.0,10.0,12.0,9.0,10.0,7.0,10.0,10.0,9.0,10.0,7.0,11.0,10.0,9.0,7.0,10.0,8.0,10.0,7.0,9.433,1.564
18,9.0,9.0,8.0,8.0,12.0,6.0,10.0,8.0,7.0,10.0,12.0,12.0,10.0,12.0,9.0,10.0,4.0,9.0,10.0,9.0,10.0,6.0,9.0,10.0,9.0,7.0,10.0,8.0,10.0,7.0,9.0,1.862
19,9.0,9.0,8.0,8.0,11.0,6.0,10.0,8.0,7.0,10.0,12.0,11.0,10.0,11.0,9.0,10.0,4.0,9.0,10.0,9.0,8.0,6.0,9.0,10.0,9.0,7.0,10.0,8.0,10.0,7.0,8.833,1.714
20,9.0,9.0,6.0,8.0,11.0,6.0,9.0,8.0,7.0,10.0,10.0,10.0,10.0,11.0,9.0,9.0,4.0,8.0,10.0,8.0,8.0,5.0,9.0,10.0,8.0,7.0,10.0,8.0,6.0,6.0,8.3,1.754
21,9.0,8.0,5.0,7.0,10.0,6.0,9.0,8.0,7.0,9.0,10.0,10.0,9.0,11.0,9.0,9.0,4.0,8.0,9.0,8.0,8.0,5.0,9.0,10.0,8.0,7.0,10.0,8.0,6.0,6.0,8.067,1.692
22,9.0,8.0,4.0,7.0,10.0,6.0,9.0,8.0,7.0,9.0,10.0,10.0,9.0,11.0,8.0,9.0,4.0,8.0,9.0,7.0,8.0,5.0,9.0,10.0,5.0,5.0,10.0,8.0,6.0,6.0,7.8,1.904
23,9.0,8.0,4.0,6.0,10.0,6.0,9.0,8.0,7.0,8.0,10.0,10.0,9.0,10.0,7.0,9.0,4.0,8.0,8.0,7.0,7.0,5.0,9.0,10.0,5.0,5.0,10.0,7.0,6.0,6.0,7.567,1.856
24,8.0,8.0,4.0,6.0,10.0,6.0,9.0,8.0,7.0,8.0,10.0,10.0,8.0,9.0,7.0,8.0,4.0,7.0,8.0,7.0,7.0,5.0,9.0,10.0,5.0,5.0,10.0,7.0,6.0,6.0,7.4,1.763
25,7.0,8.0,4.0,6.0,9.0,6.0,9.0,8.0,6.0,8.0,10.0,10.0,8.0,9.0,7.0,8.0,4.0,7.0,8.0,7.0,7.0,5.0,7.0,8.0,5.0,5.0,10.0,7.0,6.0,6.0,7.167,1.635
26,7.0,7.0,4.0,6.0,9.0,5.0,9.0,8.0,6.0,6.0,10.0,10.0,8.0,9.0,7.0,7.0,4.0,7.0,8.0,7.0,7.0,5.0,7.0,8.0,5.0,5.0,9.0,7.0,6.0,6.0,6.967,1.602
27,7.0,7.0,4.0,6.0,9.0,4.0,9.0,8.0,6.0,6.0,10.0,9.0,6.0,9.0,6.0,7.0,4.0,7.0,8.0,7.0,7.0,5.0,7.0,7.0,5.0,5.0,9.0,5.0,6.0,6.0,6.7,1.616
28,7.0,7.0,4.0,5.0,9.0,4.0,9.0,8.0,6.0,6.0,8.0,9.0,6.0,8.0,6.0,6.0,4.0,6.0,8.0,7.0,7.0,5.0,7.0,7.0,4.0,5.0,9.0,5.0,6.0,6.0,6.467,1.543
29,7.0,7.0,4.0,5.0,8.0,4.0,7.0,8.0,6.0,6.0,8.0,9.0,6.0,8.0,6.0,6.0,4.0,6.0,8.0,7.0,7.0,5.0,7.0,6.0,4.0,5.0,9.0,5.0,6.0,6.0,6.333,1.422
30,7.0,7.0,3.0,5.0,8.0,4.0,7.0,8.0,6.0,6.0,8.0,9.0,6.0,8.0,6.0,5.0,4.0,6.0,8.0,7.0,7.0,5.0,7.0,6.0,4.0,5.0,9.0,5.0,6.0,6.0,6.267,1.504
31,7.0,6.0,3.0,5.0,7.0,4.0,7.0,8.0,6.0,5.0,8.0,9.0,6.0,8.0,6.0,5.0,4.0,6.0,7.0,7.0,6.0,5.0,7.0,6.0,4.0,4.0,9.0,5.0,6.0,6.0,6.067,1.482
32,7.0,6.0,3.0,5.0,7.0,4.0,7.0,8.0,6.0,5.0,8.0,9.0,6.0,8.0,5.0,5.0,4.0,6.0,7.0,7.0,6.0,5.0,7.0,6.0,4.0,4.0,9.0,5.0,6.0,5.0,6.0,1.506
