Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,34.0,35.0,35.0,34.0,36.0,36.0,32.0,36.0,30.0,32.0,34.0,34.0,32.0,33.0,33.0,34.0,31.0,36.0,35.0,36.0,34.0,34.0,34.0,33.0,35.0,35.0,32.0,34.0,34.0,34.0,33.9,1.513
1,32.0,31.0,35.0,33.0,33.0,33.0,32.0,34.0,30.0,32.0,34.0,34.0,32.0,33.0,33.0,33.0,31.0,30.0,34.0,33.0,33.0,34.0,31.0,32.0,30.0,35.0,32.0,34.0,33.0,30.0,32.533,1.431
2,32.0,30.0,32.0,33.0,33.0,33.0,29.0,33.0,30.0,31.0,34.0,31.0,31.0,32.0,33.0,33.0,30.0,30.0,34.0,33.0,33.0,31.0,31.0,32.0,30.0,34.0,32.0,34.0,33.0,30.0,31.9,1.446
3,32.0,30.0,32.0,32.0,33.0,31.0,29.0,33.0,30.0,31.0,32.0,31.0,31.0,31.0,30.0,33.0,30.0,30.0,32.0,32.0,31.0,31.0,31.0,32.0,30.0,31.0,31.0,34.0,31.0,30.0,31.233,1.116
4,30.0,30.0,31.0,32.0,33.0,31.0,29.0,31.0,30.0,29.0,32.0,29.0,30.0,31.0,30.0,30.0,30.0,30.0,29.0,32.0,28.0,31.0,31.0,30.0,30.0,31.0,31.0,30.0,31.0,30.0,30.4,1.052
5,30.0,30.0,31.0,30.0,30.0,31.0,29.0,31.0,30.0,27.0,32.0,29.0,29.0,31.0,30.0,30.0,30.0,30.0,29.0,32.0,28.0,31.0,31.0,30.0,30.0,31.0,31.0,30.0,31.0,30.0,30.133,1.056
6,30.0,30.0,31.0,30.0,30.0,30.0,29.0,31.0,30.0,27.0,32.0,29.0,29.0,30.0,30.0,30.0,30.0,30.0,29.0,32.0,28.0,31.0,31.0,30.0,30.0,31.0,31.0,30.0,31.0,30.0,30.067,1.031
7,30.0,30.0,31.0,30.0,30.0,28.0,29.0,31.0,30.0,27.0,31.0,29.0,28.0,30.0,30.0,30.0,30.0,30.0,28.0,32.0,28.0,30.0,31.0,30.0,30.0,31.0,31.0,30.0,31.0,30.0,29.867,1.118
8,26.0,30.0,31.0,27.0,30.0,28.0,29.0,31.0,30.0,27.0,29.0,28.0,28.0,30.0,30.0,30.0,30.0,30.0,28.0,30.0,28.0,28.0,31.0,30.0,30.0,31.0,31.0,30.0,30.0,30.0,29.367,1.329
9,26.0,29.0,31.0,27.0,30.0,28.0,28.0,30.0,30.0,27.0,27.0,28.0,28.0,27.0,30.0,30.0,30.0,30.0,28.0,30.0,28.0,28.0,30.0,29.0,30.0,31.0,31.0,30.0,30.0,30.0,29.033,1.378
10,26.0,29.0,29.0,27.0,30.0,28.0,28.0,29.0,28.0,27.0,27.0,28.0,28.0,27.0,30.0,30.0,30.0,30.0,26.0,30.0,28.0,27.0,30.0,29.0,30.0,31.0,30.0,30.0,30.0,29.0,28.7,1.37
11,26.0,29.0,29.0,27.0,30.0,28.0,27.0,29.0,28.0,25.0,24.0,28.0,27.0,27.0,30.0,27.0,28.0,30.0,25.0,30.0,28.0,27.0,30.0,29.0,30.0,31.0,29.0,29.0,30.0,29.0,28.2,1.701
12,26.0,29.0,29.0,27.0,27.0,28.0,24.0,29.0,28.0,25.0,24.0,28.0,26.0,27.0,30.0,27.0,28.0,30.0,25.0,30.0,28.0,24.0,30.0,29.0,26.0,31.0,29.0,29.0,30.0,29.0,27.733,1.965
13,26.0,29.0,29.0,27.0,27.0,28.0,24.0,29.0,28.0,25.0,24.0,28.0,24.0,26.0,30.0,27.0,28.0,29.0,21.0,30.0,28.0,24.0,30.0,22.0,26.0,31.0,27.0,29.0,30.0,29.0,27.167,2.478
14,26.0,29.0,29.0,27.0,27.0,28.0,24.0,29.0,28.0,25.0,24.0,28.0,24.0,26.0,28.0,27.0,28.0,29.0,21.0,30.0,28.0,24.0,30.0,22.0,26.0,30.0,27.0,28.0,30.0,28.0,27.0,2.338
15,26.0,29.0,29.0,27.0,27.0,26.0,24.0,29.0,28.0,25.0,24.0,28.0,24.0,26.0,28.0,27.0,28.0,28.0,21.0,30.0,25.0,24.0,30.0,22.0,26.0,30.0,27.0,28.0,30.0,27.0,26.767,2.319
16,25.0,25.0,27.0,27.0,27.0,26.0,24.0,29.0,28.0,25.0,24.0,27.0,24.0,26.0,28.0,27.0,28.0,28.0,21.0,30.0,25.0,24.0,28.0,22.0,26.0,30.0,27.0,28.0,30.0,27.0,26.433,2.186
17,25.0,25.0,26.0,27.0,27.0,26.0,24.0,29.0,28.0,25.0,24.0,27.0,24.0,26.0,28.0,25.0,28.0,28.0,21.0,30.0,25.0,24.0,28.0,22.0,26.0,30.0,27.0,25.0,30.0,27.0,26.233,2.186
18,25.0,25.0,26.0,27.0,27.0,26.0,24.0,27.0,28.0,25.0,24.0,27.0,24.0,26.0,28.0,25.0,28.0,28.0,21.0,30.0,24.0,24.0,28.0,22.0,26.0,30.0,27.0,25.0,30.0,27.0,26.133,2.156
19,25.0,25.0,26.0,27.0,24.0,25.0,20.0,27.0,28.0,25.0,24.0,27.0,24.0,26.0,27.0,25.0,24.0,28.0,21.0,29.0,23.0,24.0,28.0,22.0,26.0,30.0,27.0,23.0,28.0,26.0,25.467,2.291
20,25.0,25.0,26.0,27.0,24.0,25.0,20.0,27.0,28.0,25.0,24.0,27.0,24.0,26.0,27.0,25.0,24.0,28.0,21.0,29.0,21.0,24.0,26.0,22.0,26.0,30.0,27.0,23.0,24.0,26.0,25.2,2.301
21,25.0,24.0,26.0,27.0,24.0,25.0,20.0,27.0,28.0,25.0,24.0,27.0,24.0,26.0,27.0,25.0,24.0,28.0,21.0,29.0,21.0,24.0,26.0,22.0,26.0,29.0,27.0,23.0,24.0,26.0,25.133,2.247
22,25.0,24.0,26.0,27.0,24.0,25.0,20.0,27.0,28.0,25.0,24.0,27.0,24.0,24.0,27.0,24.0,24.0,28.0,21.0,29.0,21.0,24.0,26.0,21.0,25.0,29.0,27.0,23.0,24.0,26.0,24.967,2.302
23,25.0,24.0,26.0,27.0,23.0,24.0,20.0,27.0,28.0,25.0,24.0,27.0,24.0,24.0,27.0,24.0,24.0,28.0,21.0,27.0,21.0,24.0,26.0,21.0,24.0,29.0,25.0,23.0,24.0,26.0,24.733,2.205
24,25.0,24.0,26.0,27.0,22.0,24.0,20.0,27.0,28.0,25.0,24.0,26.0,24.0,24.0,27.0,24.0,23.0,26.0,21.0,26.0,21.0,23.0,26.0,21.0,24.0,25.0,25.0,23.0,24.0,26.0,24.367,1.975
25,25.0,24.0,26.0,27.0,19.0,24.0,20.0,27.0,28.0,24.0,24.0,26.0,24.0,24.0,27.0,24.0,23.0,26.0,21.0,23.0,21.0,23.0,26.0,21.0,23.0,25.0,25.0,23.0,24.0,26.0,24.1,2.15
26,25.0,24.0,26.0,27.0,19.0,24.0,20.0,26.0,28.0,24.0,24.0,26.0,24.0,24.0,27.0,24.0,23.0,26.0,21.0,23.0,19.0,23.0,26.0,20.0,23.0,25.0,25.0,23.0,24.0,25.0,23.933,2.265
27,25.0,23.0,26.0,27.0,18.0,22.0,20.0,26.0,28.0,24.0,24.0,26.0,24.0,22.0,27.0,24.0,23.0,26.0,21.0,23.0,19.0,19.0,26.0,20.0,22.0,25.0,25.0,23.0,24.0,25.0,23.567,2.552
28,25.0,23.0,26.0,24.0,18.0,21.0,20.0,26.0,28.0,24.0,24.0,26.0,24.0,22.0,27.0,24.0,23.0,26.0,21.0,23.0,19.0,19.0,26.0,20.0,22.0,25.0,24.0,23.0,24.0,25.0,23.4,2.485
29,25.0,23.0,26.0,24.0,18.0,21.0,20.0,26.0,28.0,24.0,24.0,26.0,21.0,22.0,27.0,24.0,23.0,26.0,21.0,23.0,19.0,19.0,26.0,20.0,22.0,24.0,23.0,23.0,24.0,25.0,23.233,2.499
30,25.0,23.0,26.0,24.0,18.0,21.0,20.0,26.0,28.0,24.0,24.0,26.0,21.0,22.0,27.0,22.0,23.0,26.0,21.0,23.0,19.0,19.0,26.0,20.0,22.0,24.0,23.0,23.0,24.0,25.0,23.167,2.504
31,25.0,23.0,26.0,24.0,18.0,21.0,20.0,26.0,28.0,24.0,24.0,26.0,21.0,22.0,27.0,22.0,23.0,26.0,21.0,23.0,19.0,19.0,26.0,20.0,22.0,24.0,23.0,23.0,20.0,25.0,23.033,2.562
32,25.0,21.0,26.0,24.0,18.0,21.0,20.0,25.0,28.0,24.0,24.0,25.0,21.0,22.0,27.0,22.0,23.0,26.0,21.0,23.0,19.0,19.0,26.0,20.0,22.0,24.0,23.0,23.0,20.0,25.0,22.9,2.521
33,24.0,21.0,25.0,24.0,18.0,21.0,20.0,25.0,27.0,24.0,24.0,25.0,20.0,22.0,27.0,22.0,23.0,26.0,21.0,23.0,19.0,19.0,26.0,18.0,22.0,24.0,23.0,23.0,20.0,25.0,22.7,2.532
34,24.0,21.0,25.0,24.0,18.0,21.0,19.0,25.0,27.0,24.0,24.0,25.0,20.0,21.0,27.0,22.0,23.0,26.0,21.0,23.0,19.0,19.0,26.0,18.0,22.0,24.0,23.0,23.0,20.0,25.0,22.633,2.588
35,24.0,21.0,25.0,24.0,18.0,21.0,19.0,25.0,27.0,24.0,24.0,25.0,20.0,21.0,27.0,22.0,23.0,26.0,21.0,23.0,19.0,19.0,26.0,18.0,22.0,24.0,23.0,23.0,20.0,25.0,22.633,2.588
36,24.0,21.0,25.0,24.0,18.0,21.0,19.0,25.0,27.0,24.0,24.0,25.0,20.0,21.0,24.0,22.0,23.0,26.0,21.0,23.0,19.0,19.0,26.0,18.0,22.0,24.0,23.0,23.0,20.0,24.0,22.5,2.446
37,24.0,21.0,25.0,24.0,18.0,21.0,19.0,25.0,27.0,24.0,24.0,25.0,20.0,21.0,24.0,22.0,23.0,26.0,21.0,23.0,19.0,19.0,26.0,18.0,22.0,24.0,23.0,23.0,20.0,24.0,22.5,2.446
38,24.0,21.0,25.0,24.0,18.0,21.0,19.0,25.0,27.0,24.0,24.0,25.0,20.0,21.0,24.0,22.0,23.0,26.0,21.0,23.0,19.0,19.0,26.0,18.0,22.0,24.0,23.0,23.0,20.0,24.0,22.5,2.446
39,22.0,21.0,24.0,24.0,18.0,21.0,19.0,25.0,24.0,24.0,24.0,25.0,20.0,21.0,24.0,22.0,23.0,26.0,21.0,23.0,19.0,19.0,26.0,18.0,22.0,24.0,23.0,23.0,20.0,24.0,22.3,2.268
40,22.0,21.0,24.0,24.0,18.0,21.0,19.0,25.0,24.0,24.0,24.0,25.0,20.0,20.0,24.0,22.0,23.0,26.0,21.0,23.0,19.0,19.0,26.0,18.0,22.0,23.0,23.0,23.0,20.0,24.0,22.233,2.276
