Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,68.0,68.0,63.0,65.0,64.0,65.0,63.0,66.0,67.0,68.0,64.0,63.0,67.0,67.0,67.0,65.0,67.0,68.0,68.0,66.0,70.0,67.0,66.0,67.0,65.0,61.0,62.0,67.0,64.0,67.0,65.833,2.067
1,67.0,68.0,63.0,65.0,64.0,65.0,63.0,66.0,67.0,66.0,64.0,63.0,67.0,67.0,67.0,65.0,67.0,65.0,68.0,64.0,70.0,67.0,66.0,67.0,65.0,61.0,62.0,66.0,64.0,67.0,65.533,1.962
2,65.0,65.0,63.0,65.0,64.0,65.0,63.0,65.0,67.0,64.0,64.0,63.0,67.0,66.0,67.0,65.0,67.0,65.0,68.0,64.0,69.0,65.0,66.0,65.0,65.0,61.0,62.0,64.0,64.0,67.0,65.0,1.732
3,65.0,65.0,63.0,65.0,64.0,65.0,63.0,65.0,63.0,64.0,64.0,63.0,64.0,66.0,67.0,65.0,67.0,65.0,68.0,64.0,69.0,65.0,65.0,65.0,65.0,61.0,62.0,64.0,64.0,67.0,64.733,1.672
4,65.0,61.0,63.0,65.0,64.0,65.0,63.0,63.0,63.0,64.0,64.0,63.0,64.0,66.0,67.0,65.0,67.0,65.0,68.0,64.0,69.0,65.0,65.0,65.0,65.0,61.0,62.0,64.0,64.0,67.0,64.533,1.821
5,65.0,61.0,63.0,65.0,64.0,65.0,63.0,63.0,63.0,64.0,64.0,63.0,64.0,66.0,67.0,65.0,67.0,65.0,65.0,64.0,68.0,65.0,64.0,64.0,64.0,61.0,62.0,64.0,64.0,66.0,64.267,1.569
6,65.0,61.0,63.0,65.0,64.0,65.0,63.0,63.0,63.0,64.0,58.0,63.0,64.0,65.0,67.0,65.0,64.0,65.0,65.0,64.0,68.0,62.0,64.0,64.0,64.0,61.0,62.0,64.0,64.0,66.0,63.833,1.845
7,65.0,61.0,63.0,65.0,59.0,65.0,63.0,63.0,63.0,64.0,58.0,63.0,64.0,65.0,67.0,65.0,64.0,65.0,65.0,64.0,65.0,62.0,64.0,64.0,64.0,61.0,62.0,64.0,64.0,66.0,63.567,1.892
8,64.0,61.0,63.0,65.0,59.0,65.0,63.0,63.0,63.0,64.0,58.0,63.0,64.0,65.0,67.0,65.0,64.0,65.0,65.0,64.0,65.0,62.0,64.0,64.0,64.0,61.0,62.0,64.0,64.0,66.0,63.533,1.875
9,64.0,61.0,63.0,65.0,59.0,65.0,63.0,61.0,63.0,64.0,58.0,63.0,64.0,64.0,60.0,65.0,64.0,65.0,65.0,64.0,65.0,62.0,64.0,64.0,64.0,61.0,62.0,64.0,64.0,66.0,63.2,1.887
10,64.0,61.0,63.0,65.0,59.0,65.0,63.0,61.0,62.0,64.0,58.0,63.0,64.0,64.0,60.0,65.0,64.0,65.0,64.0,64.0,65.0,62.0,64.0,64.0,64.0,61.0,62.0,64.0,64.0,66.0,63.133,1.875
11,64.0,61.0,63.0,65.0,59.0,65.0,63.0,61.0,62.0,61.0,58.0,63.0,64.0,64.0,60.0,65.0,64.0,65.0,64.0,64.0,65.0,62.0,64.0,64.0,64.0,61.0,62.0,64.0,64.0,66.0,63.033,1.906
12,64.0,61.0,63.0,64.0,59.0,64.0,63.0,61.0,62.0,61.0,58.0,63.0,64.0,64.0,60.0,65.0,64.0,65.0,64.0,64.0,65.0,62.0,64.0,64.0,64.0,61.0,56.0,64.0,64.0,66.0,62.767,2.231
13,64.0,61.0,63.0,64.0,59.0,64.0,63.0,61.0,62.0,61.0,58.0,63.0,64.0,64.0,60.0,65.0,64.0,65.0,64.0,64.0,59.0,62.0,64.0,64.0,64.0,61.0,56.0,64.0,64.0,65.0,62.533,2.247
14,63.0,61.0,63.0,64.0,59.0,64.0,63.0,61.0,62.0,61.0,58.0,63.0,64.0,64.0,60.0,65.0,64.0,65.0,64.0,64.0,59.0,62.0,64.0,64.0,64.0,61.0,56.0,64.0,58.0,65.0,62.3,2.354
15,63.0,61.0,63.0,64.0,59.0,64.0,63.0,61.0,62.0,61.0,58.0,63.0,64.0,64.0,60.0,65.0,64.0,65.0,64.0,64.0,59.0,62.0,64.0,64.0,64.0,61.0,56.0,64.0,58.0,65.0,62.3,2.354
16,63.0,61.0,63.0,64.0,59.0,64.0,63.0,61.0,62.0,61.0,58.0,63.0,64.0,64.0,60.0,65.0,64.0,65.0,64.0,64.0,59.0,62.0,64.0,64.0,64.0,61.0,56.0,64.0,58.0,65.0,62.3,2.354
17,63.0,61.0,63.0,64.0,59.0,64.0,63.0,61.0,62.0,61.0,58.0,63.0,61.0,64.0,60.0,65.0,64.0,65.0,64.0,64.0,59.0,62.0,64.0,64.0,64.0,61.0,56.0,62.0,58.0,65.0,62.133,2.32
18,63.0,61.0,63.0,64.0,59.0,64.0,63.0,61.0,62.0,61.0,58.0,63.0,61.0,64.0,60.0,65.0,64.0,65.0,63.0,64.0,59.0,62.0,64.0,63.0,64.0,58.0,56.0,62.0,58.0,65.0,61.967,2.387
19,60.0,61.0,63.0,64.0,59.0,64.0,63.0,61.0,62.0,61.0,58.0,63.0,61.0,61.0,60.0,63.0,64.0,65.0,63.0,64.0,59.0,62.0,64.0,63.0,64.0,58.0,56.0,62.0,58.0,65.0,61.7,2.312
20,60.0,61.0,63.0,64.0,59.0,64.0,63.0,61.0,61.0,60.0,58.0,63.0,61.0,61.0,60.0,63.0,64.0,65.0,63.0,64.0,59.0,62.0,64.0,63.0,64.0,58.0,56.0,62.0,58.0,65.0,61.633,2.331
21,60.0,61.0,63.0,64.0,59.0,64.0,63.0,61.0,61.0,60.0,58.0,63.0,61.0,61.0,60.0,63.0,64.0,63.0,63.0,64.0,59.0,62.0,64.0,63.0,64.0,58.0,56.0,62.0,58.0,65.0,61.567,2.261
22,60.0,61.0,63.0,64.0,59.0,64.0,63.0,61.0,61.0,60.0,58.0,63.0,61.0,61.0,60.0,63.0,64.0,63.0,63.0,64.0,59.0,62.0,64.0,63.0,64.0,58.0,56.0,62.0,58.0,65.0,61.567,2.261
23,60.0,61.0,63.0,63.0,59.0,64.0,63.0,61.0,61.0,60.0,58.0,63.0,61.0,61.0,60.0,63.0,64.0,63.0,63.0,64.0,59.0,62.0,64.0,63.0,64.0,58.0,56.0,62.0,58.0,65.0,61.533,2.232
24,60.0,61.0,63.0,63.0,59.0,64.0,63.0,61.0,61.0,60.0,58.0,63.0,61.0,61.0,60.0,63.0,64.0,63.0,63.0,64.0,59.0,62.0,64.0,63.0,64.0,58.0,56.0,62.0,58.0,65.0,61.533,2.232
25,60.0,61.0,63.0,63.0,59.0,64.0,63.0,61.0,61.0,60.0,58.0,63.0,61.0,61.0,60.0,63.0,64.0,63.0,63.0,64.0,59.0,62.0,64.0,63.0,64.0,58.0,56.0,62.0,58.0,65.0,61.533,2.232
26,60.0,61.0,63.0,63.0,59.0,63.0,63.0,61.0,61.0,60.0,58.0,63.0,61.0,61.0,60.0,63.0,64.0,63.0,63.0,64.0,59.0,62.0,64.0,63.0,64.0,58.0,56.0,62.0,58.0,65.0,61.5,2.202
27,60.0,61.0,63.0,63.0,59.0,63.0,63.0,61.0,61.0,60.0,58.0,63.0,61.0,61.0,60.0,63.0,64.0,63.0,63.0,64.0,59.0,62.0,64.0,63.0,64.0,58.0,56.0,62.0,58.0,65.0,61.5,2.202
28,60.0,61.0,63.0,63.0,59.0,63.0,63.0,61.0,61.0,60.0,58.0,63.0,61.0,61.0,60.0,63.0,64.0,63.0,63.0,64.0,59.0,62.0,64.0,63.0,64.0,58.0,56.0,62.0,58.0,65.0,61.5,2.202
29,60.0,61.0,63.0,63.0,59.0,63.0,63.0,61.0,61.0,60.0,58.0,63.0,61.0,61.0,60.0,63.0,64.0,63.0,63.0,64.0,59.0,62.0,64.0,63.0,64.0,58.0,56.0,62.0,58.0,65.0,61.5,2.202
30,60.0,61.0,63.0,63.0,59.0,61.0,63.0,61.0,61.0,60.0,58.0,62.0,61.0,61.0,60.0,63.0,64.0,63.0,63.0,64.0,59.0,62.0,64.0,63.0,64.0,58.0,56.0,62.0,58.0,65.0,61.4,2.169
