Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,66.0,63.0,68.0,66.0,62.0,66.0,65.0,68.0,66.0,59.0,66.0,63.0,64.0,67.0,66.0,62.0,66.0,64.0,66.0,68.0,64.0,64.0,64.0,64.0,64.0,62.0,63.0,65.0,66.0,64.0,64.7,2.002
1,64.0,56.0,64.0,62.0,62.0,62.0,63.0,58.0,60.0,59.0,62.0,63.0,62.0,63.0,66.0,62.0,64.0,64.0,64.0,64.0,62.0,63.0,62.0,58.0,62.0,62.0,62.0,63.0,62.0,59.0,61.967,2.121
2,59.0,54.0,63.0,62.0,61.0,60.0,63.0,58.0,60.0,59.0,62.0,59.0,62.0,60.0,61.0,62.0,60.0,64.0,61.0,62.0,60.0,60.0,62.0,58.0,62.0,58.0,62.0,63.0,62.0,59.0,60.6,2.026
3,56.0,53.0,58.0,62.0,61.0,60.0,59.0,55.0,60.0,59.0,62.0,58.0,62.0,60.0,61.0,60.0,60.0,63.0,61.0,62.0,57.0,60.0,61.0,58.0,61.0,58.0,58.0,63.0,62.0,58.0,59.6,2.332
4,56.0,53.0,53.0,61.0,60.0,59.0,58.0,55.0,58.0,58.0,57.0,58.0,60.0,58.0,61.0,60.0,60.0,61.0,61.0,60.0,57.0,57.0,59.0,56.0,59.0,58.0,56.0,62.0,62.0,58.0,58.367,2.316
5,56.0,53.0,53.0,58.0,60.0,59.0,58.0,55.0,57.0,58.0,56.0,58.0,59.0,57.0,59.0,59.0,59.0,59.0,60.0,57.0,56.0,56.0,59.0,53.0,59.0,58.0,56.0,62.0,60.0,55.0,57.467,2.187
6,56.0,52.0,52.0,58.0,55.0,58.0,58.0,55.0,54.0,57.0,56.0,58.0,56.0,57.0,59.0,58.0,59.0,57.0,55.0,57.0,56.0,51.0,59.0,53.0,58.0,58.0,56.0,61.0,57.0,55.0,56.367,2.273
7,56.0,52.0,52.0,58.0,55.0,58.0,58.0,55.0,54.0,55.0,56.0,57.0,55.0,57.0,59.0,58.0,57.0,57.0,55.0,57.0,55.0,51.0,55.0,53.0,58.0,58.0,56.0,60.0,55.0,55.0,55.9,2.103
8,55.0,50.0,52.0,57.0,54.0,58.0,56.0,55.0,51.0,52.0,56.0,57.0,54.0,57.0,57.0,58.0,56.0,55.0,55.0,57.0,55.0,51.0,55.0,53.0,58.0,58.0,55.0,59.0,55.0,55.0,55.2,2.272
9,55.0,50.0,52.0,56.0,54.0,58.0,56.0,55.0,51.0,52.0,56.0,57.0,54.0,54.0,56.0,58.0,55.0,54.0,55.0,54.0,54.0,51.0,55.0,53.0,55.0,57.0,55.0,59.0,55.0,55.0,54.7,2.068
10,55.0,50.0,52.0,55.0,54.0,58.0,56.0,55.0,51.0,52.0,56.0,56.0,54.0,54.0,56.0,58.0,55.0,54.0,52.0,54.0,54.0,51.0,55.0,52.0,55.0,57.0,53.0,56.0,55.0,55.0,54.333,1.972
11,55.0,50.0,52.0,55.0,54.0,58.0,54.0,55.0,51.0,52.0,56.0,55.0,54.0,54.0,56.0,58.0,53.0,54.0,52.0,53.0,53.0,51.0,55.0,51.0,55.0,55.0,53.0,54.0,55.0,55.0,53.933,1.896
12,55.0,48.0,51.0,54.0,54.0,58.0,54.0,55.0,51.0,52.0,56.0,55.0,50.0,54.0,56.0,55.0,51.0,54.0,52.0,52.0,53.0,51.0,55.0,51.0,55.0,55.0,53.0,54.0,55.0,52.0,53.367,2.121
13,55.0,48.0,51.0,53.0,54.0,58.0,54.0,55.0,50.0,52.0,56.0,54.0,50.0,54.0,55.0,55.0,51.0,54.0,52.0,52.0,53.0,51.0,55.0,51.0,55.0,54.0,53.0,54.0,55.0,52.0,53.2,2.088
14,55.0,48.0,51.0,53.0,54.0,57.0,48.0,54.0,50.0,52.0,56.0,54.0,50.0,54.0,55.0,55.0,51.0,51.0,52.0,50.0,52.0,50.0,53.0,51.0,55.0,54.0,53.0,54.0,55.0,52.0,52.633,2.258
15,55.0,48.0,51.0,53.0,54.0,55.0,45.0,54.0,50.0,52.0,52.0,54.0,50.0,54.0,52.0,55.0,50.0,51.0,52.0,50.0,52.0,50.0,53.0,45.0,55.0,54.0,51.0,54.0,55.0,52.0,51.933,2.632
16,55.0,48.0,51.0,52.0,54.0,55.0,45.0,54.0,48.0,51.0,52.0,53.0,50.0,54.0,52.0,55.0,48.0,51.0,50.0,50.0,52.0,46.0,53.0,45.0,55.0,54.0,51.0,54.0,55.0,52.0,51.5,2.93
17,54.0,48.0,51.0,52.0,54.0,55.0,45.0,54.0,48.0,51.0,52.0,53.0,50.0,54.0,52.0,55.0,48.0,51.0,50.0,50.0,52.0,46.0,53.0,45.0,55.0,54.0,51.0,54.0,55.0,52.0,51.467,2.895
18,54.0,48.0,51.0,52.0,54.0,54.0,45.0,54.0,48.0,51.0,52.0,53.0,50.0,54.0,52.0,55.0,48.0,51.0,50.0,50.0,52.0,46.0,53.0,44.0,55.0,54.0,51.0,54.0,55.0,52.0,51.4,2.939
19,53.0,48.0,51.0,52.0,54.0,54.0,45.0,54.0,48.0,51.0,52.0,53.0,50.0,54.0,52.0,54.0,48.0,50.0,49.0,50.0,52.0,46.0,53.0,44.0,55.0,54.0,51.0,54.0,55.0,52.0,51.267,2.909
20,53.0,48.0,51.0,49.0,54.0,54.0,45.0,54.0,48.0,51.0,52.0,53.0,50.0,54.0,52.0,52.0,48.0,50.0,49.0,50.0,52.0,46.0,53.0,44.0,55.0,54.0,51.0,54.0,55.0,52.0,51.1,2.891
21,53.0,48.0,51.0,49.0,54.0,54.0,45.0,54.0,48.0,51.0,52.0,52.0,50.0,54.0,52.0,52.0,48.0,50.0,49.0,50.0,52.0,46.0,53.0,42.0,55.0,53.0,49.0,54.0,55.0,52.0,50.9,3.048
22,52.0,48.0,51.0,49.0,54.0,54.0,45.0,54.0,48.0,51.0,52.0,52.0,50.0,54.0,52.0,52.0,47.0,50.0,49.0,50.0,52.0,46.0,53.0,42.0,55.0,53.0,48.0,54.0,52.0,52.0,50.7,3.002
23,50.0,48.0,51.0,49.0,54.0,54.0,45.0,54.0,48.0,51.0,50.0,52.0,50.0,54.0,52.0,52.0,45.0,49.0,49.0,50.0,52.0,46.0,53.0,42.0,55.0,53.0,48.0,54.0,52.0,52.0,50.467,3.096
24,50.0,48.0,51.0,49.0,54.0,54.0,45.0,54.0,48.0,51.0,50.0,52.0,50.0,53.0,52.0,52.0,45.0,48.0,49.0,48.0,50.0,46.0,53.0,42.0,55.0,53.0,48.0,54.0,50.0,52.0,50.2,3.081
25,50.0,48.0,51.0,49.0,54.0,52.0,45.0,54.0,46.0,51.0,50.0,48.0,50.0,53.0,52.0,52.0,45.0,48.0,49.0,48.0,50.0,46.0,53.0,42.0,55.0,53.0,48.0,54.0,50.0,50.0,49.867,3.063
26,50.0,48.0,51.0,49.0,51.0,49.0,45.0,54.0,46.0,51.0,50.0,48.0,50.0,53.0,52.0,52.0,45.0,48.0,49.0,48.0,50.0,46.0,53.0,42.0,55.0,53.0,48.0,54.0,50.0,50.0,49.667,2.948
27,50.0,48.0,51.0,49.0,51.0,49.0,45.0,54.0,46.0,51.0,50.0,47.0,50.0,53.0,52.0,52.0,45.0,48.0,49.0,48.0,50.0,46.0,53.0,42.0,55.0,53.0,48.0,51.0,50.0,50.0,49.533,2.872
28,50.0,48.0,51.0,49.0,51.0,49.0,45.0,54.0,46.0,51.0,49.0,47.0,50.0,53.0,52.0,52.0,45.0,48.0,49.0,46.0,50.0,45.0,53.0,42.0,55.0,53.0,48.0,51.0,50.0,49.0,49.367,2.972
29,50.0,48.0,51.0,49.0,51.0,49.0,45.0,54.0,46.0,51.0,48.0,46.0,50.0,53.0,52.0,52.0,45.0,48.0,49.0,45.0,50.0,45.0,53.0,42.0,55.0,53.0,47.0,51.0,50.0,49.0,49.233,3.073
30,50.0,48.0,51.0,49.0,51.0,47.0,45.0,54.0,46.0,51.0,48.0,46.0,50.0,53.0,52.0,52.0,45.0,48.0,49.0,45.0,50.0,45.0,53.0,42.0,55.0,53.0,47.0,51.0,50.0,49.0,49.167,3.099
31,50.0,48.0,51.0,47.0,51.0,47.0,45.0,54.0,46.0,51.0,48.0,46.0,50.0,53.0,52.0,52.0,45.0,48.0,49.0,45.0,50.0,45.0,53.0,42.0,55.0,50.0,47.0,51.0,49.0,49.0,48.967,3.038
32,50.0,48.0,51.0,47.0,51.0,47.0,45.0,54.0,46.0,51.0,48.0,46.0,50.0,53.0,52.0,52.0,45.0,48.0,49.0,45.0,50.0,45.0,53.0,42.0,55.0,49.0,47.0,51.0,49.0,47.0,48.867,3.052
33,50.0,48.0,51.0,47.0,51.0,47.0,45.0,54.0,46.0,51.0,48.0,46.0,50.0,53.0,52.0,52.0,45.0,48.0,49.0,44.0,50.0,45.0,53.0,42.0,55.0,49.0,47.0,51.0,49.0,45.0,48.767,3.159
34,50.0,48.0,51.0,47.0,49.0,47.0,45.0,54.0,46.0,51.0,48.0,46.0,50.0,53.0,52.0,52.0,45.0,47.0,49.0,44.0,49.0,45.0,53.0,42.0,55.0,49.0,47.0,51.0,47.0,45.0,48.567,3.148
35,50.0,48.0,51.0,47.0,49.0,47.0,45.0,54.0,45.0,51.0,48.0,46.0,50.0,53.0,52.0,52.0,45.0,47.0,49.0,44.0,49.0,45.0,53.0,42.0,55.0,49.0,47.0,51.0,47.0,45.0,48.533,3.18
36,50.0,48.0,51.0,47.0,49.0,47.0,45.0,54.0,45.0,51.0,48.0,46.0,50.0,53.0,52.0,52.0,45.0,44.0,49.0,43.0,49.0,45.0,53.0,42.0,55.0,49.0,47.0,51.0,47.0,45.0,48.4,3.323
37,50.0,48.0,51.0,47.0,48.0,47.0,45.0,54.0,45.0,51.0,48.0,46.0,50.0,53.0,52.0,52.0,42.0,44.0,49.0,43.0,49.0,45.0,53.0,42.0,55.0,49.0,47.0,51.0,47.0,45.0,48.267,3.463
38,50.0,48.0,51.0,47.0,48.0,47.0,45.0,54.0,45.0,51.0,48.0,46.0,50.0,53.0,52.0,52.0,42.0,44.0,49.0,43.0,49.0,44.0,53.0,42.0,54.0,49.0,47.0,51.0,47.0,45.0,48.2,3.439
39,50.0,48.0,51.0,47.0,48.0,47.0,45.0,54.0,45.0,51.0,46.0,46.0,50.0,53.0,52.0,52.0,42.0,44.0,49.0,43.0,48.0,42.0,53.0,42.0,52.0,49.0,47.0,51.0,47.0,45.0,47.967,3.459
40,50.0,48.0,51.0,47.0,48.0,47.0,45.0,54.0,45.0,51.0,45.0,46.0,50.0,53.0,52.0,52.0,40.0,44.0,49.0,43.0,48.0,42.0,53.0,42.0,52.0,49.0,47.0,51.0,47.0,45.0,47.867,3.612
41,50.0,48.0,51.0,47.0,48.0,47.0,45.0,54.0,45.0,51.0,45.0,46.0,50.0,53.0,52.0,52.0,40.0,44.0,49.0,43.0,48.0,41.0,53.0,42.0,51.0,49.0,47.0,51.0,47.0,45.0,47.8,3.637
42,50.0,48.0,51.0,47.0,48.0,47.0,45.0,54.0,45.0,51.0,45.0,46.0,50.0,53.0,52.0,52.0,40.0,43.0,49.0,43.0,48.0,41.0,53.0,42.0,51.0,49.0,47.0,51.0,47.0,45.0,47.767,3.676
43,50.0,48.0,51.0,47.0,48.0,47.0,45.0,54.0,45.0,51.0,45.0,45.0,50.0,53.0,52.0,52.0,40.0,43.0,49.0,43.0,48.0,41.0,53.0,42.0,51.0,49.0,47.0,51.0,47.0,45.0,47.733,3.696
44,50.0,48.0,51.0,47.0,48.0,47.0,45.0,54.0,45.0,51.0,45.0,45.0,50.0,53.0,52.0,52.0,40.0,43.0,49.0,43.0,46.0,41.0,53.0,42.0,51.0,49.0,47.0,51.0,47.0,45.0,47.667,3.709
45,50.0,48.0,51.0,47.0,48.0,47.0,45.0,54.0,45.0,51.0,45.0,45.0,50.0,53.0,52.0,52.0,40.0,43.0,49.0,43.0,46.0,41.0,53.0,42.0,51.0,49.0,47.0,51.0,47.0,45.0,47.667,3.709
46,50.0,48.0,51.0,47.0,48.0,47.0,45.0,54.0,45.0,51.0,45.0,45.0,50.0,53.0,52.0,52.0,39.0,43.0,49.0,43.0,46.0,40.0,53.0,42.0,51.0,49.0,47.0,51.0,47.0,45.0,47.6,3.844
47,50.0,48.0,51.0,47.0,48.0,47.0,45.0,54.0,45.0,51.0,45.0,45.0,50.0,53.0,52.0,52.0,39.0,43.0,49.0,42.0,46.0,40.0,53.0,42.0,49.0,49.0,47.0,51.0,47.0,45.0,47.5,3.845
48,50.0,48.0,51.0,47.0,48.0,47.0,45.0,54.0,45.0,51.0,45.0,43.0,50.0,53.0,52.0,52.0,39.0,43.0,47.0,42.0,46.0,40.0,53.0,42.0,49.0,49.0,47.0,51.0,47.0,45.0,47.367,3.894
49,50.0,48.0,51.0,47.0,48.0,47.0,45.0,54.0,45.0,51.0,45.0,43.0,50.0,53.0,52.0,52.0,39.0,43.0,47.0,42.0,46.0,40.0,53.0,42.0,49.0,49.0,47.0,51.0,47.0,45.0,47.367,3.894
50,50.0,48.0,51.0,47.0,48.0,47.0,45.0,54.0,45.0,51.0,45.0,43.0,50.0,53.0,52.0,52.0,39.0,43.0,47.0,42.0,46.0,40.0,53.0,42.0,49.0,49.0,47.0,51.0,47.0,45.0,47.367,3.894
51,50.0,48.0,51.0,47.0,48.0,47.0,45.0,54.0,45.0,51.0,45.0,43.0,50.0,53.0,52.0,52.0,39.0,43.0,47.0,42.0,46.0,40.0,53.0,42.0,49.0,49.0,47.0,51.0,47.0,45.0,47.367,3.894
52,50.0,48.0,51.0,47.0,48.0,47.0,45.0,54.0,45.0,51.0,45.0,43.0,50.0,53.0,52.0,52.0,39.0,43.0,47.0,42.0,46.0,40.0,53.0,42.0,49.0,49.0,47.0,51.0,47.0,45.0,47.367,3.894
53,50.0,48.0,51.0,47.0,48.0,47.0,45.0,54.0,45.0,51.0,45.0,43.0,50.0,53.0,52.0,52.0,39.0,41.0,47.0,42.0,46.0,40.0,52.0,42.0,49.0,49.0,47.0,51.0,47.0,45.0,47.267,3.941
54,50.0,47.0,51.0,47.0,48.0,47.0,45.0,54.0,44.0,51.0,45.0,43.0,50.0,53.0,52.0,52.0,39.0,41.0,47.0,42.0,46.0,40.0,52.0,42.0,49.0,49.0,47.0,51.0,47.0,45.0,47.2,3.961
55,50.0,47.0,51.0,47.0,48.0,47.0,45.0,54.0,44.0,51.0,45.0,41.0,50.0,53.0,52.0,52.0,39.0,41.0,47.0,42.0,46.0,40.0,52.0,42.0,49.0,49.0,47.0,51.0,47.0,45.0,47.133,4.047
56,50.0,47.0,51.0,47.0,48.0,47.0,45.0,54.0,44.0,51.0,45.0,41.0,50.0,53.0,52.0,52.0,39.0,41.0,47.0,42.0,46.0,40.0,52.0,42.0,49.0,49.0,47.0,51.0,47.0,45.0,47.133,4.047
57,50.0,47.0,51.0,47.0,48.0,47.0,45.0,54.0,44.0,51.0,45.0,41.0,50.0,53.0,52.0,52.0,39.0,41.0,47.0,42.0,46.0,40.0,51.0,42.0,49.0,49.0,46.0,51.0,47.0,45.0,47.067,4.016
58,50.0,47.0,51.0,47.0,48.0,47.0,45.0,54.0,44.0,51.0,45.0,41.0,50.0,53.0,52.0,51.0,38.0,38.0,46.0,42.0,46.0,40.0,51.0,42.0,49.0,49.0,43.0,51.0,47.0,45.0,46.767,4.287
59,50.0,47.0,51.0,47.0,48.0,47.0,45.0,54.0,44.0,51.0,45.0,41.0,50.0,53.0,52.0,51.0,38.0,38.0,46.0,42.0,46.0,40.0,51.0,42.0,49.0,49.0,43.0,51.0,47.0,45.0,46.767,4.287
