Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,62.0,62.0,64.0,66.0,65.0,65.0,66.0,64.0,66.0,64.0,63.0,65.0,64.0,67.0,63.0,66.0,64.0,63.0,60.0,64.0,59.0,65.0,62.0,65.0,66.0,68.0,63.0,66.0,65.0,67.0,64.3,1.986
1,62.0,62.0,62.0,64.0,62.0,63.0,59.0,63.0,59.0,63.0,63.0,61.0,64.0,63.0,62.0,64.0,64.0,60.0,60.0,62.0,59.0,65.0,61.0,65.0,64.0,67.0,63.0,64.0,64.0,58.0,62.4,2.043
2,59.0,60.0,60.0,62.0,62.0,61.0,59.0,59.0,59.0,63.0,61.0,61.0,60.0,63.0,59.0,63.0,62.0,59.0,60.0,60.0,59.0,65.0,60.0,60.0,64.0,65.0,61.0,64.0,62.0,58.0,61.0,1.915
3,59.0,60.0,60.0,61.0,62.0,55.0,58.0,56.0,59.0,61.0,56.0,58.0,59.0,59.0,59.0,60.0,59.0,59.0,60.0,60.0,58.0,64.0,60.0,60.0,61.0,62.0,59.0,59.0,61.0,58.0,59.4,1.818
4,59.0,60.0,60.0,56.0,55.0,55.0,58.0,56.0,59.0,60.0,56.0,58.0,59.0,54.0,57.0,57.0,59.0,55.0,60.0,60.0,58.0,60.0,58.0,60.0,61.0,62.0,54.0,58.0,60.0,58.0,58.067,2.112
5,57.0,60.0,57.0,56.0,55.0,55.0,57.0,56.0,59.0,59.0,54.0,58.0,56.0,54.0,57.0,57.0,59.0,54.0,60.0,58.0,58.0,60.0,55.0,56.0,60.0,60.0,54.0,57.0,59.0,57.0,57.133,1.962
6,54.0,59.0,57.0,54.0,55.0,55.0,50.0,50.0,58.0,57.0,54.0,57.0,56.0,54.0,56.0,57.0,55.0,54.0,55.0,55.0,58.0,59.0,55.0,54.0,60.0,57.0,54.0,56.0,57.0,57.0,55.633,2.243
7,54.0,52.0,54.0,51.0,55.0,53.0,47.0,50.0,58.0,56.0,54.0,55.0,52.0,54.0,56.0,56.0,54.0,54.0,55.0,55.0,58.0,55.0,55.0,54.0,60.0,54.0,53.0,53.0,56.0,56.0,54.3,2.424
8,53.0,52.0,54.0,51.0,55.0,49.0,47.0,50.0,53.0,53.0,54.0,55.0,49.0,52.0,54.0,55.0,54.0,52.0,54.0,48.0,53.0,55.0,53.0,54.0,60.0,50.0,49.0,52.0,50.0,53.0,52.433,2.616
9,52.0,51.0,53.0,51.0,55.0,49.0,46.0,50.0,51.0,53.0,54.0,54.0,48.0,51.0,53.0,55.0,53.0,52.0,53.0,48.0,52.0,54.0,50.0,48.0,60.0,50.0,49.0,52.0,50.0,52.0,51.633,2.689
10,50.0,50.0,53.0,51.0,55.0,48.0,46.0,50.0,46.0,53.0,50.0,51.0,43.0,51.0,51.0,52.0,53.0,50.0,53.0,48.0,50.0,54.0,49.0,48.0,57.0,50.0,49.0,50.0,50.0,50.0,50.367,2.738
11,49.0,50.0,53.0,51.0,55.0,48.0,46.0,50.0,46.0,51.0,50.0,51.0,43.0,50.0,51.0,51.0,53.0,50.0,48.0,48.0,49.0,51.0,47.0,48.0,57.0,50.0,49.0,48.0,49.0,50.0,49.733,2.645
12,49.0,48.0,50.0,46.0,53.0,48.0,46.0,50.0,46.0,51.0,49.0,51.0,43.0,48.0,48.0,49.0,52.0,49.0,46.0,46.0,48.0,51.0,47.0,48.0,50.0,48.0,48.0,48.0,46.0,48.0,48.333,2.087
13,44.0,47.0,47.0,45.0,51.0,43.0,44.0,45.0,46.0,47.0,49.0,51.0,43.0,46.0,46.0,49.0,51.0,49.0,46.0,45.0,48.0,51.0,47.0,46.0,50.0,48.0,48.0,47.0,46.0,48.0,47.1,2.285
14,44.0,46.0,47.0,45.0,51.0,43.0,44.0,45.0,46.0,47.0,46.0,46.0,42.0,43.0,46.0,49.0,51.0,46.0,46.0,42.0,46.0,51.0,45.0,46.0,50.0,47.0,45.0,44.0,46.0,48.0,46.1,2.399
15,43.0,45.0,46.0,45.0,50.0,43.0,43.0,45.0,45.0,40.0,46.0,46.0,41.0,43.0,46.0,48.0,51.0,46.0,44.0,42.0,46.0,46.0,43.0,46.0,50.0,45.0,42.0,44.0,42.0,48.0,45.0,2.595
16,43.0,45.0,45.0,45.0,50.0,41.0,39.0,45.0,45.0,40.0,44.0,44.0,39.0,43.0,46.0,46.0,49.0,42.0,44.0,42.0,46.0,46.0,43.0,46.0,47.0,43.0,41.0,42.0,39.0,48.0,43.933,2.804
17,42.0,44.0,45.0,45.0,47.0,41.0,39.0,45.0,45.0,40.0,44.0,44.0,39.0,43.0,46.0,45.0,47.0,37.0,42.0,42.0,43.0,46.0,43.0,46.0,47.0,41.0,37.0,40.0,39.0,48.0,43.067,3.01
18,42.0,43.0,42.0,43.0,47.0,39.0,39.0,44.0,42.0,37.0,43.0,44.0,38.0,36.0,45.0,45.0,45.0,37.0,41.0,41.0,39.0,46.0,42.0,46.0,44.0,38.0,36.0,39.0,39.0,47.0,41.633,3.271
19,42.0,43.0,42.0,42.0,46.0,38.0,36.0,44.0,41.0,37.0,42.0,42.0,36.0,36.0,45.0,42.0,45.0,37.0,41.0,38.0,39.0,46.0,42.0,41.0,44.0,35.0,33.0,36.0,39.0,47.0,40.567,3.649
20,41.0,42.0,39.0,42.0,46.0,35.0,36.0,43.0,39.0,37.0,41.0,41.0,36.0,36.0,45.0,42.0,42.0,37.0,40.0,37.0,39.0,46.0,41.0,41.0,44.0,35.0,33.0,36.0,38.0,45.0,39.833,3.484
21,39.0,40.0,39.0,39.0,46.0,35.0,36.0,41.0,39.0,34.0,40.0,39.0,36.0,36.0,42.0,42.0,42.0,37.0,39.0,36.0,39.0,46.0,39.0,41.0,44.0,35.0,33.0,36.0,36.0,45.0,39.033,3.401
22,38.0,40.0,39.0,38.0,46.0,32.0,36.0,41.0,36.0,34.0,37.0,39.0,36.0,35.0,42.0,40.0,40.0,35.0,39.0,34.0,39.0,46.0,39.0,38.0,44.0,32.0,33.0,36.0,36.0,41.0,38.033,3.573
23,35.0,40.0,38.0,38.0,46.0,32.0,36.0,41.0,36.0,34.0,37.0,39.0,36.0,34.0,41.0,40.0,40.0,35.0,39.0,34.0,39.0,46.0,37.0,38.0,44.0,30.0,33.0,36.0,34.0,41.0,37.633,3.773
24,35.0,39.0,38.0,38.0,46.0,30.0,34.0,38.0,36.0,33.0,37.0,39.0,36.0,34.0,39.0,40.0,38.0,30.0,39.0,34.0,39.0,46.0,37.0,36.0,42.0,30.0,33.0,36.0,34.0,39.0,36.833,3.856
25,35.0,39.0,37.0,38.0,46.0,29.0,34.0,38.0,36.0,33.0,36.0,39.0,34.0,34.0,38.0,37.0,38.0,30.0,39.0,34.0,39.0,46.0,36.0,36.0,42.0,30.0,33.0,36.0,34.0,39.0,36.5,3.879
