Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,21.0,20.0,22.0,19.0,20.0,21.0,19.0,22.0,21.0,19.0,20.0,22.0,17.0,19.0,22.0,19.0,20.0,18.0,22.0,21.0,22.0,22.0,23.0,17.0,22.0,24.0,19.0,21.0,18.0,13.0,22.0,20.0,21.0,21.0,22.0,21.0,21.0,23.0,22.0,20.0,20.45,1.999
1,20.0,20.0,22.0,19.0,20.0,21.0,19.0,21.0,21.0,19.0,20.0,22.0,17.0,19.0,22.0,19.0,20.0,18.0,22.0,21.0,22.0,22.0,21.0,17.0,22.0,24.0,19.0,21.0,18.0,13.0,22.0,20.0,21.0,21.0,18.0,21.0,21.0,23.0,22.0,20.0,20.25,1.959
2,20.0,20.0,22.0,19.0,20.0,20.0,19.0,21.0,21.0,19.0,20.0,22.0,17.0,13.0,22.0,19.0,20.0,18.0,22.0,21.0,22.0,21.0,21.0,17.0,20.0,24.0,19.0,21.0,18.0,13.0,22.0,17.0,21.0,21.0,18.0,21.0,21.0,21.0,20.0,20.0,19.825,2.19
3,20.0,20.0,22.0,19.0,20.0,20.0,19.0,21.0,21.0,19.0,20.0,19.0,17.0,13.0,22.0,19.0,20.0,18.0,22.0,19.0,22.0,21.0,21.0,17.0,20.0,22.0,19.0,21.0,18.0,13.0,22.0,17.0,21.0,20.0,18.0,21.0,21.0,16.0,19.0,20.0,19.475,2.133
4,20.0,19.0,22.0,19.0,20.0,20.0,19.0,21.0,21.0,19.0,20.0,19.0,17.0,13.0,22.0,19.0,20.0,18.0,21.0,19.0,20.0,21.0,21.0,17.0,20.0,20.0,19.0,16.0,18.0,13.0,22.0,17.0,21.0,20.0,18.0,21.0,21.0,16.0,19.0,20.0,19.2,2.076
5,20.0,19.0,22.0,19.0,20.0,20.0,19.0,21.0,21.0,19.0,20.0,19.0,17.0,13.0,22.0,19.0,19.0,18.0,21.0,19.0,20.0,21.0,21.0,17.0,20.0,20.0,19.0,16.0,18.0,13.0,22.0,17.0,21.0,20.0,18.0,21.0,21.0,16.0,19.0,20.0,19.175,2.072
6,20.0,19.0,20.0,19.0,20.0,20.0,16.0,21.0,19.0,19.0,20.0,19.0,17.0,13.0,22.0,19.0,19.0,18.0,20.0,19.0,20.0,21.0,21.0,17.0,20.0,18.0,19.0,16.0,18.0,13.0,22.0,17.0,21.0,20.0,18.0,21.0,21.0,16.0,19.0,19.0,18.9,2.035
7,20.0,19.0,20.0,19.0,20.0,20.0,16.0,21.0,19.0,19.0,20.0,19.0,17.0,13.0,22.0,19.0,19.0,18.0,20.0,19.0,20.0,21.0,21.0,17.0,20.0,18.0,19.0,16.0,18.0,13.0,22.0,17.0,21.0,20.0,18.0,21.0,21.0,16.0,19.0,19.0,18.9,2.035
8,20.0,19.0,20.0,19.0,20.0,18.0,16.0,21.0,19.0,19.0,20.0,19.0,17.0,13.0,22.0,19.0,19.0,18.0,20.0,19.0,19.0,21.0,21.0,17.0,20.0,18.0,19.0,16.0,18.0,13.0,22.0,17.0,20.0,20.0,18.0,21.0,21.0,16.0,19.0,19.0,18.8,2.002
9,20.0,19.0,20.0,19.0,20.0,18.0,16.0,21.0,19.0,19.0,20.0,19.0,17.0,13.0,21.0,19.0,19.0,18.0,20.0,19.0,19.0,21.0,21.0,17.0,20.0,18.0,17.0,16.0,18.0,13.0,22.0,17.0,20.0,20.0,18.0,21.0,21.0,16.0,19.0,19.0,18.725,1.987
10,20.0,19.0,20.0,19.0,20.0,18.0,16.0,21.0,19.0,19.0,20.0,17.0,17.0,13.0,21.0,19.0,19.0,18.0,20.0,19.0,19.0,21.0,19.0,17.0,20.0,18.0,17.0,16.0,18.0,13.0,22.0,17.0,20.0,20.0,18.0,19.0,21.0,16.0,19.0,19.0,18.575,1.935
