Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,20.0,21.0,21.0,18.0,20.0,21.0,21.0,22.0,24.0,21.0,17.0,22.0,21.0,24.0,17.0,22.0,18.0,21.0,19.0,20.0,21.0,21.0,22.0,21.0,23.0,22.0,20.0,21.0,18.0,22.0,22.0,21.0,22.0,21.0,20.0,20.0,18.0,21.0,21.0,21.0,20.7,1.616
1,20.0,19.0,17.0,18.0,20.0,17.0,17.0,21.0,20.0,18.0,17.0,21.0,17.0,24.0,17.0,22.0,16.0,20.0,18.0,20.0,21.0,20.0,20.0,21.0,17.0,20.0,20.0,21.0,18.0,20.0,21.0,21.0,22.0,20.0,20.0,20.0,18.0,21.0,21.0,21.0,19.55,1.774
2,17.0,19.0,17.0,17.0,17.0,17.0,17.0,17.0,20.0,18.0,17.0,19.0,17.0,21.0,17.0,22.0,16.0,19.0,18.0,19.0,18.0,20.0,20.0,19.0,17.0,18.0,20.0,20.0,18.0,20.0,21.0,20.0,21.0,20.0,18.0,20.0,18.0,21.0,21.0,17.0,18.7,1.568
3,17.0,18.0,17.0,17.0,15.0,17.0,17.0,17.0,20.0,18.0,17.0,19.0,17.0,19.0,17.0,18.0,16.0,19.0,18.0,18.0,18.0,19.0,17.0,19.0,17.0,18.0,19.0,19.0,18.0,20.0,21.0,19.0,20.0,20.0,18.0,17.0,18.0,21.0,21.0,17.0,18.175,1.376
4,17.0,18.0,17.0,17.0,15.0,17.0,17.0,17.0,20.0,18.0,17.0,17.0,17.0,19.0,17.0,18.0,16.0,19.0,17.0,18.0,18.0,19.0,17.0,17.0,16.0,16.0,16.0,17.0,18.0,20.0,20.0,19.0,18.0,20.0,16.0,17.0,18.0,21.0,20.0,17.0,17.7,1.364
5,17.0,17.0,17.0,17.0,15.0,17.0,17.0,17.0,20.0,18.0,17.0,17.0,17.0,19.0,17.0,18.0,14.0,19.0,17.0,18.0,18.0,18.0,17.0,17.0,16.0,16.0,16.0,17.0,18.0,20.0,17.0,19.0,18.0,16.0,16.0,17.0,18.0,18.0,16.0,17.0,17.25,1.178
6,15.0,17.0,17.0,17.0,15.0,17.0,17.0,17.0,19.0,18.0,17.0,16.0,17.0,19.0,17.0,18.0,14.0,17.0,17.0,15.0,18.0,18.0,17.0,17.0,16.0,15.0,16.0,17.0,18.0,20.0,17.0,19.0,18.0,16.0,16.0,17.0,18.0,18.0,16.0,17.0,17.0,1.225
7,15.0,17.0,17.0,17.0,15.0,17.0,17.0,17.0,19.0,18.0,17.0,16.0,17.0,19.0,17.0,18.0,14.0,17.0,17.0,15.0,18.0,18.0,17.0,17.0,16.0,15.0,16.0,17.0,18.0,20.0,17.0,19.0,18.0,16.0,16.0,17.0,16.0,18.0,16.0,17.0,16.95,1.224
8,15.0,17.0,17.0,17.0,15.0,17.0,17.0,17.0,15.0,18.0,17.0,16.0,17.0,19.0,17.0,17.0,14.0,17.0,16.0,15.0,18.0,18.0,17.0,17.0,16.0,14.0,16.0,17.0,18.0,20.0,17.0,19.0,18.0,16.0,16.0,17.0,15.0,18.0,16.0,17.0,16.75,1.28
9,15.0,17.0,17.0,17.0,15.0,17.0,17.0,17.0,15.0,18.0,17.0,16.0,17.0,19.0,16.0,17.0,14.0,17.0,16.0,15.0,18.0,18.0,17.0,17.0,16.0,14.0,16.0,17.0,13.0,19.0,17.0,18.0,18.0,16.0,16.0,17.0,15.0,18.0,16.0,16.0,16.525,1.304
