Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,23.0,17.0,18.0,23.0,21.0,20.0,20.0,22.0,22.0,20.0,21.0,19.0,22.0,19.0,18.0,22.0,22.0,19.0,22.0,20.0,22.0,22.0,21.0,20.0,23.0,21.0,23.0,23.0,21.0,22.0,16.0,21.0,16.0,24.0,21.0,23.0,20.0,19.0,22.0,20.0,20.75,1.92
1,23.0,17.0,18.0,23.0,21.0,18.0,20.0,22.0,20.0,20.0,21.0,19.0,21.0,19.0,18.0,19.0,22.0,19.0,22.0,20.0,22.0,22.0,20.0,20.0,23.0,20.0,20.0,23.0,21.0,22.0,16.0,21.0,16.0,20.0,21.0,22.0,20.0,18.0,22.0,20.0,20.275,1.816
2,23.0,17.0,18.0,20.0,21.0,18.0,20.0,22.0,20.0,20.0,21.0,19.0,20.0,19.0,18.0,18.0,22.0,19.0,22.0,20.0,20.0,22.0,20.0,20.0,23.0,20.0,20.0,23.0,21.0,22.0,16.0,21.0,16.0,20.0,21.0,21.0,20.0,18.0,22.0,20.0,20.075,1.738
3,23.0,17.0,18.0,20.0,21.0,18.0,20.0,22.0,20.0,20.0,21.0,19.0,20.0,19.0,18.0,18.0,22.0,19.0,22.0,20.0,20.0,19.0,20.0,20.0,22.0,20.0,20.0,20.0,21.0,21.0,16.0,19.0,16.0,20.0,21.0,20.0,20.0,18.0,22.0,20.0,19.8,1.568
4,23.0,17.0,18.0,20.0,21.0,18.0,20.0,21.0,20.0,20.0,21.0,19.0,20.0,19.0,18.0,18.0,22.0,19.0,22.0,20.0,20.0,19.0,20.0,20.0,22.0,20.0,20.0,20.0,18.0,21.0,16.0,19.0,16.0,20.0,21.0,20.0,20.0,18.0,21.0,20.0,19.675,1.523
5,23.0,17.0,18.0,20.0,21.0,18.0,20.0,17.0,20.0,20.0,21.0,19.0,20.0,19.0,18.0,18.0,22.0,19.0,22.0,19.0,20.0,19.0,20.0,19.0,22.0,16.0,20.0,20.0,18.0,21.0,16.0,19.0,16.0,20.0,19.0,20.0,20.0,18.0,21.0,20.0,19.375,1.638
6,22.0,17.0,18.0,20.0,21.0,18.0,20.0,17.0,20.0,20.0,17.0,19.0,20.0,19.0,18.0,18.0,22.0,19.0,18.0,19.0,20.0,19.0,20.0,19.0,22.0,16.0,17.0,20.0,18.0,21.0,16.0,19.0,16.0,18.0,19.0,20.0,20.0,18.0,21.0,20.0,19.025,1.589
7,22.0,17.0,18.0,20.0,21.0,18.0,20.0,17.0,20.0,20.0,17.0,19.0,20.0,19.0,18.0,18.0,22.0,19.0,18.0,19.0,20.0,19.0,20.0,19.0,22.0,16.0,17.0,20.0,18.0,21.0,16.0,19.0,16.0,18.0,19.0,20.0,20.0,18.0,21.0,20.0,19.025,1.589
8,22.0,17.0,18.0,20.0,21.0,18.0,20.0,17.0,16.0,20.0,17.0,17.0,20.0,19.0,18.0,18.0,22.0,19.0,18.0,19.0,20.0,19.0,20.0,19.0,19.0,16.0,17.0,20.0,18.0,21.0,16.0,19.0,16.0,18.0,19.0,20.0,20.0,16.0,21.0,20.0,18.75,1.655
9,22.0,17.0,18.0,20.0,21.0,18.0,20.0,17.0,16.0,20.0,17.0,17.0,20.0,19.0,18.0,18.0,22.0,19.0,18.0,18.0,20.0,19.0,20.0,19.0,19.0,16.0,17.0,20.0,18.0,21.0,16.0,19.0,16.0,18.0,19.0,20.0,20.0,16.0,20.0,20.0,18.7,1.631
