Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,19.0,20.0,19.0,22.0,21.0,21.0,19.0,20.0,17.0,20.0,20.0,23.0,19.0,23.0,22.0,17.0,22.0,15.0,16.0,19.0,23.0,20.0,22.0,23.0,20.0,20.0,22.0,20.0,21.0,18.0,18.0,21.0,20.0,20.0,19.0,23.0,20.0,20.0,21.0,21.0,20.15,1.891
1,19.0,20.0,19.0,21.0,21.0,20.0,19.0,19.0,17.0,19.0,19.0,19.0,19.0,20.0,17.0,17.0,21.0,15.0,16.0,19.0,22.0,20.0,20.0,22.0,19.0,18.0,20.0,19.0,21.0,18.0,18.0,21.0,20.0,20.0,19.0,16.0,17.0,20.0,20.0,17.0,19.075,1.618
2,19.0,20.0,19.0,20.0,20.0,18.0,19.0,19.0,17.0,16.0,17.0,16.0,19.0,19.0,17.0,15.0,21.0,15.0,16.0,19.0,18.0,20.0,18.0,19.0,19.0,18.0,19.0,18.0,21.0,18.0,18.0,20.0,19.0,19.0,19.0,16.0,17.0,17.0,16.0,17.0,18.175,1.531
3,18.0,16.0,15.0,19.0,19.0,18.0,18.0,19.0,17.0,16.0,17.0,16.0,18.0,17.0,17.0,15.0,16.0,14.0,16.0,18.0,17.0,19.0,18.0,17.0,17.0,18.0,19.0,17.0,20.0,18.0,18.0,20.0,18.0,19.0,19.0,16.0,15.0,17.0,16.0,17.0,17.35,1.406
4,18.0,16.0,12.0,19.0,17.0,18.0,16.0,15.0,17.0,16.0,17.0,16.0,18.0,17.0,17.0,15.0,16.0,14.0,16.0,16.0,17.0,19.0,16.0,17.0,17.0,18.0,19.0,17.0,19.0,18.0,18.0,20.0,18.0,18.0,17.0,16.0,15.0,17.0,16.0,16.0,16.85,1.492
5,18.0,16.0,12.0,19.0,17.0,15.0,16.0,15.0,17.0,16.0,17.0,16.0,18.0,17.0,16.0,14.0,16.0,14.0,16.0,16.0,17.0,17.0,16.0,17.0,17.0,18.0,19.0,16.0,19.0,17.0,18.0,20.0,15.0,18.0,17.0,16.0,15.0,17.0,16.0,14.0,16.5,1.549
6,18.0,16.0,12.0,19.0,17.0,15.0,15.0,15.0,17.0,16.0,16.0,16.0,18.0,16.0,15.0,12.0,16.0,14.0,16.0,16.0,17.0,17.0,16.0,17.0,17.0,18.0,18.0,16.0,18.0,17.0,18.0,17.0,13.0,17.0,17.0,14.0,15.0,16.0,16.0,14.0,16.075,1.587
7,18.0,15.0,12.0,17.0,17.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,18.0,16.0,15.0,12.0,15.0,14.0,16.0,12.0,17.0,16.0,16.0,15.0,16.0,14.0,18.0,16.0,18.0,17.0,18.0,17.0,13.0,15.0,17.0,14.0,15.0,16.0,16.0,14.0,15.6,1.594
8,15.0,15.0,12.0,16.0,17.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,18.0,15.0,15.0,12.0,15.0,14.0,15.0,12.0,17.0,16.0,14.0,15.0,16.0,14.0,18.0,15.0,18.0,17.0,16.0,15.0,13.0,15.0,15.0,14.0,15.0,15.0,16.0,14.0,15.2,1.435
9,15.0,15.0,12.0,16.0,17.0,15.0,15.0,14.0,16.0,16.0,15.0,16.0,18.0,15.0,14.0,11.0,15.0,14.0,15.0,12.0,17.0,16.0,14.0,15.0,16.0,14.0,18.0,15.0,18.0,17.0,16.0,15.0,13.0,15.0,14.0,14.0,15.0,15.0,16.0,14.0,15.075,1.523
