Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,69.0,65.0,63.0,66.0,68.0,65.0,67.0,65.0,63.0,66.0,66.0,67.0,70.0,65.0,66.0,63.0,68.0,65.0,65.0,66.0,64.0,65.0,62.0,67.0,60.0,66.0,67.0,65.0,68.0,65.0,63.0,65.0,63.0,70.0,66.0,69.0,66.0,65.0,66.0,67.0,65.675,2.09
1,67.0,65.0,63.0,66.0,62.0,63.0,67.0,65.0,63.0,66.0,66.0,67.0,68.0,65.0,66.0,63.0,64.0,64.0,62.0,66.0,64.0,65.0,62.0,65.0,60.0,62.0,67.0,65.0,66.0,63.0,63.0,65.0,63.0,64.0,66.0,61.0,66.0,65.0,65.0,67.0,64.55,1.857
2,67.0,65.0,63.0,66.0,62.0,63.0,67.0,65.0,63.0,66.0,63.0,67.0,67.0,65.0,63.0,63.0,64.0,64.0,62.0,66.0,64.0,65.0,62.0,65.0,60.0,62.0,67.0,65.0,64.0,63.0,63.0,65.0,63.0,64.0,66.0,61.0,66.0,65.0,64.0,67.0,64.3,1.792
3,67.0,65.0,63.0,66.0,61.0,63.0,67.0,65.0,63.0,62.0,63.0,67.0,67.0,65.0,63.0,63.0,61.0,64.0,62.0,66.0,64.0,65.0,62.0,65.0,60.0,62.0,67.0,65.0,64.0,63.0,63.0,65.0,63.0,64.0,66.0,61.0,66.0,65.0,64.0,65.0,64.05,1.857
4,66.0,65.0,63.0,66.0,61.0,63.0,67.0,65.0,63.0,62.0,63.0,65.0,67.0,62.0,63.0,63.0,61.0,64.0,62.0,66.0,64.0,64.0,62.0,65.0,60.0,62.0,67.0,65.0,64.0,63.0,63.0,65.0,63.0,64.0,66.0,61.0,66.0,65.0,64.0,65.0,63.875,1.777
5,66.0,65.0,63.0,66.0,61.0,63.0,67.0,65.0,63.0,60.0,63.0,65.0,67.0,62.0,60.0,63.0,61.0,64.0,62.0,66.0,64.0,64.0,62.0,62.0,60.0,62.0,63.0,65.0,64.0,63.0,63.0,64.0,63.0,64.0,63.0,61.0,66.0,65.0,64.0,65.0,63.475,1.83
6,63.0,65.0,63.0,66.0,61.0,63.0,67.0,65.0,63.0,60.0,63.0,65.0,67.0,62.0,60.0,63.0,61.0,64.0,62.0,66.0,64.0,64.0,62.0,62.0,60.0,62.0,63.0,65.0,64.0,63.0,63.0,64.0,63.0,64.0,63.0,61.0,66.0,65.0,64.0,58.0,63.225,1.956
7,63.0,65.0,63.0,66.0,61.0,63.0,67.0,65.0,63.0,60.0,63.0,65.0,67.0,62.0,60.0,63.0,61.0,64.0,62.0,66.0,64.0,64.0,62.0,62.0,60.0,62.0,63.0,65.0,64.0,63.0,63.0,64.0,63.0,64.0,63.0,61.0,66.0,65.0,64.0,58.0,63.225,1.956
8,63.0,65.0,63.0,62.0,61.0,63.0,65.0,65.0,63.0,60.0,63.0,65.0,62.0,62.0,60.0,63.0,61.0,64.0,62.0,63.0,64.0,64.0,62.0,62.0,60.0,62.0,63.0,65.0,64.0,61.0,63.0,64.0,63.0,64.0,63.0,61.0,66.0,65.0,64.0,58.0,62.825,1.687
9,63.0,65.0,63.0,62.0,61.0,63.0,65.0,65.0,63.0,60.0,63.0,65.0,62.0,62.0,60.0,63.0,61.0,64.0,62.0,63.0,64.0,64.0,62.0,62.0,60.0,62.0,63.0,65.0,64.0,61.0,63.0,64.0,63.0,64.0,63.0,61.0,66.0,65.0,64.0,58.0,62.825,1.687
10,63.0,65.0,63.0,62.0,61.0,63.0,64.0,65.0,63.0,60.0,63.0,65.0,62.0,62.0,60.0,63.0,61.0,64.0,62.0,63.0,64.0,64.0,62.0,62.0,60.0,62.0,63.0,65.0,64.0,61.0,63.0,64.0,63.0,64.0,63.0,61.0,66.0,65.0,64.0,58.0,62.8,1.661
11,63.0,65.0,63.0,62.0,61.0,63.0,64.0,65.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,63.0,61.0,64.0,62.0,63.0,64.0,64.0,62.0,62.0,60.0,62.0,63.0,65.0,64.0,61.0,63.0,64.0,63.0,64.0,63.0,61.0,66.0,65.0,64.0,58.0,62.775,1.635
12,63.0,62.0,63.0,62.0,61.0,63.0,64.0,65.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,63.0,61.0,64.0,59.0,63.0,64.0,64.0,62.0,61.0,60.0,62.0,63.0,65.0,64.0,61.0,63.0,64.0,63.0,64.0,63.0,61.0,66.0,65.0,64.0,58.0,62.6,1.715
13,63.0,62.0,63.0,62.0,61.0,63.0,64.0,65.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,63.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,63.0,65.0,64.0,61.0,63.0,64.0,63.0,64.0,63.0,61.0,66.0,64.0,61.0,58.0,62.4,1.772
14,63.0,62.0,63.0,62.0,61.0,63.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,63.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,63.0,65.0,64.0,61.0,63.0,64.0,63.0,64.0,63.0,61.0,66.0,64.0,61.0,58.0,62.375,1.742
15,63.0,62.0,63.0,62.0,61.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,63.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,63.0,65.0,64.0,61.0,63.0,64.0,63.0,64.0,63.0,61.0,66.0,64.0,61.0,58.0,62.3,1.778
16,63.0,62.0,63.0,62.0,61.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,63.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,65.0,64.0,61.0,63.0,64.0,63.0,64.0,63.0,61.0,66.0,64.0,61.0,58.0,62.2,1.847
17,63.0,62.0,63.0,62.0,61.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,63.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,65.0,64.0,61.0,63.0,64.0,63.0,64.0,63.0,61.0,66.0,64.0,61.0,58.0,62.2,1.847
18,63.0,62.0,63.0,62.0,61.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,63.0,64.0,63.0,64.0,63.0,61.0,66.0,64.0,61.0,58.0,62.15,1.81
19,63.0,62.0,63.0,62.0,61.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,63.0,64.0,63.0,64.0,63.0,61.0,66.0,62.0,61.0,58.0,62.1,1.786
20,63.0,62.0,63.0,62.0,59.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,61.0,64.0,63.0,64.0,63.0,61.0,66.0,62.0,61.0,58.0,62.0,1.844
21,63.0,62.0,63.0,62.0,59.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,61.0,64.0,63.0,64.0,63.0,61.0,66.0,62.0,61.0,58.0,62.0,1.844
22,63.0,62.0,63.0,62.0,59.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,61.0,64.0,63.0,64.0,63.0,61.0,66.0,62.0,61.0,58.0,62.0,1.844
23,63.0,62.0,63.0,62.0,59.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,61.0,64.0,63.0,64.0,63.0,61.0,66.0,62.0,61.0,58.0,62.0,1.844
24,63.0,62.0,63.0,62.0,59.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,61.0,64.0,63.0,63.0,63.0,61.0,66.0,62.0,61.0,58.0,61.975,1.823
25,63.0,62.0,63.0,62.0,59.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,61.0,64.0,63.0,63.0,63.0,61.0,66.0,62.0,61.0,58.0,61.975,1.823
26,63.0,62.0,63.0,62.0,59.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,61.0,64.0,63.0,63.0,63.0,61.0,66.0,62.0,61.0,58.0,61.975,1.823
27,63.0,62.0,63.0,62.0,59.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,61.0,64.0,63.0,63.0,63.0,61.0,66.0,62.0,61.0,58.0,61.975,1.823
28,63.0,62.0,63.0,62.0,59.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,61.0,64.0,63.0,63.0,63.0,61.0,66.0,62.0,61.0,58.0,61.975,1.823
29,63.0,62.0,63.0,62.0,59.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,61.0,64.0,63.0,63.0,63.0,61.0,66.0,62.0,61.0,58.0,61.975,1.823
30,63.0,62.0,63.0,62.0,59.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,61.0,64.0,63.0,63.0,63.0,61.0,66.0,62.0,61.0,58.0,61.975,1.823
31,63.0,62.0,63.0,62.0,59.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,61.0,64.0,63.0,63.0,63.0,61.0,65.0,62.0,61.0,58.0,61.95,1.774
32,63.0,62.0,63.0,62.0,59.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,61.0,64.0,63.0,63.0,63.0,61.0,65.0,62.0,61.0,58.0,61.95,1.774
33,63.0,62.0,63.0,62.0,59.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,61.0,64.0,63.0,63.0,63.0,61.0,65.0,62.0,61.0,58.0,61.95,1.774
34,63.0,62.0,63.0,62.0,59.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,61.0,64.0,63.0,63.0,63.0,61.0,65.0,62.0,61.0,58.0,61.95,1.774
35,63.0,62.0,63.0,62.0,59.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,61.0,64.0,63.0,63.0,63.0,61.0,65.0,62.0,61.0,58.0,61.95,1.774
36,63.0,62.0,63.0,62.0,59.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,61.0,64.0,63.0,63.0,63.0,61.0,65.0,62.0,61.0,58.0,61.95,1.774
37,63.0,62.0,63.0,62.0,59.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,61.0,64.0,63.0,63.0,63.0,61.0,65.0,62.0,61.0,58.0,61.95,1.774
38,63.0,62.0,63.0,62.0,59.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,61.0,64.0,63.0,63.0,63.0,61.0,65.0,62.0,61.0,58.0,61.95,1.774
39,63.0,62.0,63.0,62.0,59.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,61.0,64.0,63.0,63.0,63.0,61.0,65.0,62.0,61.0,58.0,61.95,1.774
40,63.0,62.0,63.0,62.0,59.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,61.0,64.0,63.0,63.0,63.0,61.0,65.0,62.0,61.0,58.0,61.95,1.774
41,63.0,62.0,63.0,62.0,59.0,60.0,64.0,64.0,63.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,61.0,64.0,63.0,63.0,63.0,61.0,64.0,62.0,61.0,58.0,61.925,1.738
42,63.0,62.0,63.0,62.0,59.0,60.0,64.0,64.0,60.0,60.0,63.0,64.0,62.0,62.0,60.0,62.0,61.0,64.0,59.0,59.0,64.0,64.0,62.0,61.0,60.0,62.0,59.0,64.0,64.0,61.0,61.0,64.0,63.0,63.0,63.0,61.0,64.0,62.0,61.0,58.0,61.85,1.754
