Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,65.0,65.0,66.0,63.0,65.0,66.0,69.0,65.0,65.0,65.0,63.0,67.0,61.0,66.0,61.0,66.0,65.0,62.0,66.0,67.0,62.0,65.0,63.0,63.0,63.0,66.0,69.0,66.0,68.0,62.0,66.0,66.0,66.0,67.0,67.0,68.0,66.0,63.0,66.0,64.0,65.1,2.01
1,63.0,63.0,62.0,58.0,62.0,62.0,65.0,64.0,61.0,63.0,62.0,62.0,61.0,66.0,61.0,66.0,63.0,62.0,61.0,66.0,62.0,65.0,63.0,63.0,63.0,64.0,67.0,66.0,67.0,62.0,64.0,63.0,58.0,65.0,63.0,63.0,61.0,63.0,61.0,63.0,62.975,2.031
2,62.0,62.0,58.0,58.0,62.0,60.0,64.0,62.0,61.0,58.0,61.0,62.0,59.0,65.0,61.0,64.0,56.0,62.0,61.0,66.0,61.0,63.0,58.0,63.0,63.0,64.0,64.0,60.0,65.0,56.0,60.0,62.0,58.0,63.0,61.0,62.0,61.0,62.0,60.0,59.0,61.225,2.361
3,62.0,62.0,58.0,58.0,61.0,60.0,63.0,62.0,59.0,58.0,61.0,62.0,59.0,63.0,60.0,62.0,56.0,62.0,57.0,61.0,59.0,60.0,56.0,60.0,63.0,60.0,63.0,60.0,65.0,56.0,60.0,60.0,58.0,59.0,61.0,62.0,58.0,62.0,60.0,59.0,60.175,2.108
4,60.0,57.0,58.0,58.0,61.0,60.0,63.0,60.0,59.0,54.0,58.0,62.0,59.0,63.0,59.0,62.0,56.0,62.0,57.0,61.0,59.0,59.0,56.0,60.0,63.0,60.0,63.0,58.0,62.0,56.0,59.0,57.0,58.0,58.0,61.0,62.0,58.0,62.0,60.0,59.0,59.475,2.225
5,59.0,57.0,58.0,58.0,61.0,60.0,61.0,59.0,59.0,54.0,58.0,62.0,59.0,61.0,59.0,61.0,56.0,62.0,57.0,60.0,54.0,59.0,56.0,60.0,63.0,59.0,61.0,58.0,62.0,56.0,59.0,57.0,58.0,57.0,60.0,62.0,58.0,60.0,60.0,59.0,58.975,2.103
6,58.0,57.0,58.0,57.0,61.0,59.0,61.0,59.0,59.0,54.0,58.0,61.0,59.0,60.0,59.0,59.0,56.0,59.0,57.0,60.0,54.0,59.0,56.0,60.0,61.0,59.0,61.0,52.0,60.0,56.0,59.0,57.0,58.0,57.0,58.0,60.0,58.0,60.0,59.0,57.0,58.3,2.015
7,58.0,57.0,58.0,57.0,61.0,59.0,61.0,59.0,59.0,54.0,58.0,61.0,59.0,60.0,59.0,59.0,56.0,59.0,57.0,60.0,54.0,59.0,56.0,60.0,58.0,59.0,61.0,52.0,55.0,56.0,58.0,57.0,57.0,57.0,58.0,60.0,58.0,60.0,57.0,57.0,58.0,2.012
8,58.0,56.0,58.0,57.0,61.0,59.0,58.0,59.0,59.0,52.0,58.0,61.0,59.0,60.0,59.0,59.0,56.0,59.0,57.0,60.0,54.0,59.0,56.0,58.0,58.0,59.0,61.0,52.0,55.0,56.0,58.0,57.0,54.0,53.0,58.0,60.0,58.0,59.0,57.0,53.0,57.5,2.356
9,58.0,55.0,58.0,54.0,55.0,59.0,56.0,59.0,59.0,52.0,58.0,61.0,59.0,60.0,59.0,59.0,56.0,59.0,57.0,60.0,54.0,59.0,54.0,58.0,57.0,59.0,61.0,52.0,55.0,56.0,58.0,57.0,54.0,53.0,58.0,60.0,58.0,58.0,57.0,53.0,57.1,2.427
