Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,63.0,66.0,65.0,61.0,65.0,62.0,66.0,68.0,61.0,67.0,66.0,66.0,68.0,62.0,65.0,61.0,66.0,69.0,64.0,66.0,66.0,67.0,64.0,65.0,66.0,65.0,66.0,65.0,65.0,67.0,66.0,66.0,61.0,66.0,65.0,67.0,66.0,65.0,65.0,65.0,65.125,1.939
1,63.0,59.0,62.0,61.0,60.0,62.0,64.0,65.0,61.0,66.0,65.0,63.0,67.0,62.0,65.0,61.0,64.0,65.0,63.0,62.0,62.0,62.0,63.0,64.0,66.0,64.0,65.0,65.0,65.0,65.0,66.0,62.0,61.0,59.0,65.0,64.0,65.0,61.0,63.0,63.0,63.25,1.959
2,63.0,56.0,61.0,61.0,60.0,59.0,63.0,65.0,61.0,62.0,63.0,63.0,64.0,62.0,60.0,61.0,64.0,63.0,58.0,59.0,62.0,62.0,62.0,60.0,62.0,60.0,61.0,62.0,64.0,63.0,62.0,61.0,61.0,59.0,63.0,62.0,59.0,61.0,62.0,61.0,61.425,1.787
3,63.0,56.0,60.0,59.0,60.0,59.0,63.0,61.0,61.0,58.0,63.0,62.0,63.0,61.0,58.0,61.0,61.0,63.0,58.0,59.0,60.0,62.0,61.0,59.0,58.0,60.0,59.0,62.0,62.0,63.0,61.0,59.0,60.0,59.0,59.0,57.0,59.0,61.0,62.0,59.0,60.275,1.803
4,62.0,56.0,60.0,59.0,60.0,59.0,59.0,59.0,61.0,58.0,58.0,62.0,62.0,61.0,58.0,60.0,61.0,63.0,58.0,59.0,60.0,62.0,60.0,59.0,58.0,60.0,59.0,62.0,62.0,61.0,61.0,59.0,60.0,59.0,59.0,57.0,59.0,61.0,61.0,59.0,59.825,1.547
5,62.0,56.0,59.0,59.0,60.0,59.0,56.0,59.0,61.0,58.0,58.0,59.0,62.0,61.0,58.0,60.0,58.0,63.0,58.0,58.0,60.0,62.0,60.0,59.0,58.0,59.0,59.0,60.0,62.0,61.0,61.0,59.0,60.0,59.0,59.0,57.0,59.0,61.0,61.0,59.0,59.475,1.597
6,60.0,56.0,58.0,59.0,60.0,59.0,56.0,59.0,61.0,58.0,58.0,59.0,59.0,61.0,58.0,60.0,58.0,63.0,58.0,57.0,60.0,61.0,56.0,59.0,58.0,59.0,57.0,60.0,58.0,59.0,61.0,59.0,59.0,59.0,59.0,57.0,59.0,61.0,58.0,58.0,58.85,1.492
7,60.0,56.0,54.0,56.0,59.0,58.0,56.0,59.0,61.0,58.0,58.0,59.0,59.0,54.0,58.0,60.0,58.0,59.0,58.0,57.0,60.0,61.0,56.0,59.0,58.0,59.0,56.0,59.0,58.0,57.0,61.0,59.0,59.0,59.0,59.0,57.0,59.0,61.0,58.0,58.0,58.25,1.684
8,60.0,56.0,54.0,56.0,58.0,58.0,56.0,58.0,61.0,58.0,58.0,59.0,59.0,54.0,58.0,57.0,56.0,59.0,58.0,57.0,60.0,61.0,56.0,59.0,58.0,59.0,56.0,59.0,58.0,57.0,58.0,59.0,59.0,59.0,59.0,57.0,56.0,61.0,57.0,58.0,57.9,1.655
9,58.0,56.0,54.0,56.0,57.0,58.0,56.0,58.0,61.0,56.0,58.0,59.0,59.0,54.0,58.0,56.0,56.0,59.0,58.0,57.0,60.0,61.0,56.0,57.0,56.0,59.0,56.0,59.0,58.0,54.0,57.0,59.0,59.0,59.0,59.0,57.0,56.0,61.0,57.0,56.0,57.5,1.789
