Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,67.0,68.0,65.0,68.0,65.0,64.0,65.0,66.0,66.0,64.0,68.0,65.0,67.0,66.0,67.0,67.0,67.0,66.0,67.0,62.0,68.0,62.0,64.0,64.0,63.0,67.0,66.0,63.0,63.0,67.0,66.0,61.0,65.0,64.0,67.0,64.0,66.0,67.0,65.0,66.0,65.45,1.788
1,67.0,68.0,65.0,68.0,65.0,64.0,65.0,65.0,66.0,64.0,66.0,65.0,67.0,64.0,67.0,67.0,67.0,66.0,64.0,62.0,66.0,62.0,64.0,64.0,62.0,67.0,66.0,63.0,62.0,66.0,64.0,61.0,65.0,64.0,67.0,64.0,66.0,67.0,65.0,66.0,65.075,1.752
2,67.0,68.0,65.0,68.0,64.0,64.0,65.0,65.0,65.0,64.0,63.0,65.0,67.0,64.0,67.0,67.0,63.0,66.0,64.0,62.0,66.0,62.0,64.0,64.0,62.0,67.0,66.0,63.0,62.0,66.0,64.0,61.0,65.0,64.0,66.0,64.0,65.0,67.0,65.0,66.0,64.8,1.735
3,66.0,68.0,63.0,63.0,63.0,64.0,65.0,65.0,65.0,64.0,63.0,65.0,67.0,64.0,63.0,67.0,63.0,64.0,64.0,62.0,66.0,62.0,64.0,64.0,62.0,66.0,66.0,63.0,62.0,66.0,64.0,61.0,60.0,64.0,66.0,64.0,65.0,67.0,65.0,66.0,64.275,1.746
4,66.0,68.0,63.0,63.0,63.0,64.0,65.0,65.0,65.0,64.0,63.0,65.0,67.0,64.0,63.0,63.0,63.0,61.0,64.0,62.0,66.0,62.0,64.0,64.0,62.0,66.0,66.0,63.0,62.0,66.0,64.0,61.0,60.0,64.0,66.0,64.0,65.0,67.0,65.0,66.0,64.1,1.772
5,66.0,68.0,63.0,63.0,63.0,64.0,65.0,65.0,65.0,64.0,63.0,65.0,67.0,64.0,63.0,63.0,63.0,61.0,64.0,62.0,66.0,62.0,64.0,64.0,62.0,66.0,65.0,63.0,62.0,66.0,64.0,61.0,60.0,64.0,66.0,64.0,65.0,67.0,65.0,66.0,64.075,1.752
6,66.0,65.0,63.0,63.0,63.0,64.0,65.0,65.0,65.0,64.0,63.0,65.0,67.0,64.0,63.0,63.0,63.0,61.0,64.0,62.0,63.0,62.0,64.0,64.0,62.0,66.0,65.0,63.0,62.0,66.0,64.0,61.0,60.0,64.0,64.0,64.0,65.0,66.0,65.0,66.0,63.85,1.542
7,66.0,65.0,63.0,63.0,63.0,64.0,65.0,65.0,65.0,64.0,63.0,65.0,66.0,64.0,63.0,63.0,63.0,61.0,64.0,62.0,63.0,62.0,64.0,64.0,62.0,65.0,65.0,63.0,62.0,66.0,64.0,61.0,60.0,64.0,64.0,64.0,65.0,66.0,65.0,66.0,63.8,1.47
8,66.0,65.0,63.0,63.0,63.0,64.0,65.0,65.0,65.0,64.0,63.0,64.0,66.0,64.0,63.0,63.0,63.0,61.0,64.0,62.0,63.0,62.0,64.0,64.0,62.0,65.0,65.0,63.0,62.0,65.0,64.0,61.0,60.0,64.0,64.0,63.0,64.0,66.0,64.0,66.0,63.675,1.403
9,66.0,65.0,63.0,63.0,63.0,64.0,63.0,65.0,65.0,64.0,63.0,64.0,66.0,64.0,63.0,63.0,63.0,61.0,64.0,62.0,63.0,62.0,64.0,64.0,62.0,63.0,65.0,63.0,62.0,65.0,64.0,61.0,60.0,64.0,63.0,63.0,64.0,66.0,64.0,66.0,63.55,1.377
10,66.0,65.0,63.0,63.0,63.0,64.0,63.0,64.0,65.0,64.0,63.0,64.0,66.0,64.0,63.0,63.0,63.0,61.0,64.0,62.0,63.0,62.0,64.0,64.0,62.0,63.0,65.0,62.0,62.0,61.0,64.0,61.0,60.0,64.0,63.0,63.0,62.0,66.0,64.0,66.0,63.35,1.424
11,63.0,65.0,63.0,63.0,63.0,64.0,63.0,64.0,65.0,64.0,63.0,64.0,66.0,64.0,63.0,63.0,63.0,61.0,64.0,62.0,63.0,62.0,64.0,64.0,62.0,63.0,65.0,62.0,62.0,61.0,64.0,61.0,60.0,64.0,63.0,63.0,62.0,66.0,64.0,66.0,63.275,1.36
12,63.0,65.0,63.0,63.0,63.0,62.0,63.0,64.0,65.0,64.0,63.0,64.0,66.0,64.0,63.0,63.0,63.0,61.0,64.0,62.0,63.0,62.0,64.0,64.0,62.0,63.0,65.0,62.0,62.0,61.0,64.0,61.0,60.0,64.0,63.0,63.0,62.0,66.0,61.0,66.0,63.15,1.406
13,63.0,65.0,63.0,63.0,63.0,62.0,63.0,64.0,64.0,64.0,63.0,62.0,66.0,64.0,63.0,63.0,63.0,61.0,64.0,62.0,63.0,62.0,64.0,59.0,62.0,63.0,65.0,61.0,62.0,61.0,64.0,61.0,60.0,63.0,63.0,63.0,62.0,66.0,61.0,66.0,62.9,1.53
14,63.0,65.0,63.0,63.0,63.0,62.0,61.0,62.0,64.0,64.0,63.0,62.0,66.0,64.0,63.0,63.0,63.0,61.0,64.0,62.0,63.0,62.0,64.0,59.0,62.0,63.0,65.0,61.0,62.0,60.0,64.0,61.0,60.0,63.0,61.0,63.0,62.0,66.0,61.0,65.0,62.7,1.568
15,63.0,65.0,63.0,63.0,62.0,62.0,61.0,62.0,64.0,64.0,63.0,62.0,66.0,64.0,63.0,63.0,63.0,61.0,64.0,62.0,63.0,62.0,64.0,59.0,62.0,63.0,65.0,61.0,62.0,60.0,64.0,61.0,60.0,63.0,61.0,63.0,62.0,66.0,61.0,65.0,62.675,1.571
16,63.0,64.0,63.0,63.0,62.0,62.0,61.0,62.0,64.0,64.0,63.0,62.0,66.0,64.0,63.0,63.0,63.0,61.0,64.0,62.0,61.0,62.0,64.0,59.0,62.0,63.0,65.0,61.0,62.0,60.0,64.0,61.0,60.0,63.0,61.0,63.0,62.0,65.0,61.0,65.0,62.575,1.515
17,63.0,64.0,63.0,63.0,62.0,62.0,61.0,62.0,64.0,64.0,63.0,62.0,66.0,64.0,63.0,63.0,63.0,61.0,64.0,62.0,61.0,62.0,64.0,59.0,62.0,63.0,65.0,61.0,62.0,60.0,64.0,61.0,60.0,63.0,61.0,63.0,62.0,65.0,59.0,65.0,62.525,1.597
18,63.0,64.0,63.0,63.0,62.0,62.0,61.0,62.0,63.0,64.0,63.0,62.0,66.0,64.0,63.0,63.0,63.0,61.0,64.0,62.0,61.0,62.0,64.0,59.0,62.0,63.0,65.0,59.0,62.0,60.0,64.0,61.0,60.0,63.0,61.0,63.0,62.0,65.0,59.0,65.0,62.45,1.658
