Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,70.0,66.0,64.0,63.0,62.0,65.0,68.0,64.0,66.0,66.0,66.0,65.0,65.0,63.0,64.0,65.0,66.0,64.0,66.0,66.0,67.0,63.0,61.0,64.0,68.0,67.0,65.0,66.0,64.0,63.0,63.0,64.0,60.0,67.0,66.0,64.0,66.0,64.0,63.0,65.0,64.85,1.918
1,67.0,61.0,64.0,62.0,61.0,62.0,66.0,64.0,63.0,65.0,65.0,63.0,63.0,63.0,64.0,59.0,63.0,64.0,60.0,65.0,60.0,62.0,61.0,64.0,62.0,59.0,64.0,60.0,64.0,62.0,62.0,63.0,60.0,66.0,66.0,62.0,65.0,62.0,63.0,62.0,62.825,1.961
2,65.0,61.0,57.0,58.0,61.0,60.0,65.0,61.0,63.0,59.0,64.0,63.0,62.0,63.0,63.0,59.0,61.0,60.0,60.0,65.0,60.0,62.0,58.0,60.0,61.0,59.0,61.0,60.0,64.0,61.0,62.0,61.0,55.0,62.0,63.0,62.0,65.0,62.0,63.0,60.0,61.275,2.225
3,62.0,60.0,57.0,58.0,60.0,60.0,62.0,61.0,60.0,59.0,61.0,59.0,58.0,62.0,63.0,55.0,61.0,59.0,60.0,59.0,60.0,59.0,58.0,60.0,60.0,59.0,59.0,58.0,61.0,59.0,60.0,60.0,55.0,58.0,63.0,62.0,59.0,62.0,62.0,60.0,59.75,1.813
4,61.0,56.0,57.0,57.0,57.0,60.0,59.0,60.0,57.0,58.0,57.0,59.0,58.0,59.0,59.0,54.0,59.0,59.0,54.0,59.0,60.0,59.0,56.0,59.0,58.0,59.0,59.0,57.0,57.0,59.0,60.0,59.0,55.0,58.0,63.0,59.0,59.0,58.0,60.0,57.0,58.25,1.757
5,59.0,54.0,55.0,55.0,57.0,59.0,59.0,60.0,57.0,49.0,56.0,59.0,58.0,58.0,59.0,54.0,57.0,49.0,54.0,58.0,58.0,57.0,55.0,55.0,54.0,58.0,59.0,56.0,57.0,58.0,56.0,58.0,55.0,57.0,62.0,59.0,59.0,58.0,59.0,57.0,56.825,2.568
6,56.0,54.0,55.0,55.0,57.0,56.0,57.0,57.0,56.0,48.0,56.0,54.0,57.0,57.0,59.0,53.0,57.0,49.0,54.0,57.0,58.0,57.0,54.0,55.0,54.0,55.0,58.0,51.0,56.0,54.0,54.0,55.0,55.0,57.0,58.0,55.0,59.0,58.0,59.0,55.0,55.525,2.377
7,55.0,53.0,54.0,55.0,54.0,56.0,57.0,57.0,54.0,48.0,51.0,54.0,57.0,57.0,57.0,49.0,52.0,49.0,54.0,54.0,58.0,56.0,54.0,53.0,54.0,54.0,58.0,51.0,52.0,52.0,52.0,55.0,53.0,54.0,58.0,55.0,59.0,57.0,58.0,54.0,54.35,2.613
8,54.0,52.0,54.0,51.0,53.0,54.0,56.0,54.0,54.0,48.0,51.0,52.0,55.0,55.0,56.0,46.0,52.0,49.0,50.0,53.0,57.0,55.0,54.0,53.0,54.0,54.0,54.0,51.0,52.0,52.0,52.0,52.0,53.0,54.0,56.0,53.0,56.0,57.0,55.0,53.0,53.15,2.297
9,52.0,51.0,53.0,51.0,51.0,54.0,55.0,54.0,50.0,48.0,51.0,50.0,55.0,54.0,52.0,45.0,51.0,46.0,50.0,50.0,55.0,54.0,53.0,52.0,53.0,53.0,54.0,49.0,52.0,51.0,50.0,49.0,51.0,53.0,56.0,53.0,55.0,56.0,55.0,51.0,51.95,2.499
10,52.0,51.0,50.0,50.0,50.0,54.0,52.0,52.0,50.0,45.0,48.0,48.0,54.0,53.0,52.0,44.0,44.0,46.0,50.0,48.0,55.0,51.0,51.0,52.0,51.0,52.0,54.0,48.0,51.0,48.0,50.0,49.0,48.0,53.0,55.0,52.0,55.0,56.0,55.0,51.0,50.75,2.964
