Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,64.0,65.0,65.0,63.0,68.0,64.0,67.0,66.0,62.0,69.0,62.0,65.0,66.0,61.0,66.0,65.0,65.0,63.0,64.0,65.0,64.0,66.0,65.0,65.0,64.0,66.0,68.0,67.0,67.0,67.0,64.0,65.0,63.0,63.0,65.0,64.0,66.0,66.0,64.0,68.0,65.05,1.76
1,64.0,63.0,64.0,59.0,61.0,61.0,65.0,64.0,61.0,65.0,62.0,65.0,66.0,61.0,63.0,63.0,65.0,62.0,63.0,64.0,64.0,66.0,65.0,65.0,62.0,66.0,65.0,67.0,63.0,65.0,64.0,60.0,63.0,60.0,62.0,62.0,66.0,66.0,64.0,66.0,63.55,1.949
2,60.0,63.0,61.0,59.0,61.0,60.0,63.0,61.0,61.0,61.0,62.0,59.0,64.0,61.0,62.0,58.0,61.0,61.0,63.0,63.0,64.0,61.0,62.0,65.0,57.0,63.0,62.0,65.0,61.0,65.0,61.0,60.0,63.0,60.0,60.0,61.0,63.0,59.0,64.0,58.0,61.45,1.936
3,60.0,59.0,60.0,59.0,56.0,60.0,61.0,61.0,59.0,55.0,59.0,59.0,62.0,61.0,55.0,58.0,56.0,61.0,55.0,59.0,61.0,61.0,60.0,62.0,57.0,61.0,62.0,61.0,60.0,63.0,60.0,58.0,60.0,60.0,57.0,60.0,63.0,57.0,58.0,58.0,59.35,2.104
4,60.0,55.0,59.0,58.0,56.0,60.0,59.0,59.0,55.0,55.0,58.0,55.0,62.0,60.0,55.0,58.0,56.0,55.0,55.0,53.0,57.0,61.0,55.0,59.0,57.0,61.0,61.0,61.0,60.0,61.0,59.0,57.0,58.0,58.0,57.0,58.0,60.0,57.0,58.0,56.0,57.85,2.231
5,57.0,55.0,59.0,57.0,56.0,55.0,58.0,57.0,55.0,55.0,51.0,55.0,60.0,58.0,52.0,57.0,52.0,54.0,55.0,53.0,57.0,61.0,55.0,59.0,57.0,61.0,61.0,58.0,59.0,61.0,54.0,57.0,58.0,58.0,57.0,57.0,58.0,53.0,58.0,52.0,56.55,2.617
6,57.0,55.0,58.0,54.0,56.0,55.0,57.0,51.0,54.0,55.0,51.0,48.0,57.0,58.0,51.0,55.0,52.0,52.0,55.0,53.0,57.0,60.0,55.0,56.0,52.0,60.0,56.0,56.0,56.0,58.0,54.0,57.0,55.0,58.0,54.0,53.0,58.0,53.0,58.0,49.0,54.975,2.761
7,57.0,54.0,53.0,53.0,54.0,52.0,57.0,51.0,54.0,53.0,51.0,48.0,51.0,55.0,51.0,55.0,52.0,50.0,53.0,53.0,49.0,54.0,53.0,56.0,51.0,59.0,55.0,54.0,56.0,58.0,50.0,55.0,54.0,54.0,53.0,53.0,53.0,53.0,55.0,49.0,53.275,2.408
8,55.0,52.0,53.0,50.0,54.0,49.0,56.0,51.0,54.0,50.0,51.0,48.0,51.0,53.0,44.0,54.0,49.0,48.0,53.0,49.0,49.0,54.0,49.0,56.0,46.0,57.0,55.0,54.0,53.0,58.0,50.0,51.0,48.0,54.0,50.0,53.0,53.0,53.0,55.0,49.0,51.775,3.045
9,54.0,51.0,53.0,49.0,52.0,49.0,53.0,50.0,51.0,50.0,49.0,46.0,49.0,53.0,44.0,47.0,49.0,48.0,53.0,49.0,49.0,52.0,49.0,55.0,43.0,57.0,49.0,53.0,53.0,58.0,49.0,47.0,48.0,52.0,50.0,53.0,50.0,53.0,55.0,49.0,50.575,3.122
10,54.0,48.0,50.0,48.0,52.0,48.0,52.0,50.0,48.0,45.0,47.0,46.0,49.0,50.0,44.0,47.0,49.0,47.0,51.0,49.0,49.0,50.0,45.0,53.0,43.0,54.0,49.0,52.0,53.0,51.0,46.0,46.0,46.0,50.0,49.0,50.0,50.0,53.0,55.0,49.0,49.175,2.827
11,51.0,43.0,50.0,47.0,49.0,45.0,49.0,47.0,47.0,45.0,47.0,43.0,47.0,49.0,44.0,47.0,48.0,44.0,50.0,48.0,47.0,48.0,45.0,53.0,43.0,53.0,49.0,50.0,53.0,51.0,46.0,46.0,46.0,48.0,44.0,48.0,43.0,48.0,51.0,47.0,47.475,2.748
12,50.0,40.0,48.0,47.0,47.0,45.0,45.0,45.0,46.0,44.0,47.0,42.0,46.0,49.0,37.0,44.0,46.0,44.0,50.0,45.0,44.0,48.0,43.0,52.0,42.0,52.0,43.0,45.0,49.0,51.0,45.0,44.0,46.0,48.0,44.0,47.0,43.0,48.0,49.0,44.0,45.85,3.103
13,47.0,40.0,44.0,44.0,47.0,43.0,43.0,42.0,46.0,44.0,44.0,40.0,46.0,46.0,37.0,44.0,46.0,42.0,48.0,45.0,41.0,43.0,43.0,50.0,40.0,52.0,43.0,44.0,47.0,51.0,44.0,44.0,45.0,44.0,43.0,47.0,43.0,47.0,49.0,41.0,44.475,3.058
14,47.0,40.0,44.0,44.0,45.0,42.0,43.0,42.0,44.0,42.0,43.0,40.0,45.0,46.0,37.0,44.0,45.0,42.0,46.0,43.0,41.0,41.0,43.0,50.0,39.0,47.0,43.0,40.0,47.0,51.0,42.0,38.0,43.0,44.0,43.0,44.0,43.0,45.0,45.0,41.0,43.35,2.833
15,46.0,39.0,44.0,41.0,43.0,39.0,43.0,40.0,43.0,41.0,43.0,39.0,44.0,45.0,37.0,44.0,43.0,42.0,46.0,43.0,40.0,41.0,42.0,48.0,39.0,46.0,41.0,39.0,47.0,50.0,42.0,38.0,43.0,42.0,40.0,44.0,39.0,44.0,45.0,39.0,42.35,2.886
16,45.0,38.0,43.0,39.0,43.0,38.0,43.0,39.0,43.0,40.0,43.0,39.0,40.0,44.0,37.0,43.0,43.0,39.0,41.0,40.0,36.0,41.0,40.0,45.0,39.0,46.0,41.0,39.0,42.0,48.0,40.0,38.0,41.0,42.0,40.0,43.0,39.0,41.0,43.0,39.0,41.075,2.543
17,44.0,36.0,42.0,39.0,42.0,36.0,39.0,38.0,42.0,40.0,37.0,37.0,40.0,42.0,37.0,42.0,42.0,39.0,41.0,40.0,36.0,39.0,39.0,43.0,38.0,46.0,41.0,39.0,42.0,45.0,40.0,38.0,39.0,41.0,34.0,42.0,37.0,41.0,43.0,37.0,39.875,2.638
18,43.0,35.0,41.0,37.0,41.0,36.0,39.0,35.0,40.0,39.0,37.0,36.0,40.0,38.0,36.0,40.0,42.0,36.0,41.0,38.0,36.0,39.0,39.0,43.0,37.0,46.0,39.0,38.0,41.0,44.0,38.0,35.0,38.0,41.0,34.0,42.0,36.0,41.0,43.0,36.0,38.9,2.827
19,43.0,35.0,41.0,34.0,41.0,35.0,38.0,35.0,38.0,38.0,37.0,34.0,40.0,37.0,36.0,36.0,41.0,36.0,40.0,36.0,36.0,35.0,38.0,41.0,37.0,43.0,39.0,37.0,40.0,40.0,37.0,34.0,37.0,40.0,33.0,41.0,35.0,37.0,42.0,36.0,37.725,2.636
20,42.0,35.0,40.0,33.0,40.0,33.0,37.0,35.0,37.0,37.0,37.0,34.0,37.0,37.0,35.0,36.0,40.0,35.0,37.0,35.0,36.0,34.0,38.0,37.0,36.0,43.0,38.0,37.0,40.0,40.0,35.0,34.0,35.0,37.0,33.0,37.0,35.0,37.0,40.0,34.0,36.7,2.41
21,41.0,34.0,39.0,33.0,38.0,33.0,36.0,33.0,33.0,36.0,37.0,33.0,37.0,36.0,35.0,36.0,38.0,35.0,37.0,35.0,34.0,33.0,36.0,37.0,35.0,38.0,38.0,36.0,39.0,39.0,33.0,33.0,35.0,34.0,33.0,37.0,31.0,37.0,37.0,34.0,35.6,2.211
22,41.0,33.0,37.0,33.0,38.0,32.0,35.0,33.0,33.0,35.0,37.0,33.0,36.0,36.0,34.0,35.0,36.0,34.0,37.0,33.0,33.0,33.0,35.0,36.0,35.0,38.0,38.0,34.0,38.0,38.0,33.0,32.0,35.0,34.0,33.0,36.0,31.0,37.0,37.0,33.0,35.0,2.168
23,40.0,32.0,36.0,32.0,38.0,31.0,34.0,33.0,33.0,35.0,36.0,31.0,35.0,36.0,34.0,34.0,35.0,33.0,35.0,33.0,33.0,32.0,35.0,34.0,35.0,38.0,37.0,34.0,38.0,36.0,32.0,32.0,32.0,33.0,31.0,34.0,31.0,33.0,37.0,33.0,34.15,2.186
24,39.0,32.0,36.0,32.0,38.0,31.0,34.0,32.0,31.0,34.0,36.0,31.0,35.0,36.0,34.0,31.0,35.0,33.0,35.0,33.0,33.0,32.0,35.0,34.0,34.0,36.0,37.0,33.0,36.0,32.0,30.0,31.0,30.0,33.0,31.0,33.0,29.0,31.0,37.0,33.0,33.45,2.334
25,39.0,32.0,35.0,32.0,38.0,31.0,34.0,32.0,31.0,32.0,36.0,30.0,35.0,34.0,34.0,31.0,35.0,31.0,35.0,33.0,31.0,31.0,35.0,33.0,33.0,35.0,36.0,33.0,36.0,32.0,27.0,30.0,30.0,33.0,31.0,32.0,27.0,31.0,36.0,33.0,32.875,2.551
26,39.0,32.0,34.0,31.0,37.0,30.0,32.0,32.0,30.0,32.0,36.0,30.0,32.0,34.0,34.0,30.0,34.0,31.0,34.0,32.0,30.0,31.0,34.0,33.0,32.0,34.0,34.0,33.0,35.0,32.0,27.0,29.0,29.0,32.0,29.0,32.0,27.0,30.0,36.0,32.0,32.175,2.509
