Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,65.0,58.0,67.0,66.0,64.0,64.0,65.0,65.0,60.0,65.0,66.0,66.0,65.0,59.0,64.0,63.0,66.0,63.0,65.0,58.0,61.0,64.0,67.0,66.0,66.0,64.0,66.0,65.0,62.0,67.0,65.0,65.0,62.0,61.0,66.0,66.0,69.0,66.0,68.0,63.0,64.325,2.524
1,63.0,58.0,60.0,65.0,64.0,62.0,63.0,63.0,60.0,65.0,61.0,64.0,65.0,59.0,64.0,63.0,66.0,63.0,60.0,58.0,61.0,64.0,62.0,66.0,65.0,64.0,66.0,62.0,62.0,60.0,64.0,65.0,62.0,61.0,61.0,66.0,66.0,60.0,63.0,62.0,62.7,2.238
2,63.0,58.0,60.0,63.0,64.0,58.0,58.0,63.0,60.0,61.0,58.0,64.0,61.0,59.0,59.0,63.0,65.0,56.0,60.0,58.0,57.0,60.0,61.0,65.0,61.0,59.0,60.0,62.0,61.0,60.0,62.0,64.0,62.0,58.0,61.0,63.0,64.0,60.0,62.0,59.0,60.8,2.283
3,61.0,58.0,58.0,62.0,61.0,58.0,58.0,57.0,57.0,61.0,58.0,61.0,61.0,59.0,59.0,61.0,59.0,56.0,58.0,57.0,57.0,60.0,60.0,65.0,61.0,59.0,60.0,62.0,60.0,60.0,62.0,64.0,60.0,58.0,61.0,62.0,61.0,59.0,58.0,59.0,59.7,1.952
4,59.0,58.0,56.0,62.0,58.0,58.0,58.0,55.0,57.0,57.0,57.0,61.0,58.0,58.0,55.0,61.0,59.0,56.0,58.0,57.0,57.0,60.0,60.0,61.0,61.0,59.0,60.0,62.0,60.0,58.0,59.0,60.0,60.0,58.0,59.0,58.0,61.0,59.0,58.0,59.0,58.675,1.738
5,56.0,57.0,56.0,61.0,58.0,58.0,58.0,55.0,57.0,57.0,57.0,61.0,58.0,55.0,55.0,57.0,59.0,56.0,58.0,57.0,57.0,56.0,59.0,61.0,59.0,59.0,57.0,59.0,57.0,57.0,56.0,60.0,59.0,57.0,59.0,58.0,58.0,57.0,58.0,59.0,57.7,1.536
6,53.0,57.0,56.0,61.0,58.0,58.0,58.0,55.0,56.0,57.0,57.0,61.0,58.0,55.0,53.0,57.0,59.0,56.0,58.0,55.0,57.0,56.0,59.0,61.0,59.0,58.0,51.0,58.0,57.0,57.0,56.0,60.0,57.0,57.0,56.0,56.0,58.0,55.0,58.0,59.0,57.075,2.078
7,53.0,57.0,56.0,60.0,58.0,57.0,57.0,55.0,56.0,56.0,55.0,61.0,58.0,55.0,52.0,56.0,59.0,56.0,58.0,55.0,55.0,55.0,59.0,59.0,59.0,58.0,51.0,56.0,57.0,57.0,55.0,56.0,57.0,52.0,56.0,56.0,58.0,54.0,58.0,59.0,56.425,2.155
8,50.0,55.0,55.0,59.0,58.0,57.0,57.0,55.0,56.0,56.0,55.0,59.0,58.0,55.0,52.0,56.0,59.0,56.0,58.0,55.0,55.0,53.0,59.0,58.0,59.0,58.0,51.0,56.0,55.0,52.0,55.0,56.0,55.0,52.0,52.0,56.0,58.0,52.0,58.0,59.0,55.75,2.457
9,50.0,54.0,51.0,58.0,58.0,57.0,57.0,54.0,53.0,56.0,54.0,58.0,58.0,55.0,52.0,56.0,59.0,56.0,57.0,54.0,54.0,53.0,59.0,56.0,57.0,58.0,51.0,53.0,54.0,52.0,55.0,56.0,55.0,52.0,52.0,56.0,58.0,52.0,57.0,58.0,55.125,2.451
10,49.0,52.0,51.0,58.0,58.0,57.0,54.0,53.0,53.0,55.0,54.0,58.0,58.0,55.0,52.0,56.0,56.0,56.0,57.0,54.0,54.0,53.0,59.0,54.0,57.0,58.0,51.0,53.0,54.0,52.0,55.0,54.0,55.0,52.0,52.0,56.0,58.0,52.0,57.0,58.0,54.75,2.457
11,49.0,52.0,51.0,58.0,58.0,55.0,54.0,53.0,53.0,55.0,54.0,58.0,58.0,55.0,52.0,56.0,56.0,56.0,57.0,54.0,54.0,53.0,55.0,53.0,56.0,57.0,47.0,53.0,52.0,52.0,55.0,54.0,55.0,52.0,52.0,55.0,58.0,52.0,56.0,58.0,54.325,2.514
12,49.0,51.0,51.0,58.0,58.0,54.0,54.0,53.0,53.0,54.0,54.0,58.0,58.0,55.0,52.0,55.0,56.0,56.0,56.0,54.0,54.0,53.0,52.0,53.0,56.0,53.0,47.0,52.0,51.0,51.0,55.0,54.0,55.0,52.0,52.0,55.0,57.0,52.0,56.0,58.0,53.925,2.514
13,48.0,50.0,50.0,58.0,58.0,53.0,53.0,53.0,53.0,54.0,54.0,55.0,58.0,54.0,50.0,53.0,56.0,54.0,56.0,54.0,54.0,53.0,52.0,53.0,56.0,53.0,47.0,51.0,51.0,51.0,55.0,54.0,55.0,52.0,51.0,55.0,57.0,52.0,56.0,58.0,53.5,2.608
14,48.0,50.0,50.0,58.0,58.0,51.0,53.0,53.0,53.0,54.0,54.0,53.0,57.0,54.0,50.0,53.0,56.0,54.0,56.0,54.0,53.0,53.0,52.0,53.0,56.0,53.0,47.0,51.0,49.0,51.0,55.0,54.0,55.0,52.0,51.0,55.0,57.0,52.0,56.0,53.0,53.175,2.539
15,48.0,50.0,50.0,57.0,58.0,49.0,53.0,53.0,53.0,53.0,54.0,53.0,57.0,52.0,49.0,53.0,53.0,54.0,56.0,54.0,53.0,53.0,52.0,53.0,56.0,53.0,47.0,51.0,49.0,51.0,55.0,54.0,55.0,52.0,49.0,55.0,57.0,52.0,56.0,53.0,52.875,2.6
