Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,24.0,21.0,20.0,19.0,16.0,23.0,21.0,24.0,19.0,22.0,24.0,21.0,24.0,19.0,19.0,25.0,22.0,21.0,25.0,22.0,19.0,21.0,20.0,19.0,21.0,24.0,20.0,21.0,23.0,22.0,21.367,2.137
1,20.0,21.0,19.0,19.0,16.0,20.0,21.0,24.0,19.0,18.0,22.0,21.0,22.0,18.0,19.0,19.0,21.0,19.0,21.0,21.0,17.0,21.0,18.0,17.0,21.0,21.0,20.0,20.0,21.0,19.0,19.833,1.695
2,20.0,18.0,16.0,19.0,16.0,20.0,20.0,22.0,19.0,18.0,18.0,20.0,22.0,18.0,19.0,19.0,19.0,17.0,21.0,16.0,17.0,20.0,13.0,17.0,21.0,18.0,18.0,20.0,21.0,17.0,18.633,1.975
3,20.0,18.0,16.0,17.0,16.0,17.0,20.0,21.0,19.0,18.0,18.0,20.0,20.0,16.0,19.0,19.0,19.0,17.0,19.0,16.0,14.0,20.0,13.0,16.0,20.0,18.0,18.0,19.0,17.0,17.0,17.9,1.868
4,19.0,18.0,16.0,16.0,16.0,17.0,19.0,21.0,16.0,18.0,18.0,17.0,19.0,14.0,17.0,18.0,19.0,15.0,19.0,14.0,13.0,19.0,13.0,16.0,17.0,18.0,16.0,18.0,17.0,16.0,16.967,1.888
5,17.0,18.0,12.0,16.0,15.0,17.0,19.0,20.0,16.0,17.0,17.0,17.0,19.0,14.0,17.0,16.0,19.0,14.0,19.0,13.0,13.0,17.0,13.0,16.0,17.0,18.0,16.0,16.0,16.0,15.0,16.3,1.986
6,17.0,17.0,12.0,14.0,14.0,16.0,16.0,18.0,15.0,15.0,15.0,17.0,16.0,13.0,13.0,16.0,18.0,12.0,17.0,13.0,13.0,16.0,12.0,15.0,15.0,15.0,16.0,15.0,16.0,15.0,15.067,1.692
7,17.0,17.0,12.0,14.0,14.0,16.0,15.0,16.0,14.0,15.0,15.0,16.0,16.0,13.0,13.0,16.0,17.0,12.0,13.0,13.0,13.0,15.0,12.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,14.6,1.451
8,17.0,15.0,12.0,13.0,14.0,15.0,15.0,14.0,14.0,15.0,15.0,15.0,15.0,11.0,13.0,16.0,16.0,10.0,13.0,13.0,11.0,15.0,12.0,14.0,15.0,15.0,15.0,12.0,13.0,13.0,13.867,1.628
9,15.0,14.0,9.0,11.0,13.0,14.0,15.0,14.0,13.0,12.0,13.0,15.0,14.0,11.0,12.0,15.0,16.0,8.0,13.0,13.0,11.0,15.0,12.0,13.0,14.0,15.0,13.0,12.0,12.0,11.0,12.933,1.825
