Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,22.0,20.0,19.0,23.0,22.0,20.0,21.0,20.0,22.0,23.0,24.0,22.0,24.0,24.0,22.0,24.0,20.0,21.0,21.0,23.0,21.0,22.0,23.0,21.0,22.0,22.0,21.0,17.0,23.0,21.0,21.667,1.578
1,20.0,20.0,19.0,23.0,22.0,17.0,21.0,16.0,22.0,18.0,22.0,15.0,20.0,24.0,21.0,20.0,20.0,21.0,20.0,23.0,19.0,21.0,23.0,20.0,22.0,22.0,20.0,17.0,23.0,19.0,20.333,2.15
2,20.0,20.0,19.0,23.0,20.0,17.0,21.0,16.0,21.0,18.0,21.0,15.0,18.0,19.0,20.0,18.0,19.0,21.0,19.0,17.0,19.0,21.0,18.0,20.0,18.0,21.0,20.0,16.0,23.0,19.0,19.233,1.892
3,16.0,20.0,19.0,20.0,18.0,17.0,18.0,15.0,18.0,18.0,21.0,15.0,18.0,17.0,20.0,18.0,19.0,20.0,19.0,17.0,19.0,19.0,18.0,16.0,18.0,18.0,18.0,15.0,22.0,14.0,18.0,1.826
4,16.0,20.0,14.0,20.0,17.0,17.0,18.0,15.0,18.0,18.0,19.0,15.0,18.0,17.0,20.0,18.0,19.0,20.0,18.0,17.0,18.0,19.0,16.0,16.0,17.0,18.0,18.0,15.0,20.0,14.0,17.5,1.746
5,16.0,19.0,14.0,19.0,16.0,17.0,16.0,15.0,18.0,16.0,16.0,15.0,15.0,16.0,18.0,18.0,17.0,18.0,17.0,17.0,17.0,19.0,13.0,16.0,17.0,16.0,14.0,14.0,19.0,14.0,16.4,1.645
6,16.0,19.0,14.0,18.0,15.0,17.0,16.0,13.0,18.0,15.0,16.0,13.0,15.0,16.0,18.0,17.0,14.0,16.0,15.0,17.0,15.0,18.0,12.0,16.0,15.0,16.0,14.0,14.0,18.0,14.0,15.667,1.719
7,16.0,19.0,14.0,18.0,15.0,15.0,15.0,12.0,17.0,15.0,16.0,13.0,15.0,16.0,15.0,17.0,13.0,16.0,15.0,17.0,15.0,16.0,10.0,15.0,12.0,16.0,14.0,14.0,17.0,14.0,15.067,1.843
8,16.0,16.0,12.0,14.0,10.0,15.0,14.0,11.0,17.0,13.0,16.0,11.0,14.0,13.0,15.0,15.0,13.0,16.0,13.0,17.0,11.0,15.0,10.0,14.0,12.0,15.0,11.0,12.0,14.0,13.0,13.6,1.993
9,15.0,15.0,10.0,14.0,10.0,13.0,14.0,11.0,15.0,12.0,16.0,11.0,14.0,13.0,15.0,15.0,13.0,14.0,13.0,15.0,11.0,15.0,10.0,13.0,10.0,13.0,11.0,12.0,14.0,13.0,13.0,1.789
10,13.0,15.0,10.0,14.0,10.0,12.0,11.0,9.0,15.0,12.0,16.0,8.0,13.0,12.0,12.0,14.0,11.0,14.0,13.0,15.0,11.0,12.0,10.0,12.0,9.0,11.0,10.0,11.0,13.0,12.0,12.0,1.949
11,13.0,15.0,9.0,13.0,10.0,10.0,11.0,9.0,15.0,12.0,15.0,8.0,11.0,11.0,11.0,12.0,10.0,14.0,13.0,14.0,11.0,12.0,9.0,11.0,8.0,10.0,10.0,11.0,12.0,11.0,11.367,1.941
12,11.0,14.0,9.0,11.0,10.0,10.0,10.0,9.0,12.0,10.0,12.0,8.0,11.0,11.0,9.0,11.0,10.0,13.0,11.0,13.0,11.0,12.0,8.0,11.0,8.0,8.0,8.0,11.0,12.0,11.0,10.5,1.586
13,10.0,13.0,7.0,11.0,9.0,10.0,10.0,8.0,12.0,9.0,12.0,8.0,11.0,10.0,9.0,9.0,8.0,13.0,11.0,10.0,11.0,10.0,8.0,10.0,8.0,6.0,8.0,11.0,12.0,10.0,9.8,1.701
14,8.0,11.0,7.0,11.0,9.0,9.0,10.0,8.0,12.0,9.0,11.0,7.0,10.0,10.0,9.0,9.0,7.0,13.0,11.0,9.0,9.0,8.0,8.0,10.0,8.0,5.0,5.0,11.0,11.0,10.0,9.167,1.845
15,8.0,9.0,7.0,11.0,8.0,7.0,9.0,7.0,9.0,9.0,9.0,7.0,8.0,10.0,8.0,9.0,6.0,11.0,11.0,8.0,9.0,8.0,7.0,9.0,8.0,5.0,5.0,9.0,10.0,9.0,8.333,1.513
16,8.0,9.0,7.0,10.0,8.0,7.0,9.0,7.0,9.0,8.0,9.0,7.0,8.0,9.0,8.0,9.0,3.0,11.0,9.0,8.0,9.0,8.0,7.0,8.0,7.0,5.0,3.0,9.0,9.0,7.0,7.833,1.714
17,8.0,7.0,7.0,10.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,9.0,7.0,9.0,3.0,11.0,9.0,8.0,8.0,8.0,7.0,8.0,7.0,5.0,3.0,9.0,9.0,7.0,7.6,1.645
18,6.0,5.0,7.0,9.0,7.0,7.0,8.0,7.0,7.0,8.0,8.0,6.0,7.0,7.0,7.0,9.0,3.0,10.0,8.0,7.0,7.0,7.0,6.0,7.0,7.0,5.0,3.0,9.0,9.0,6.0,6.967,1.56
19,6.0,4.0,6.0,7.0,7.0,6.0,8.0,7.0,7.0,7.0,8.0,5.0,7.0,7.0,5.0,9.0,2.0,10.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,5.0,3.0,8.0,8.0,6.0,6.533,1.607
20,6.0,4.0,6.0,7.0,7.0,6.0,5.0,7.0,6.0,7.0,8.0,5.0,6.0,7.0,5.0,9.0,2.0,10.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,5.0,3.0,8.0,7.0,6.0,6.267,1.569
21,5.0,4.0,6.0,7.0,6.0,6.0,5.0,7.0,6.0,7.0,8.0,5.0,6.0,5.0,5.0,8.0,2.0,7.0,7.0,6.0,6.0,5.0,6.0,6.0,7.0,5.0,3.0,8.0,6.0,6.0,5.867,1.335
22,4.0,4.0,6.0,5.0,6.0,5.0,5.0,7.0,6.0,7.0,8.0,5.0,6.0,5.0,4.0,7.0,2.0,7.0,6.0,6.0,6.0,4.0,6.0,5.0,7.0,5.0,1.0,7.0,6.0,6.0,5.467,1.477
23,4.0,4.0,6.0,5.0,6.0,5.0,5.0,7.0,4.0,7.0,6.0,5.0,6.0,5.0,3.0,7.0,2.0,7.0,6.0,6.0,6.0,3.0,6.0,5.0,7.0,4.0,1.0,7.0,6.0,5.0,5.2,1.514
24,4.0,4.0,6.0,5.0,5.0,5.0,4.0,7.0,4.0,7.0,6.0,5.0,6.0,5.0,3.0,7.0,2.0,7.0,6.0,6.0,6.0,3.0,6.0,5.0,7.0,4.0,1.0,7.0,6.0,5.0,5.133,1.522
25,4.0,4.0,5.0,5.0,5.0,3.0,4.0,7.0,4.0,7.0,4.0,5.0,6.0,5.0,1.0,7.0,2.0,7.0,5.0,5.0,5.0,3.0,6.0,3.0,7.0,4.0,1.0,7.0,5.0,5.0,4.7,1.656
26,3.0,4.0,5.0,4.0,5.0,3.0,4.0,7.0,3.0,7.0,3.0,5.0,6.0,5.0,1.0,7.0,2.0,7.0,5.0,5.0,5.0,2.0,6.0,3.0,6.0,4.0,1.0,7.0,5.0,5.0,4.5,1.727
27,3.0,4.0,5.0,4.0,5.0,3.0,4.0,7.0,3.0,6.0,3.0,5.0,6.0,5.0,1.0,7.0,2.0,7.0,5.0,4.0,5.0,2.0,5.0,3.0,6.0,3.0,1.0,7.0,5.0,5.0,4.367,1.683
28,3.0,4.0,5.0,4.0,5.0,3.0,4.0,6.0,3.0,6.0,3.0,5.0,6.0,4.0,1.0,7.0,2.0,7.0,5.0,4.0,5.0,2.0,5.0,3.0,6.0,3.0,1.0,7.0,4.0,5.0,4.267,1.632
29,3.0,4.0,5.0,4.0,5.0,2.0,4.0,6.0,3.0,6.0,3.0,5.0,5.0,4.0,1.0,6.0,2.0,7.0,5.0,4.0,5.0,2.0,5.0,3.0,6.0,3.0,1.0,7.0,4.0,5.0,4.167,1.593
30,3.0,2.0,5.0,4.0,5.0,2.0,4.0,6.0,3.0,6.0,3.0,5.0,5.0,4.0,1.0,6.0,2.0,5.0,5.0,4.0,5.0,2.0,5.0,3.0,6.0,3.0,1.0,7.0,4.0,4.0,4.0,1.549
