Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,37.0,38.0,36.0,36.0,36.0,34.0,32.0,37.0,37.0,33.0,35.0,36.0,34.0,36.0,29.0,36.0,32.0,35.0,33.0,35.0,37.0,34.0,39.0,36.0,36.0,33.0,33.0,37.0,33.0,33.0,34.933,2.112
1,34.0,38.0,36.0,36.0,36.0,34.0,32.0,36.0,32.0,33.0,35.0,35.0,34.0,36.0,29.0,36.0,32.0,35.0,33.0,35.0,37.0,34.0,36.0,36.0,36.0,33.0,33.0,34.0,33.0,33.0,34.4,1.855
2,34.0,38.0,36.0,36.0,36.0,34.0,32.0,36.0,32.0,33.0,35.0,35.0,33.0,36.0,29.0,36.0,32.0,35.0,33.0,35.0,37.0,34.0,36.0,36.0,36.0,33.0,33.0,34.0,33.0,33.0,34.367,1.871
3,34.0,36.0,36.0,36.0,36.0,34.0,32.0,36.0,32.0,33.0,35.0,34.0,33.0,36.0,29.0,36.0,32.0,35.0,33.0,35.0,37.0,33.0,36.0,35.0,36.0,33.0,33.0,34.0,33.0,33.0,34.2,1.759
4,34.0,35.0,36.0,36.0,36.0,34.0,32.0,36.0,32.0,33.0,35.0,32.0,33.0,36.0,29.0,36.0,32.0,35.0,33.0,35.0,37.0,33.0,36.0,35.0,36.0,33.0,33.0,34.0,33.0,33.0,34.1,1.777
5,34.0,35.0,36.0,32.0,36.0,34.0,32.0,36.0,32.0,33.0,35.0,32.0,33.0,36.0,29.0,36.0,32.0,35.0,33.0,35.0,37.0,33.0,36.0,35.0,36.0,33.0,33.0,32.0,33.0,33.0,33.9,1.814
6,34.0,35.0,36.0,32.0,34.0,34.0,32.0,36.0,32.0,33.0,35.0,32.0,33.0,36.0,29.0,36.0,32.0,35.0,33.0,35.0,37.0,33.0,36.0,35.0,36.0,33.0,33.0,32.0,33.0,33.0,33.833,1.772
7,34.0,35.0,36.0,32.0,34.0,34.0,32.0,36.0,32.0,33.0,35.0,32.0,33.0,36.0,29.0,36.0,32.0,35.0,33.0,35.0,36.0,33.0,36.0,35.0,36.0,33.0,33.0,32.0,33.0,33.0,33.8,1.72
8,34.0,35.0,35.0,32.0,29.0,34.0,32.0,36.0,32.0,33.0,35.0,32.0,33.0,36.0,29.0,36.0,32.0,35.0,33.0,35.0,36.0,33.0,36.0,35.0,36.0,33.0,33.0,32.0,33.0,33.0,33.6,1.89
9,34.0,35.0,35.0,32.0,29.0,34.0,32.0,35.0,32.0,33.0,35.0,32.0,33.0,36.0,29.0,36.0,32.0,35.0,33.0,33.0,32.0,33.0,34.0,35.0,35.0,33.0,33.0,32.0,33.0,33.0,33.267,1.692
