Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,37.0,38.0,36.0,37.0,35.0,36.0,38.0,36.0,36.0,36.0,35.0,36.0,36.0,35.0,34.0,39.0,37.0,33.0,31.0,36.0,36.0,36.0,36.0,37.0,34.0,34.0,35.0,36.0,38.0,38.0,35.9,1.62
1,37.0,34.0,36.0,37.0,35.0,34.0,36.0,36.0,36.0,36.0,35.0,34.0,36.0,35.0,34.0,34.0,34.0,33.0,31.0,36.0,35.0,36.0,36.0,36.0,34.0,34.0,35.0,35.0,38.0,36.0,35.133,1.36
2,37.0,34.0,35.0,37.0,35.0,34.0,36.0,36.0,36.0,36.0,35.0,34.0,36.0,35.0,34.0,34.0,34.0,33.0,31.0,35.0,35.0,36.0,36.0,36.0,32.0,34.0,35.0,35.0,38.0,35.0,34.967,1.426
3,37.0,34.0,35.0,35.0,35.0,34.0,36.0,36.0,36.0,36.0,35.0,34.0,36.0,35.0,34.0,34.0,34.0,33.0,31.0,35.0,35.0,36.0,36.0,35.0,32.0,34.0,33.0,35.0,38.0,35.0,34.8,1.4
4,37.0,34.0,35.0,35.0,35.0,34.0,36.0,36.0,36.0,36.0,35.0,34.0,36.0,35.0,33.0,34.0,34.0,33.0,31.0,34.0,35.0,35.0,36.0,35.0,32.0,34.0,33.0,35.0,37.0,35.0,34.667,1.35
5,37.0,34.0,35.0,30.0,35.0,34.0,34.0,35.0,36.0,36.0,35.0,34.0,36.0,35.0,33.0,34.0,34.0,33.0,31.0,34.0,35.0,35.0,34.0,35.0,32.0,34.0,32.0,35.0,37.0,35.0,34.3,1.552
6,37.0,34.0,32.0,30.0,35.0,34.0,34.0,35.0,36.0,36.0,32.0,34.0,36.0,35.0,33.0,34.0,34.0,33.0,31.0,34.0,35.0,35.0,34.0,35.0,32.0,34.0,32.0,35.0,36.0,35.0,34.067,1.59
7,37.0,34.0,32.0,30.0,35.0,34.0,34.0,35.0,36.0,35.0,32.0,34.0,36.0,35.0,33.0,34.0,34.0,33.0,31.0,34.0,35.0,35.0,34.0,35.0,30.0,34.0,32.0,35.0,36.0,35.0,33.967,1.683
8,37.0,34.0,32.0,30.0,35.0,33.0,34.0,35.0,35.0,35.0,32.0,34.0,36.0,35.0,33.0,34.0,34.0,33.0,31.0,34.0,32.0,35.0,34.0,35.0,30.0,34.0,32.0,35.0,33.0,35.0,33.7,1.636
9,34.0,34.0,32.0,30.0,32.0,33.0,34.0,35.0,35.0,35.0,32.0,32.0,35.0,35.0,33.0,34.0,34.0,33.0,31.0,34.0,32.0,35.0,34.0,35.0,30.0,34.0,32.0,35.0,30.0,35.0,33.3,1.616
10,34.0,34.0,32.0,30.0,32.0,33.0,34.0,35.0,35.0,35.0,32.0,32.0,35.0,35.0,33.0,34.0,34.0,33.0,31.0,34.0,32.0,35.0,34.0,35.0,30.0,34.0,32.0,35.0,30.0,35.0,33.3,1.616
11,32.0,34.0,32.0,30.0,32.0,33.0,33.0,35.0,35.0,35.0,32.0,32.0,35.0,35.0,33.0,34.0,34.0,33.0,31.0,34.0,32.0,35.0,34.0,32.0,30.0,34.0,32.0,35.0,30.0,35.0,33.1,1.599
12,32.0,34.0,32.0,30.0,32.0,33.0,33.0,35.0,35.0,35.0,32.0,32.0,35.0,35.0,33.0,34.0,34.0,33.0,31.0,34.0,32.0,35.0,34.0,32.0,30.0,34.0,32.0,35.0,30.0,35.0,33.1,1.599
13,32.0,34.0,32.0,30.0,32.0,33.0,33.0,35.0,35.0,35.0,32.0,32.0,35.0,35.0,33.0,34.0,30.0,33.0,31.0,34.0,32.0,35.0,34.0,32.0,30.0,34.0,32.0,35.0,30.0,35.0,32.967,1.683
14,32.0,34.0,32.0,30.0,32.0,33.0,33.0,35.0,35.0,35.0,32.0,32.0,35.0,35.0,33.0,34.0,30.0,33.0,31.0,34.0,32.0,35.0,34.0,32.0,30.0,34.0,32.0,35.0,30.0,35.0,32.967,1.683
15,32.0,34.0,32.0,30.0,32.0,33.0,33.0,35.0,35.0,34.0,32.0,32.0,35.0,35.0,33.0,34.0,30.0,33.0,31.0,34.0,32.0,35.0,33.0,32.0,30.0,34.0,32.0,35.0,30.0,35.0,32.9,1.64
16,32.0,34.0,32.0,30.0,32.0,33.0,33.0,35.0,35.0,34.0,32.0,32.0,35.0,35.0,33.0,34.0,30.0,33.0,31.0,32.0,32.0,35.0,33.0,32.0,30.0,34.0,32.0,35.0,30.0,34.0,32.8,1.6
