Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,33.0,35.0,36.0,38.0,34.0,37.0,35.0,38.0,35.0,36.0,33.0,33.0,33.0,33.0,35.0,35.0,35.0,37.0,36.0,34.0,33.0,35.0,36.0,34.0,36.0,35.0,36.0,34.0,37.0,36.0,35.1,1.469
1,33.0,35.0,32.0,31.0,33.0,35.0,33.0,36.0,35.0,35.0,33.0,31.0,33.0,33.0,35.0,35.0,34.0,35.0,36.0,34.0,33.0,35.0,35.0,32.0,36.0,34.0,35.0,34.0,36.0,34.0,34.033,1.402
2,32.0,35.0,32.0,31.0,33.0,33.0,32.0,36.0,30.0,34.0,31.0,31.0,30.0,30.0,34.0,34.0,34.0,30.0,33.0,34.0,33.0,32.0,33.0,32.0,35.0,34.0,34.0,34.0,32.0,32.0,32.667,1.599
3,32.0,33.0,32.0,31.0,28.0,29.0,32.0,33.0,30.0,34.0,31.0,29.0,30.0,30.0,34.0,32.0,31.0,30.0,33.0,34.0,33.0,32.0,32.0,32.0,34.0,34.0,34.0,33.0,32.0,32.0,31.867,1.648
4,32.0,33.0,32.0,31.0,28.0,29.0,32.0,33.0,30.0,32.0,27.0,29.0,30.0,30.0,30.0,32.0,27.0,29.0,33.0,31.0,33.0,29.0,32.0,32.0,29.0,34.0,33.0,33.0,32.0,32.0,30.967,1.888
5,31.0,32.0,30.0,27.0,28.0,29.0,31.0,31.0,29.0,31.0,27.0,29.0,30.0,30.0,30.0,31.0,27.0,29.0,31.0,31.0,30.0,29.0,31.0,32.0,29.0,32.0,28.0,29.0,32.0,32.0,29.933,1.526
6,31.0,31.0,30.0,27.0,28.0,29.0,29.0,31.0,29.0,31.0,26.0,29.0,27.0,30.0,29.0,31.0,27.0,27.0,31.0,29.0,30.0,29.0,31.0,31.0,29.0,30.0,28.0,29.0,32.0,31.0,29.4,1.541
7,31.0,30.0,29.0,27.0,28.0,29.0,29.0,31.0,29.0,30.0,26.0,29.0,27.0,27.0,29.0,31.0,27.0,27.0,31.0,29.0,29.0,29.0,31.0,31.0,26.0,29.0,27.0,29.0,32.0,31.0,29.0,1.653
8,30.0,29.0,28.0,27.0,28.0,29.0,29.0,31.0,29.0,30.0,26.0,29.0,27.0,27.0,28.0,31.0,27.0,27.0,27.0,29.0,29.0,29.0,31.0,31.0,26.0,29.0,25.0,29.0,32.0,31.0,28.667,1.719
9,30.0,29.0,28.0,27.0,28.0,28.0,29.0,31.0,29.0,30.0,26.0,29.0,27.0,27.0,23.0,31.0,27.0,26.0,25.0,26.0,28.0,29.0,30.0,31.0,26.0,29.0,25.0,29.0,31.0,30.0,28.133,2.012
10,30.0,29.0,26.0,25.0,28.0,25.0,27.0,31.0,29.0,30.0,26.0,27.0,26.0,26.0,23.0,31.0,27.0,24.0,25.0,24.0,27.0,28.0,30.0,31.0,26.0,29.0,25.0,29.0,31.0,30.0,27.5,2.349
11,28.0,26.0,26.0,25.0,28.0,22.0,27.0,28.0,29.0,29.0,26.0,27.0,26.0,26.0,23.0,31.0,27.0,22.0,24.0,24.0,26.0,28.0,30.0,29.0,26.0,28.0,25.0,29.0,31.0,30.0,26.867,2.377
12,27.0,26.0,26.0,25.0,28.0,22.0,27.0,28.0,29.0,27.0,26.0,26.0,26.0,26.0,23.0,31.0,27.0,22.0,24.0,24.0,26.0,27.0,30.0,29.0,23.0,28.0,25.0,29.0,26.0,28.0,26.367,2.198
