Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,69.0,69.0,65.0,66.0,68.0,70.0,69.0,61.0,68.0,64.0,67.0,67.0,66.0,63.0,67.0,58.0,67.0,67.0,66.0,68.0,63.0,69.0,66.0,70.0,70.0,67.0,65.0,68.0,60.0,68.0,66.367,2.915
1,66.0,65.0,65.0,65.0,66.0,69.0,64.0,61.0,63.0,64.0,60.0,65.0,62.0,63.0,66.0,58.0,67.0,67.0,66.0,65.0,63.0,69.0,65.0,63.0,65.0,65.0,63.0,68.0,60.0,64.0,64.4,2.511
2,58.0,61.0,60.0,62.0,66.0,65.0,64.0,61.0,61.0,58.0,60.0,65.0,62.0,63.0,65.0,58.0,65.0,63.0,64.0,65.0,62.0,61.0,64.0,63.0,65.0,65.0,63.0,66.0,60.0,64.0,62.633,2.359
3,58.0,61.0,60.0,61.0,65.0,65.0,64.0,61.0,61.0,58.0,60.0,61.0,62.0,60.0,61.0,58.0,63.0,63.0,61.0,63.0,62.0,61.0,60.0,63.0,61.0,65.0,61.0,66.0,60.0,63.0,61.6,2.043
4,58.0,61.0,57.0,58.0,61.0,61.0,64.0,58.0,59.0,58.0,60.0,61.0,62.0,60.0,60.0,58.0,63.0,60.0,61.0,61.0,61.0,61.0,60.0,63.0,61.0,63.0,59.0,63.0,55.0,61.0,60.267,1.999
5,58.0,60.0,57.0,56.0,57.0,61.0,64.0,58.0,59.0,58.0,60.0,61.0,62.0,60.0,60.0,58.0,63.0,60.0,61.0,61.0,60.0,59.0,60.0,63.0,61.0,61.0,59.0,62.0,55.0,61.0,59.833,2.051
6,57.0,59.0,57.0,56.0,57.0,60.0,60.0,58.0,59.0,58.0,60.0,59.0,62.0,57.0,60.0,57.0,63.0,60.0,61.0,61.0,60.0,59.0,57.0,63.0,61.0,60.0,59.0,62.0,55.0,60.0,59.233,1.995
7,56.0,56.0,57.0,56.0,57.0,60.0,60.0,58.0,59.0,58.0,60.0,59.0,62.0,57.0,60.0,57.0,60.0,59.0,61.0,61.0,60.0,59.0,57.0,63.0,61.0,60.0,59.0,62.0,55.0,60.0,58.967,1.991
8,56.0,56.0,57.0,56.0,57.0,56.0,60.0,58.0,59.0,58.0,60.0,59.0,62.0,57.0,60.0,57.0,60.0,59.0,61.0,59.0,58.0,59.0,56.0,63.0,61.0,60.0,59.0,62.0,55.0,60.0,58.667,2.039
9,56.0,56.0,55.0,56.0,57.0,56.0,60.0,58.0,57.0,56.0,60.0,59.0,61.0,57.0,60.0,57.0,59.0,58.0,61.0,59.0,58.0,59.0,56.0,58.0,61.0,60.0,54.0,62.0,55.0,60.0,58.033,2.073
10,56.0,56.0,54.0,56.0,57.0,56.0,60.0,58.0,57.0,56.0,60.0,52.0,56.0,57.0,60.0,57.0,58.0,58.0,61.0,59.0,58.0,59.0,56.0,58.0,61.0,60.0,54.0,59.0,55.0,60.0,57.467,2.172
11,56.0,56.0,54.0,56.0,57.0,56.0,60.0,58.0,57.0,55.0,60.0,52.0,56.0,57.0,58.0,56.0,58.0,58.0,61.0,59.0,58.0,59.0,56.0,58.0,61.0,60.0,54.0,59.0,55.0,60.0,57.333,2.165
12,56.0,56.0,54.0,56.0,57.0,56.0,60.0,58.0,57.0,55.0,60.0,52.0,56.0,57.0,58.0,56.0,58.0,56.0,61.0,59.0,58.0,59.0,56.0,58.0,61.0,60.0,54.0,59.0,55.0,60.0,57.267,2.175
13,55.0,56.0,54.0,56.0,57.0,56.0,59.0,58.0,57.0,54.0,60.0,52.0,56.0,57.0,58.0,56.0,58.0,56.0,61.0,59.0,58.0,59.0,52.0,58.0,61.0,60.0,54.0,59.0,55.0,58.0,56.967,2.331
14,55.0,56.0,54.0,56.0,57.0,56.0,59.0,58.0,57.0,54.0,60.0,52.0,56.0,57.0,58.0,56.0,58.0,56.0,61.0,59.0,58.0,56.0,51.0,58.0,61.0,60.0,54.0,56.0,55.0,58.0,56.733,2.351
15,54.0,56.0,54.0,56.0,57.0,56.0,59.0,58.0,57.0,54.0,60.0,52.0,56.0,57.0,58.0,56.0,58.0,56.0,61.0,59.0,58.0,56.0,51.0,58.0,61.0,60.0,54.0,56.0,55.0,58.0,56.7,2.383
16,54.0,56.0,54.0,56.0,57.0,56.0,59.0,55.0,57.0,54.0,60.0,52.0,56.0,57.0,58.0,56.0,58.0,56.0,61.0,59.0,58.0,56.0,51.0,58.0,61.0,60.0,54.0,56.0,55.0,57.0,56.567,2.376
