Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,63.0,65.0,63.0,67.0,65.0,61.0,66.0,67.0,65.0,64.0,69.0,67.0,69.0,65.0,68.0,68.0,64.0,63.0,67.0,68.0,67.0,66.0,69.0,67.0,66.0,63.0,68.0,67.0,61.0,62.0,65.667,2.314
1,63.0,61.0,59.0,65.0,65.0,61.0,66.0,62.0,65.0,64.0,62.0,63.0,66.0,56.0,64.0,67.0,61.0,63.0,65.0,62.0,65.0,65.0,63.0,67.0,62.0,61.0,66.0,67.0,61.0,62.0,63.3,2.505
2,63.0,61.0,59.0,62.0,63.0,58.0,64.0,62.0,62.0,64.0,60.0,63.0,66.0,56.0,64.0,67.0,61.0,62.0,61.0,62.0,64.0,64.0,63.0,65.0,55.0,59.0,66.0,65.0,61.0,62.0,62.133,2.741
3,59.0,61.0,59.0,61.0,63.0,58.0,60.0,62.0,62.0,63.0,60.0,61.0,63.0,56.0,60.0,62.0,61.0,58.0,60.0,62.0,63.0,59.0,63.0,63.0,49.0,59.0,65.0,61.0,61.0,61.0,60.5,2.849
4,59.0,60.0,59.0,61.0,61.0,58.0,60.0,62.0,62.0,59.0,60.0,60.0,63.0,55.0,60.0,62.0,61.0,58.0,60.0,62.0,60.0,59.0,63.0,63.0,49.0,57.0,64.0,61.0,60.0,61.0,59.967,2.775
5,59.0,60.0,59.0,57.0,59.0,58.0,60.0,62.0,62.0,59.0,60.0,60.0,63.0,55.0,58.0,62.0,60.0,58.0,60.0,62.0,60.0,59.0,63.0,63.0,49.0,55.0,63.0,61.0,59.0,61.0,59.533,2.86
6,58.0,60.0,59.0,56.0,59.0,51.0,60.0,62.0,58.0,59.0,60.0,58.0,63.0,55.0,58.0,62.0,57.0,57.0,60.0,62.0,60.0,59.0,63.0,62.0,49.0,55.0,60.0,60.0,59.0,61.0,58.733,3.13
7,58.0,58.0,59.0,56.0,59.0,51.0,59.0,62.0,53.0,59.0,59.0,58.0,62.0,55.0,58.0,62.0,56.0,56.0,60.0,61.0,60.0,59.0,62.0,61.0,49.0,55.0,60.0,60.0,59.0,61.0,58.233,3.148
8,58.0,57.0,59.0,56.0,59.0,51.0,59.0,62.0,53.0,57.0,59.0,56.0,61.0,55.0,58.0,62.0,56.0,56.0,60.0,61.0,60.0,59.0,59.0,61.0,49.0,55.0,60.0,60.0,59.0,59.0,57.867,3.019
9,58.0,55.0,59.0,56.0,59.0,51.0,59.0,62.0,53.0,57.0,59.0,56.0,59.0,55.0,58.0,62.0,56.0,54.0,57.0,61.0,59.0,59.0,58.0,61.0,49.0,54.0,60.0,60.0,59.0,59.0,57.467,3.041
10,58.0,55.0,59.0,56.0,59.0,51.0,59.0,62.0,53.0,57.0,59.0,56.0,59.0,55.0,56.0,62.0,56.0,54.0,57.0,61.0,59.0,59.0,58.0,61.0,49.0,54.0,60.0,59.0,59.0,59.0,57.367,3.027
11,58.0,55.0,57.0,56.0,57.0,51.0,59.0,62.0,53.0,57.0,59.0,56.0,59.0,55.0,56.0,61.0,56.0,54.0,57.0,60.0,57.0,59.0,58.0,61.0,49.0,54.0,60.0,59.0,59.0,59.0,57.1,2.891
12,58.0,51.0,57.0,56.0,57.0,51.0,59.0,61.0,53.0,57.0,59.0,56.0,59.0,55.0,56.0,61.0,56.0,54.0,57.0,60.0,57.0,59.0,58.0,61.0,49.0,49.0,60.0,59.0,59.0,59.0,56.767,3.303
13,58.0,51.0,57.0,54.0,57.0,51.0,58.0,61.0,53.0,57.0,59.0,54.0,59.0,55.0,56.0,55.0,56.0,54.0,57.0,60.0,57.0,59.0,58.0,61.0,49.0,49.0,58.0,59.0,59.0,59.0,56.333,3.208
14,58.0,51.0,57.0,54.0,55.0,51.0,58.0,61.0,53.0,56.0,59.0,54.0,59.0,55.0,56.0,55.0,53.0,54.0,56.0,60.0,53.0,59.0,58.0,57.0,49.0,49.0,58.0,59.0,59.0,59.0,55.833,3.174
15,58.0,51.0,56.0,54.0,54.0,51.0,58.0,61.0,53.0,56.0,59.0,54.0,59.0,55.0,56.0,55.0,53.0,54.0,56.0,60.0,53.0,59.0,58.0,57.0,49.0,49.0,56.0,59.0,59.0,59.0,55.7,3.153
16,57.0,51.0,56.0,54.0,54.0,51.0,58.0,61.0,50.0,56.0,59.0,54.0,59.0,55.0,56.0,55.0,53.0,54.0,56.0,60.0,53.0,59.0,58.0,57.0,49.0,49.0,56.0,59.0,59.0,59.0,55.567,3.263
17,55.0,51.0,56.0,54.0,54.0,51.0,58.0,61.0,50.0,56.0,59.0,54.0,57.0,55.0,56.0,55.0,53.0,54.0,54.0,60.0,53.0,59.0,58.0,57.0,49.0,49.0,56.0,59.0,59.0,59.0,55.367,3.209
18,53.0,51.0,56.0,54.0,54.0,51.0,58.0,59.0,50.0,56.0,59.0,52.0,57.0,55.0,56.0,55.0,53.0,54.0,54.0,60.0,53.0,59.0,57.0,57.0,49.0,49.0,56.0,59.0,59.0,58.0,55.1,3.124
19,53.0,51.0,56.0,54.0,54.0,51.0,58.0,56.0,50.0,56.0,59.0,52.0,57.0,55.0,56.0,55.0,53.0,54.0,54.0,60.0,53.0,59.0,57.0,57.0,49.0,49.0,53.0,59.0,59.0,58.0,54.9,3.059
20,53.0,51.0,56.0,52.0,54.0,51.0,58.0,56.0,50.0,56.0,57.0,52.0,57.0,55.0,56.0,55.0,53.0,54.0,53.0,60.0,53.0,50.0,57.0,57.0,49.0,49.0,53.0,59.0,59.0,55.0,54.333,2.981
21,53.0,51.0,56.0,52.0,54.0,51.0,58.0,56.0,50.0,56.0,57.0,51.0,56.0,55.0,56.0,55.0,53.0,54.0,53.0,60.0,53.0,50.0,57.0,57.0,49.0,49.0,53.0,59.0,59.0,55.0,54.267,2.988
22,53.0,51.0,56.0,52.0,54.0,51.0,58.0,56.0,50.0,56.0,57.0,51.0,56.0,55.0,56.0,55.0,53.0,54.0,53.0,60.0,53.0,50.0,53.0,57.0,49.0,49.0,53.0,59.0,59.0,55.0,54.133,2.952
23,53.0,51.0,56.0,52.0,54.0,51.0,58.0,56.0,50.0,56.0,57.0,51.0,56.0,55.0,56.0,55.0,53.0,54.0,52.0,60.0,53.0,50.0,53.0,57.0,49.0,49.0,51.0,59.0,59.0,55.0,54.033,3.016
24,53.0,51.0,56.0,52.0,54.0,51.0,58.0,56.0,50.0,56.0,57.0,51.0,56.0,55.0,56.0,55.0,53.0,54.0,52.0,60.0,53.0,50.0,53.0,57.0,49.0,49.0,51.0,59.0,59.0,55.0,54.033,3.016
25,53.0,51.0,56.0,52.0,54.0,51.0,58.0,56.0,50.0,56.0,57.0,51.0,56.0,55.0,56.0,55.0,53.0,54.0,52.0,60.0,53.0,48.0,53.0,57.0,49.0,49.0,51.0,59.0,59.0,55.0,53.967,3.125
26,53.0,51.0,56.0,52.0,54.0,51.0,58.0,56.0,50.0,56.0,55.0,51.0,56.0,55.0,56.0,55.0,53.0,54.0,52.0,60.0,53.0,48.0,53.0,57.0,49.0,49.0,51.0,59.0,59.0,55.0,53.9,3.081
27,53.0,51.0,56.0,52.0,54.0,51.0,58.0,56.0,50.0,56.0,55.0,51.0,56.0,55.0,56.0,55.0,53.0,54.0,49.0,60.0,53.0,48.0,53.0,57.0,49.0,49.0,51.0,59.0,59.0,55.0,53.8,3.187
28,53.0,51.0,56.0,52.0,54.0,51.0,58.0,56.0,50.0,56.0,55.0,51.0,56.0,55.0,56.0,55.0,53.0,54.0,49.0,60.0,53.0,48.0,51.0,57.0,49.0,49.0,51.0,58.0,59.0,55.0,53.7,3.174
