Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,64.0,62.0,67.0,69.0,63.0,68.0,67.0,70.0,67.0,69.0,66.0,67.0,68.0,66.0,67.0,66.0,68.0,65.0,70.0,65.0,66.0,70.0,63.0,67.0,64.0,70.0,67.0,66.0,69.0,69.0,66.833,2.177
1,64.0,62.0,67.0,69.0,63.0,65.0,67.0,69.0,67.0,67.0,66.0,64.0,68.0,66.0,65.0,66.0,68.0,65.0,69.0,65.0,66.0,70.0,63.0,67.0,64.0,67.0,67.0,66.0,69.0,69.0,66.333,2.022
2,64.0,62.0,66.0,67.0,63.0,65.0,67.0,69.0,65.0,67.0,66.0,64.0,68.0,62.0,64.0,66.0,68.0,65.0,69.0,65.0,66.0,70.0,63.0,67.0,64.0,67.0,67.0,64.0,69.0,69.0,65.933,2.159
3,64.0,62.0,66.0,67.0,63.0,65.0,67.0,69.0,65.0,67.0,66.0,62.0,68.0,62.0,64.0,66.0,68.0,65.0,69.0,64.0,66.0,67.0,63.0,67.0,64.0,67.0,65.0,64.0,69.0,69.0,65.667,2.134
4,64.0,62.0,66.0,67.0,63.0,65.0,67.0,68.0,65.0,67.0,66.0,62.0,66.0,62.0,64.0,66.0,68.0,64.0,67.0,64.0,66.0,67.0,63.0,67.0,64.0,67.0,65.0,64.0,69.0,64.0,65.3,1.882
5,64.0,62.0,63.0,67.0,63.0,65.0,67.0,68.0,65.0,66.0,66.0,62.0,64.0,62.0,64.0,66.0,68.0,64.0,67.0,64.0,66.0,67.0,63.0,66.0,64.0,67.0,65.0,64.0,69.0,64.0,65.067,1.879
6,62.0,62.0,63.0,60.0,63.0,65.0,67.0,61.0,65.0,62.0,66.0,62.0,64.0,62.0,64.0,65.0,68.0,64.0,67.0,64.0,66.0,65.0,63.0,66.0,64.0,67.0,65.0,64.0,69.0,62.0,64.233,2.124
7,62.0,62.0,63.0,60.0,63.0,65.0,67.0,61.0,65.0,62.0,66.0,62.0,64.0,62.0,64.0,65.0,68.0,64.0,67.0,64.0,66.0,65.0,63.0,66.0,63.0,67.0,65.0,64.0,63.0,62.0,64.0,1.949
8,62.0,62.0,63.0,60.0,63.0,65.0,67.0,61.0,64.0,62.0,66.0,62.0,64.0,62.0,64.0,65.0,67.0,64.0,67.0,64.0,66.0,65.0,63.0,66.0,63.0,67.0,65.0,64.0,63.0,62.0,63.933,1.879
9,62.0,62.0,63.0,60.0,63.0,65.0,67.0,61.0,64.0,62.0,64.0,62.0,64.0,62.0,64.0,63.0,66.0,64.0,65.0,64.0,66.0,65.0,63.0,66.0,63.0,67.0,65.0,64.0,63.0,62.0,63.7,1.696
10,62.0,62.0,63.0,60.0,63.0,65.0,64.0,61.0,64.0,62.0,64.0,62.0,64.0,62.0,64.0,63.0,66.0,63.0,65.0,64.0,66.0,65.0,63.0,66.0,63.0,67.0,65.0,64.0,63.0,62.0,63.567,1.585
11,62.0,62.0,63.0,60.0,63.0,65.0,64.0,61.0,64.0,62.0,64.0,62.0,64.0,62.0,64.0,63.0,66.0,63.0,65.0,64.0,60.0,65.0,63.0,61.0,63.0,66.0,65.0,64.0,63.0,61.0,63.133,1.586
