Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,66.0,67.0,63.0,64.0,68.0,62.0,64.0,67.0,69.0,62.0,66.0,67.0,67.0,67.0,66.0,66.0,67.0,66.0,67.0,68.0,67.0,68.0,63.0,68.0,64.0,67.0,68.0,63.0,67.0,67.0,66.033,1.923
1,66.0,63.0,63.0,64.0,64.0,61.0,64.0,61.0,67.0,62.0,64.0,63.0,67.0,66.0,65.0,62.0,64.0,64.0,65.0,65.0,66.0,67.0,63.0,64.0,64.0,60.0,64.0,63.0,63.0,67.0,64.033,1.816
2,65.0,61.0,63.0,60.0,60.0,61.0,63.0,61.0,65.0,62.0,62.0,62.0,65.0,66.0,65.0,62.0,62.0,64.0,64.0,63.0,65.0,66.0,60.0,60.0,62.0,60.0,58.0,63.0,63.0,64.0,62.567,2.028
3,65.0,61.0,61.0,58.0,58.0,59.0,60.0,60.0,58.0,61.0,62.0,62.0,65.0,63.0,59.0,61.0,59.0,64.0,62.0,63.0,64.0,62.0,60.0,60.0,60.0,59.0,58.0,63.0,58.0,64.0,60.967,2.168
4,61.0,61.0,60.0,58.0,58.0,57.0,60.0,58.0,54.0,59.0,61.0,61.0,63.0,63.0,57.0,55.0,59.0,64.0,61.0,61.0,64.0,62.0,60.0,60.0,59.0,58.0,57.0,62.0,56.0,64.0,59.767,2.591
5,58.0,60.0,60.0,58.0,58.0,57.0,60.0,58.0,54.0,58.0,61.0,61.0,63.0,63.0,57.0,54.0,59.0,62.0,61.0,59.0,62.0,62.0,60.0,60.0,56.0,57.0,56.0,62.0,55.0,62.0,59.1,2.548
6,58.0,58.0,60.0,55.0,58.0,55.0,60.0,58.0,54.0,57.0,61.0,60.0,62.0,63.0,55.0,53.0,59.0,62.0,61.0,58.0,62.0,62.0,60.0,60.0,56.0,57.0,56.0,60.0,53.0,62.0,58.5,2.849
7,56.0,58.0,60.0,55.0,53.0,55.0,58.0,58.0,54.0,53.0,61.0,59.0,60.0,63.0,55.0,52.0,59.0,62.0,60.0,58.0,62.0,58.0,57.0,60.0,56.0,55.0,56.0,60.0,52.0,62.0,57.567,3.084
8,56.0,58.0,60.0,55.0,53.0,55.0,57.0,58.0,54.0,53.0,61.0,50.0,59.0,60.0,55.0,52.0,56.0,60.0,57.0,57.0,62.0,58.0,56.0,59.0,55.0,55.0,56.0,53.0,52.0,55.0,56.233,2.86
9,56.0,58.0,58.0,52.0,53.0,51.0,57.0,58.0,54.0,51.0,61.0,50.0,58.0,60.0,55.0,52.0,53.0,60.0,56.0,56.0,62.0,56.0,56.0,57.0,55.0,55.0,54.0,53.0,50.0,55.0,55.4,3.126
10,54.0,56.0,56.0,52.0,53.0,50.0,57.0,58.0,54.0,51.0,61.0,50.0,55.0,60.0,54.0,52.0,53.0,60.0,56.0,56.0,61.0,56.0,56.0,57.0,55.0,55.0,53.0,53.0,50.0,55.0,54.967,3.016
11,54.0,52.0,56.0,52.0,53.0,50.0,52.0,57.0,54.0,51.0,61.0,50.0,55.0,60.0,53.0,52.0,53.0,58.0,56.0,56.0,61.0,56.0,56.0,57.0,55.0,54.0,53.0,53.0,50.0,55.0,54.5,2.952
12,54.0,52.0,56.0,52.0,53.0,50.0,52.0,55.0,53.0,51.0,61.0,50.0,54.0,60.0,53.0,52.0,53.0,58.0,56.0,56.0,61.0,56.0,55.0,57.0,54.0,53.0,53.0,53.0,49.0,55.0,54.233,2.974
13,54.0,51.0,56.0,51.0,53.0,50.0,52.0,54.0,53.0,51.0,61.0,49.0,54.0,60.0,53.0,52.0,53.0,58.0,53.0,56.0,60.0,56.0,54.0,56.0,54.0,53.0,53.0,53.0,49.0,54.0,53.867,2.952
14,54.0,51.0,56.0,51.0,53.0,50.0,52.0,53.0,53.0,51.0,61.0,48.0,54.0,60.0,53.0,52.0,53.0,58.0,51.0,56.0,60.0,55.0,53.0,56.0,53.0,53.0,52.0,53.0,49.0,53.0,53.567,3.052
15,54.0,51.0,56.0,51.0,53.0,50.0,52.0,53.0,53.0,51.0,60.0,45.0,54.0,60.0,53.0,51.0,53.0,58.0,51.0,56.0,60.0,54.0,53.0,56.0,51.0,53.0,52.0,53.0,49.0,53.0,53.3,3.237
16,54.0,51.0,56.0,50.0,53.0,50.0,52.0,53.0,53.0,49.0,59.0,45.0,54.0,60.0,53.0,49.0,53.0,58.0,51.0,55.0,60.0,53.0,53.0,56.0,49.0,53.0,52.0,53.0,49.0,49.0,52.833,3.436
17,54.0,51.0,56.0,50.0,53.0,50.0,51.0,53.0,53.0,49.0,58.0,45.0,54.0,60.0,53.0,49.0,53.0,58.0,51.0,54.0,55.0,52.0,51.0,56.0,49.0,53.0,52.0,53.0,49.0,49.0,52.467,3.138
18,53.0,51.0,56.0,50.0,53.0,50.0,51.0,53.0,53.0,49.0,58.0,45.0,54.0,60.0,53.0,49.0,53.0,58.0,51.0,54.0,55.0,52.0,50.0,55.0,49.0,53.0,52.0,53.0,49.0,49.0,52.367,3.114
19,50.0,51.0,56.0,50.0,53.0,50.0,51.0,53.0,53.0,49.0,54.0,45.0,54.0,60.0,53.0,49.0,52.0,58.0,51.0,54.0,52.0,52.0,50.0,53.0,49.0,53.0,52.0,53.0,48.0,49.0,51.9,2.914
20,50.0,51.0,56.0,50.0,53.0,50.0,51.0,52.0,53.0,49.0,54.0,45.0,54.0,60.0,53.0,49.0,52.0,56.0,51.0,54.0,52.0,51.0,50.0,51.0,47.0,53.0,52.0,53.0,48.0,49.0,51.633,2.869
21,50.0,51.0,56.0,50.0,53.0,50.0,51.0,51.0,52.0,49.0,52.0,45.0,54.0,60.0,53.0,49.0,52.0,56.0,51.0,54.0,52.0,51.0,49.0,51.0,47.0,53.0,52.0,53.0,47.0,48.0,51.4,2.928
22,50.0,51.0,56.0,50.0,53.0,50.0,50.0,51.0,52.0,49.0,52.0,45.0,54.0,60.0,53.0,49.0,49.0,56.0,51.0,53.0,52.0,50.0,49.0,51.0,47.0,53.0,52.0,53.0,47.0,48.0,51.2,2.948
23,49.0,51.0,56.0,50.0,53.0,50.0,50.0,51.0,52.0,49.0,52.0,45.0,54.0,60.0,53.0,49.0,49.0,56.0,51.0,52.0,52.0,50.0,49.0,51.0,44.0,53.0,52.0,53.0,47.0,48.0,51.033,3.136
24,49.0,49.0,56.0,50.0,52.0,50.0,50.0,51.0,51.0,49.0,52.0,45.0,54.0,60.0,53.0,49.0,49.0,56.0,51.0,52.0,52.0,50.0,49.0,51.0,43.0,53.0,52.0,53.0,47.0,47.0,50.833,3.246
25,49.0,48.0,56.0,50.0,50.0,50.0,50.0,51.0,50.0,49.0,52.0,45.0,54.0,60.0,53.0,47.0,49.0,55.0,51.0,52.0,52.0,50.0,49.0,51.0,43.0,53.0,52.0,53.0,47.0,47.0,50.6,3.272
26,49.0,48.0,56.0,50.0,50.0,50.0,50.0,51.0,50.0,49.0,52.0,45.0,54.0,59.0,53.0,47.0,49.0,55.0,51.0,52.0,52.0,48.0,49.0,51.0,43.0,53.0,52.0,53.0,47.0,47.0,50.5,3.212
27,49.0,47.0,56.0,50.0,50.0,50.0,50.0,51.0,50.0,49.0,52.0,45.0,54.0,59.0,53.0,47.0,49.0,55.0,51.0,50.0,52.0,48.0,49.0,51.0,43.0,53.0,52.0,52.0,47.0,46.0,50.333,3.249
28,49.0,47.0,56.0,48.0,49.0,50.0,50.0,51.0,50.0,48.0,52.0,45.0,54.0,59.0,53.0,47.0,49.0,55.0,51.0,50.0,52.0,47.0,49.0,50.0,43.0,53.0,52.0,52.0,47.0,46.0,50.133,3.324
29,49.0,47.0,56.0,48.0,49.0,50.0,50.0,51.0,50.0,47.0,52.0,45.0,54.0,59.0,53.0,47.0,49.0,54.0,51.0,50.0,52.0,47.0,49.0,50.0,43.0,53.0,52.0,52.0,47.0,46.0,50.067,3.306
30,49.0,45.0,56.0,48.0,49.0,50.0,47.0,51.0,50.0,47.0,52.0,45.0,54.0,59.0,53.0,47.0,49.0,53.0,51.0,48.0,52.0,47.0,49.0,49.0,43.0,53.0,52.0,52.0,47.0,41.0,49.6,3.702
31,47.0,44.0,54.0,47.0,49.0,50.0,47.0,51.0,50.0,46.0,51.0,45.0,54.0,59.0,53.0,47.0,49.0,53.0,51.0,48.0,52.0,47.0,49.0,49.0,43.0,53.0,52.0,52.0,47.0,41.0,49.333,3.7
32,47.0,44.0,52.0,47.0,49.0,50.0,47.0,51.0,50.0,46.0,50.0,45.0,54.0,59.0,53.0,46.0,49.0,53.0,51.0,48.0,52.0,47.0,49.0,49.0,43.0,53.0,52.0,52.0,47.0,41.0,49.2,3.646
33,47.0,44.0,52.0,47.0,49.0,50.0,47.0,51.0,49.0,44.0,49.0,45.0,54.0,59.0,53.0,46.0,49.0,52.0,51.0,48.0,52.0,47.0,49.0,49.0,43.0,53.0,52.0,52.0,47.0,41.0,49.033,3.683
34,47.0,44.0,52.0,47.0,49.0,50.0,47.0,51.0,48.0,44.0,49.0,45.0,54.0,59.0,53.0,46.0,49.0,50.0,50.0,48.0,51.0,47.0,49.0,49.0,43.0,52.0,52.0,52.0,47.0,41.0,48.833,3.578
35,47.0,44.0,52.0,45.0,47.0,50.0,47.0,51.0,48.0,43.0,49.0,45.0,54.0,59.0,52.0,46.0,49.0,50.0,50.0,46.0,51.0,47.0,49.0,49.0,43.0,52.0,52.0,52.0,47.0,41.0,48.567,3.685
36,47.0,44.0,52.0,45.0,47.0,50.0,47.0,51.0,48.0,43.0,49.0,44.0,54.0,55.0,52.0,45.0,49.0,50.0,50.0,46.0,50.0,47.0,49.0,48.0,43.0,52.0,52.0,52.0,47.0,41.0,48.3,3.407
37,47.0,44.0,51.0,45.0,47.0,50.0,47.0,46.0,48.0,42.0,49.0,43.0,54.0,55.0,52.0,45.0,49.0,50.0,50.0,46.0,50.0,47.0,49.0,48.0,43.0,52.0,52.0,52.0,47.0,41.0,48.033,3.459
38,47.0,44.0,51.0,44.0,47.0,50.0,47.0,46.0,48.0,42.0,49.0,43.0,54.0,55.0,52.0,45.0,49.0,50.0,50.0,46.0,50.0,47.0,49.0,48.0,43.0,52.0,50.0,52.0,47.0,41.0,47.933,3.434
39,47.0,43.0,51.0,44.0,47.0,50.0,47.0,46.0,48.0,42.0,49.0,43.0,54.0,55.0,52.0,43.0,49.0,50.0,50.0,46.0,48.0,47.0,49.0,47.0,43.0,52.0,50.0,52.0,47.0,41.0,47.733,3.53
40,47.0,43.0,50.0,43.0,47.0,50.0,47.0,45.0,48.0,41.0,49.0,43.0,54.0,55.0,52.0,43.0,49.0,50.0,50.0,46.0,48.0,47.0,49.0,47.0,43.0,52.0,50.0,52.0,46.0,41.0,47.567,3.63
41,47.0,43.0,50.0,43.0,47.0,50.0,47.0,45.0,48.0,41.0,49.0,43.0,54.0,55.0,52.0,42.0,49.0,50.0,50.0,46.0,47.0,47.0,49.0,46.0,43.0,52.0,47.0,52.0,46.0,41.0,47.367,3.656
42,47.0,43.0,47.0,43.0,47.0,50.0,47.0,43.0,48.0,41.0,49.0,43.0,54.0,52.0,52.0,42.0,49.0,50.0,50.0,46.0,47.0,47.0,49.0,46.0,43.0,52.0,47.0,52.0,46.0,41.0,47.1,3.506
43,47.0,43.0,47.0,43.0,47.0,50.0,47.0,43.0,48.0,40.0,49.0,43.0,54.0,52.0,52.0,41.0,49.0,50.0,50.0,45.0,47.0,47.0,49.0,46.0,43.0,51.0,47.0,52.0,46.0,41.0,46.967,3.592
44,47.0,43.0,47.0,42.0,47.0,50.0,47.0,42.0,48.0,40.0,49.0,43.0,54.0,52.0,52.0,41.0,49.0,50.0,50.0,45.0,47.0,47.0,49.0,46.0,43.0,51.0,47.0,52.0,46.0,41.0,46.9,3.673
45,47.0,43.0,47.0,42.0,47.0,50.0,47.0,42.0,48.0,40.0,49.0,43.0,54.0,52.0,52.0,41.0,49.0,50.0,50.0,45.0,47.0,47.0,49.0,46.0,41.0,50.0,47.0,52.0,46.0,41.0,46.8,3.727
46,47.0,43.0,47.0,42.0,46.0,50.0,47.0,42.0,48.0,40.0,49.0,43.0,54.0,51.0,52.0,41.0,49.0,50.0,50.0,45.0,47.0,47.0,49.0,46.0,39.0,50.0,47.0,52.0,46.0,41.0,46.667,3.806
47,47.0,43.0,47.0,42.0,46.0,50.0,47.0,42.0,45.0,40.0,49.0,43.0,54.0,50.0,52.0,41.0,49.0,50.0,50.0,45.0,47.0,47.0,49.0,46.0,39.0,50.0,47.0,52.0,46.0,41.0,46.533,3.775
48,47.0,43.0,47.0,42.0,46.0,50.0,47.0,42.0,45.0,40.0,49.0,43.0,54.0,49.0,52.0,41.0,49.0,50.0,50.0,45.0,47.0,47.0,49.0,46.0,39.0,50.0,47.0,52.0,46.0,41.0,46.5,3.748
49,47.0,43.0,47.0,42.0,46.0,50.0,47.0,42.0,45.0,40.0,49.0,43.0,54.0,49.0,52.0,41.0,49.0,50.0,50.0,45.0,47.0,47.0,49.0,46.0,39.0,50.0,46.0,52.0,46.0,41.0,46.467,3.748
50,47.0,43.0,47.0,42.0,46.0,49.0,45.0,42.0,45.0,40.0,49.0,43.0,54.0,49.0,51.0,41.0,49.0,50.0,50.0,45.0,47.0,47.0,49.0,46.0,39.0,50.0,46.0,52.0,46.0,41.0,46.333,3.682
51,47.0,43.0,47.0,42.0,46.0,48.0,45.0,42.0,45.0,40.0,49.0,43.0,54.0,49.0,50.0,41.0,49.0,50.0,50.0,45.0,47.0,47.0,49.0,46.0,39.0,50.0,46.0,52.0,45.0,41.0,46.233,3.63
52,47.0,43.0,47.0,42.0,46.0,48.0,45.0,42.0,45.0,40.0,49.0,43.0,54.0,49.0,50.0,41.0,49.0,50.0,50.0,44.0,47.0,47.0,49.0,46.0,39.0,50.0,45.0,52.0,43.0,41.0,46.1,3.691
53,47.0,43.0,47.0,42.0,45.0,48.0,45.0,42.0,45.0,40.0,49.0,43.0,54.0,49.0,50.0,41.0,49.0,50.0,50.0,44.0,46.0,47.0,49.0,46.0,39.0,50.0,45.0,52.0,43.0,41.0,46.033,3.692
54,47.0,43.0,47.0,42.0,45.0,48.0,45.0,42.0,45.0,40.0,49.0,43.0,54.0,48.0,50.0,41.0,49.0,50.0,50.0,44.0,46.0,47.0,49.0,46.0,39.0,50.0,45.0,52.0,43.0,41.0,46.0,3.67
55,47.0,43.0,47.0,42.0,45.0,48.0,45.0,42.0,45.0,40.0,49.0,43.0,54.0,47.0,49.0,41.0,49.0,50.0,50.0,44.0,46.0,47.0,49.0,45.0,39.0,50.0,45.0,52.0,43.0,41.0,45.9,3.627
56,47.0,43.0,47.0,42.0,45.0,48.0,45.0,42.0,45.0,40.0,49.0,43.0,54.0,46.0,47.0,41.0,49.0,50.0,50.0,44.0,46.0,47.0,49.0,45.0,39.0,50.0,45.0,52.0,43.0,41.0,45.8,3.581
57,47.0,43.0,47.0,42.0,45.0,48.0,45.0,42.0,45.0,40.0,49.0,43.0,54.0,46.0,46.0,41.0,49.0,50.0,50.0,42.0,45.0,47.0,49.0,45.0,38.0,50.0,45.0,52.0,43.0,41.0,45.633,3.692
58,47.0,43.0,47.0,42.0,45.0,48.0,45.0,42.0,45.0,40.0,49.0,43.0,53.0,46.0,45.0,41.0,49.0,50.0,50.0,42.0,44.0,47.0,48.0,45.0,38.0,50.0,45.0,52.0,43.0,41.0,45.5,3.603
59,47.0,43.0,47.0,42.0,45.0,46.0,44.0,42.0,45.0,40.0,49.0,43.0,51.0,46.0,45.0,41.0,49.0,50.0,50.0,42.0,44.0,47.0,48.0,45.0,38.0,50.0,45.0,52.0,43.0,41.0,45.333,3.458
60,47.0,43.0,47.0,42.0,45.0,46.0,44.0,42.0,45.0,40.0,49.0,43.0,51.0,46.0,45.0,41.0,49.0,50.0,50.0,42.0,44.0,47.0,48.0,43.0,38.0,50.0,45.0,52.0,43.0,41.0,45.267,3.483
61,47.0,43.0,47.0,42.0,45.0,46.0,44.0,42.0,45.0,40.0,49.0,43.0,51.0,46.0,45.0,41.0,49.0,50.0,50.0,42.0,44.0,47.0,48.0,43.0,38.0,50.0,45.0,52.0,43.0,41.0,45.267,3.483
62,47.0,43.0,47.0,42.0,45.0,46.0,44.0,42.0,45.0,39.0,49.0,43.0,51.0,46.0,45.0,41.0,49.0,50.0,50.0,42.0,44.0,47.0,48.0,39.0,38.0,50.0,45.0,52.0,43.0,41.0,45.1,3.691
63,47.0,43.0,47.0,42.0,45.0,46.0,44.0,42.0,45.0,39.0,49.0,43.0,51.0,46.0,45.0,41.0,49.0,50.0,50.0,42.0,44.0,47.0,48.0,39.0,38.0,50.0,45.0,51.0,43.0,41.0,45.067,3.633
64,47.0,43.0,47.0,42.0,45.0,46.0,43.0,42.0,45.0,39.0,49.0,43.0,51.0,46.0,45.0,41.0,49.0,50.0,50.0,42.0,44.0,47.0,48.0,39.0,38.0,50.0,45.0,51.0,43.0,41.0,45.033,3.647
65,47.0,43.0,47.0,42.0,44.0,46.0,42.0,42.0,45.0,37.0,49.0,43.0,49.0,45.0,45.0,41.0,49.0,50.0,50.0,42.0,44.0,47.0,48.0,39.0,38.0,50.0,45.0,51.0,43.0,41.0,44.8,3.7
66,47.0,43.0,47.0,42.0,44.0,46.0,42.0,42.0,45.0,37.0,49.0,43.0,49.0,45.0,45.0,41.0,49.0,50.0,50.0,42.0,44.0,47.0,48.0,39.0,38.0,49.0,45.0,51.0,43.0,41.0,44.767,3.658
67,47.0,43.0,47.0,42.0,44.0,46.0,42.0,42.0,45.0,37.0,49.0,43.0,49.0,45.0,45.0,41.0,49.0,50.0,49.0,42.0,44.0,47.0,48.0,39.0,38.0,49.0,45.0,51.0,43.0,41.0,44.733,3.614
68,47.0,43.0,47.0,42.0,43.0,46.0,42.0,42.0,45.0,37.0,49.0,43.0,49.0,45.0,45.0,41.0,49.0,50.0,49.0,42.0,44.0,47.0,48.0,38.0,38.0,49.0,45.0,51.0,43.0,41.0,44.667,3.682
69,47.0,43.0,47.0,42.0,43.0,46.0,42.0,42.0,45.0,37.0,49.0,43.0,49.0,45.0,45.0,41.0,49.0,50.0,49.0,42.0,44.0,47.0,48.0,38.0,38.0,49.0,45.0,51.0,43.0,41.0,44.667,3.682
70,47.0,43.0,47.0,42.0,43.0,46.0,42.0,42.0,45.0,37.0,48.0,43.0,49.0,45.0,45.0,41.0,49.0,50.0,49.0,42.0,44.0,47.0,48.0,38.0,38.0,49.0,45.0,51.0,43.0,41.0,44.633,3.647
71,47.0,43.0,47.0,42.0,43.0,46.0,42.0,42.0,45.0,37.0,48.0,43.0,49.0,45.0,45.0,41.0,49.0,50.0,49.0,42.0,44.0,46.0,48.0,38.0,38.0,48.0,45.0,51.0,43.0,41.0,44.567,3.593
72,47.0,43.0,47.0,42.0,42.0,46.0,42.0,42.0,45.0,37.0,47.0,43.0,49.0,45.0,45.0,41.0,49.0,50.0,48.0,42.0,42.0,44.0,48.0,38.0,38.0,48.0,45.0,51.0,43.0,41.0,44.333,3.562
73,47.0,43.0,47.0,42.0,42.0,46.0,42.0,42.0,45.0,37.0,47.0,43.0,49.0,45.0,45.0,41.0,49.0,50.0,45.0,42.0,42.0,44.0,48.0,38.0,38.0,48.0,45.0,51.0,43.0,41.0,44.233,3.499
74,47.0,43.0,47.0,42.0,42.0,46.0,42.0,42.0,44.0,37.0,47.0,43.0,49.0,45.0,45.0,41.0,49.0,50.0,45.0,42.0,42.0,44.0,48.0,38.0,38.0,48.0,45.0,51.0,43.0,41.0,44.2,3.497
75,47.0,43.0,47.0,42.0,42.0,46.0,42.0,42.0,44.0,37.0,47.0,43.0,49.0,45.0,45.0,41.0,49.0,50.0,45.0,42.0,42.0,44.0,48.0,38.0,38.0,48.0,44.0,51.0,43.0,41.0,44.167,3.494
76,47.0,43.0,47.0,42.0,42.0,46.0,42.0,42.0,44.0,37.0,47.0,43.0,49.0,45.0,44.0,41.0,49.0,50.0,45.0,42.0,42.0,44.0,48.0,38.0,38.0,48.0,44.0,51.0,43.0,41.0,44.133,3.49
77,47.0,43.0,47.0,42.0,42.0,46.0,42.0,42.0,44.0,37.0,47.0,43.0,49.0,45.0,44.0,41.0,49.0,50.0,45.0,42.0,41.0,44.0,48.0,38.0,38.0,48.0,44.0,51.0,43.0,41.0,44.1,3.515
78,47.0,43.0,47.0,42.0,42.0,46.0,42.0,42.0,44.0,37.0,47.0,43.0,49.0,45.0,44.0,41.0,49.0,50.0,45.0,42.0,41.0,44.0,48.0,38.0,38.0,48.0,43.0,51.0,43.0,41.0,44.067,3.521
79,45.0,43.0,47.0,42.0,42.0,46.0,42.0,42.0,44.0,37.0,47.0,43.0,49.0,45.0,43.0,41.0,49.0,50.0,45.0,42.0,41.0,44.0,48.0,38.0,38.0,48.0,43.0,51.0,43.0,41.0,43.967,3.488
