Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1.767,0.844
1,2.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,0.0,3.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,1.733,0.964
2,4.0,2.0,1.0,1.0,3.0,3.0,4.0,0.0,2.0,1.0,2.0,3.0,0.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,3.0,3.0,3.0,2.067,1.123
3,2.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,4.0,2.2,0.833
4,1.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,0.0,4.0,0.0,3.0,3.0,3.0,1.0,0.0,2.0,2.0,3.0,2.0,1.767,1.116
5,3.0,4.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,4.0,0.0,3.0,0.0,3.0,0.0,2.0,3.0,3.0,0.0,1.0,3.0,3.0,3.0,3.0,2.2,1.249
6,2.0,0.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.167,0.934
7,2.0,2.0,3.0,2.0,2.0,0.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,1.9,0.907
8,4.0,2.0,2.0,3.0,3.0,2.0,2.0,0.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,0.0,4.0,2.0,2.0,0.0,4.0,2.0,1.0,2.0,3.0,1.0,2.167,1.098
9,3.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,2.267,0.772
10,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,2.5,0.806
11,4.0,3.0,2.0,4.0,3.0,2.0,2.0,5.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,0.0,3.0,5.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,4.0,3.0,2.767,1.116
12,3.0,0.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,2.7,0.936
13,4.0,1.0,3.0,2.0,0.0,1.0,3.0,2.0,0.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,1.0,2.0,3.0,2.0,4.0,2.0,5.0,3.0,1.0,2.3,1.215
14,1.0,2.0,1.0,4.0,2.0,2.0,3.0,4.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,0.0,2.0,4.0,0.0,2.0,2.0,2.167,1.003
15,3.0,1.0,3.0,1.0,1.0,1.0,3.0,5.0,4.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,2.4,1.114
16,1.0,0.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,0.0,2.0,4.0,4.0,1.0,3.0,0.0,1.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,5.0,3.0,1.0,3.0,2.433,1.283
17,4.0,3.0,0.0,4.0,2.0,3.0,3.0,6.0,2.0,2.0,4.0,2.0,0.0,3.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,2.533,1.31
18,2.0,3.0,2.0,0.0,0.0,3.0,1.0,4.0,0.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,0.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.267,1.236
19,2.0,2.0,2.0,1.0,2.0,1.0,0.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,5.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.333,0.943
20,2.0,2.0,3.0,0.0,1.0,3.0,1.0,6.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,2.0,2.567,1.146
21,3.0,4.0,2.0,5.0,1.0,2.0,1.0,7.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,0.0,1.0,3.0,4.0,3.0,2.5,1.455
22,3.0,2.0,2.0,2.0,3.0,3.0,1.0,5.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,0.0,2.0,4.0,4.0,4.0,1.0,0.0,3.0,5.0,2.0,3.0,1.0,4.0,3.0,2.467,1.258
23,2.0,3.0,1.0,3.0,4.0,2.0,4.0,5.0,3.0,3.0,3.0,1.0,0.0,1.0,2.0,0.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,2.567,1.174
24,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,0.0,3.0,2.0,2.0,3.0,3.0,5.0,1.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.433,1.055
25,1.0,2.0,3.0,3.0,2.0,3.0,3.0,6.0,2.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,4.0,2.0,6.0,1.0,4.0,3.0,5.0,3.0,1.0,2.0,3.0,2.0,2.667,1.398
26,3.0,2.0,1.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,3.0,7.0,1.0,4.0,3.0,5.0,2.0,3.0,2.0,3.0,1.0,5.0,2.0,2.833,1.344
27,3.0,2.0,2.0,4.0,0.0,4.0,2.0,5.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,1.0,3.0,2.0,4.0,6.0,6.0,2.0,5.0,1.0,3.0,3.0,3.0,1.0,5.0,3.0,2.9,1.491
28,3.0,2.0,4.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,5.0,4.0,7.0,0.0,4.0,3.0,3.0,2.0,1.0,4.0,10.0,2.0,3.033,1.871
29,5.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,0.0,2.0,2.0,6.0,3.0,5.0,1.0,3.0,3.0,4.0,4.0,3.0,2.0,14.0,3.0,3.2,2.358
30,4.0,2.0,2.0,3.0,1.0,4.0,3.0,3.0,3.0,5.0,3.0,2.0,2.0,0.0,4.0,2.0,1.0,1.0,5.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,1.0,1.0,11.0,3.0,2.833,1.951
31,5.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0,6.0,0.0,5.0,4.0,4.0,1.0,5.0,2.0,2.0,3.0,17.0,4.0,3.633,2.822
32,9.0,5.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,7.0,1.0,3.0,1.0,5.0,3.0,3.0,2.0,17.0,10.0,3.767,3.211
33,7.0,0.0,3.0,1.0,3.0,3.0,2.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,1.0,2.0,3.0,4.0,2.0,5.0,2.0,4.0,2.0,10.0,3.0,3.0,4.0,17.0,10.0,4.0,3.246
34,7.0,3.0,4.0,2.0,1.0,2.0,2.0,5.0,4.0,2.0,4.0,3.0,1.0,2.0,4.0,2.0,3.0,3.0,4.0,2.0,5.0,0.0,2.0,2.0,3.0,3.0,2.0,1.0,12.0,4.0,3.133,2.172
35,10.0,5.0,1.0,2.0,2.0,3.0,2.0,5.0,2.0,5.0,1.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,6.0,2.0,5.0,2.0,3.0,3.0,3.0,4.0,2.0,1.0,9.0,5.0,3.533,2.061
36,10.0,5.0,0.0,3.0,3.0,2.0,4.0,5.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0,8.0,2.0,4.0,4.0,3.0,5.0,2.0,2.0,9.0,4.0,3.733,2.112
37,5.0,3.0,3.0,2.0,1.0,2.0,3.0,6.0,3.0,1.0,1.0,4.0,1.0,3.0,4.0,0.0,3.0,4.0,5.0,2.0,5.0,2.0,2.0,5.0,6.0,6.0,3.0,3.0,11.0,4.0,3.433,2.124
38,6.0,3.0,3.0,5.0,3.0,4.0,5.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,1.0,4.0,4.0,2.0,5.0,2.0,4.0,4.0,3.0,5.0,3.0,2.0,12.0,10.0,3.967,2.198
39,6.0,7.0,2.0,3.0,4.0,6.0,4.0,6.0,3.0,5.0,1.0,2.0,2.0,3.0,4.0,0.0,3.0,4.0,2.0,3.0,6.0,4.0,4.0,4.0,3.0,7.0,4.0,5.0,11.0,10.0,4.267,2.351
40,7.0,6.0,3.0,3.0,3.0,6.0,2.0,7.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,6.0,4.0,6.0,0.0,3.0,4.0,5.0,5.0,2.0,5.0,13.0,4.0,4.167,2.296
41,8.0,10.0,2.0,5.0,2.0,10.0,1.0,10.0,3.0,3.0,2.0,0.0,3.0,5.0,4.0,3.0,3.0,3.0,6.0,6.0,6.0,0.0,0.0,3.0,2.0,2.0,3.0,4.0,13.0,4.0,4.2,3.177
42,8.0,4.0,1.0,4.0,3.0,10.0,1.0,8.0,4.0,7.0,2.0,4.0,3.0,3.0,5.0,1.0,6.0,1.0,5.0,4.0,6.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,15.0,4.0,4.133,3.096
43,7.0,4.0,2.0,8.0,2.0,5.0,2.0,8.0,4.0,8.0,2.0,5.0,2.0,3.0,5.0,4.0,4.0,3.0,6.0,4.0,6.0,3.0,1.0,2.0,3.0,4.0,3.0,4.0,15.0,4.0,4.433,2.716
44,6.0,8.0,2.0,6.0,3.0,6.0,2.0,4.0,3.0,3.0,1.0,3.0,4.0,4.0,3.0,0.0,2.0,4.0,5.0,6.0,9.0,4.0,5.0,3.0,5.0,2.0,2.0,4.0,12.0,4.0,4.167,2.409
45,6.0,4.0,3.0,8.0,2.0,6.0,1.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,8.0,2.0,5.0,4.0,5.0,8.0,10.0,6.0,3.0,3.0,5.0,2.0,2.0,6.0,12.0,4.0,4.6,2.525
46,7.0,2.0,5.0,6.0,3.0,6.0,4.0,4.0,3.0,10.0,4.0,4.0,4.0,5.0,9.0,2.0,5.0,3.0,4.0,9.0,7.0,6.0,4.0,3.0,7.0,2.0,2.0,3.0,10.0,2.0,4.833,2.368
47,7.0,5.0,5.0,5.0,2.0,7.0,3.0,5.0,3.0,6.0,3.0,3.0,5.0,3.0,8.0,4.0,6.0,4.0,5.0,8.0,7.0,5.0,3.0,3.0,3.0,4.0,2.0,4.0,13.0,3.0,4.8,2.257
48,6.0,3.0,6.0,3.0,2.0,8.0,1.0,5.0,3.0,4.0,4.0,3.0,5.0,3.0,8.0,1.0,5.0,3.0,5.0,7.0,7.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,13.0,4.0,4.533,2.363
49,9.0,5.0,6.0,3.0,3.0,9.0,3.0,4.0,2.0,5.0,3.0,1.0,5.0,5.0,2.0,2.0,7.0,5.0,6.0,10.0,9.0,6.0,5.0,3.0,6.0,2.0,3.0,4.0,15.0,3.0,5.033,2.961
50,5.0,9.0,5.0,3.0,3.0,6.0,2.0,4.0,2.0,3.0,2.0,2.0,7.0,2.0,2.0,1.0,8.0,4.0,6.0,8.0,6.0,6.0,1.0,4.0,3.0,3.0,5.0,4.0,15.0,4.0,4.5,2.861
51,5.0,5.0,8.0,5.0,4.0,6.0,2.0,5.0,4.0,7.0,0.0,2.0,5.0,2.0,5.0,3.0,6.0,3.0,10.0,6.0,8.0,9.0,1.0,3.0,4.0,3.0,1.0,7.0,11.0,2.0,4.733,2.682
52,5.0,3.0,8.0,4.0,4.0,7.0,2.0,5.0,2.0,6.0,0.0,3.0,5.0,2.0,4.0,1.0,5.0,5.0,8.0,10.0,8.0,5.0,5.0,1.0,3.0,2.0,4.0,6.0,10.0,2.0,4.5,2.54
53,7.0,8.0,6.0,4.0,2.0,8.0,3.0,4.0,3.0,5.0,9.0,1.0,5.0,5.0,5.0,2.0,7.0,3.0,4.0,7.0,5.0,6.0,5.0,4.0,5.0,4.0,2.0,4.0,10.0,7.0,5.0,2.145
54,8.0,7.0,6.0,6.0,4.0,7.0,3.0,3.0,3.0,5.0,8.0,3.0,4.0,5.0,7.0,2.0,6.0,4.0,5.0,6.0,5.0,6.0,3.0,3.0,6.0,0.0,6.0,4.0,11.0,7.0,5.1,2.15
55,9.0,7.0,8.0,5.0,3.0,7.0,5.0,4.0,3.0,8.0,8.0,3.0,4.0,3.0,4.0,3.0,5.0,2.0,5.0,6.0,7.0,6.0,4.0,2.0,4.0,3.0,3.0,6.0,9.0,1.0,4.9,2.166
56,9.0,5.0,7.0,6.0,4.0,10.0,4.0,5.0,2.0,6.0,8.0,3.0,7.0,3.0,2.0,3.0,5.0,1.0,8.0,9.0,9.0,6.0,6.0,4.0,5.0,3.0,3.0,4.0,9.0,6.0,5.4,2.403
57,10.0,3.0,6.0,7.0,6.0,9.0,1.0,3.0,1.0,11.0,11.0,3.0,6.0,5.0,4.0,3.0,6.0,3.0,6.0,9.0,7.0,5.0,5.0,6.0,4.0,3.0,3.0,5.0,12.0,6.0,5.633,2.846
