Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,1.333,0.943
1,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.792
2,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.733,0.727
3,0.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7,0.69
4,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.633,0.795
5,1.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.9,0.831
6,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.967,0.752
7,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.933,0.964
8,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.767,0.883
9,2.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.233,0.883
10,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,4.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.067,1.181
11,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,4.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.3,1.069
12,2.0,4.0,1.0,2.0,0.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,0.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,1.6,1.083
13,2.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0,1.467,1.087
14,2.0,4.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,4.0,1.0,0.0,3.0,3.0,2.0,0.0,2.0,3.0,3.0,0.0,2.0,0.0,3.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,1.633,1.329
15,2.0,4.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.033,1.048
16,5.0,4.0,2.0,0.0,2.0,4.0,0.0,3.0,2.0,4.0,7.0,0.0,2.0,0.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,0.0,3.0,5.0,2.0,1.0,2.433,1.764
17,3.0,3.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,5.0,3.0,1.0,2.0,2.0,4.0,3.0,3.0,1.0,3.0,1.0,6.0,3.0,2.0,2.0,2.0,0.0,3.0,3.0,2.0,4.0,2.267,1.413
18,3.0,4.0,4.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,5.0,0.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,3.0,6.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,4.0,2.167,1.614
19,5.0,4.0,1.0,2.0,1.0,4.0,2.0,3.0,4.0,0.0,3.0,2.0,1.0,2.0,1.0,2.0,4.0,0.0,2.0,3.0,3.0,4.0,4.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,2.333,1.3
20,2.0,6.0,0.0,4.0,2.0,4.0,3.0,3.0,4.0,1.0,4.0,2.0,2.0,3.0,2.0,0.0,4.0,2.0,2.0,4.0,2.0,5.0,3.0,4.0,0.0,1.0,2.0,4.0,2.0,2.0,2.633,1.449
21,6.0,8.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,0.0,5.0,2.0,3.0,2.0,3.0,1.0,5.0,2.0,4.0,1.0,2.0,5.0,5.0,3.0,4.0,2.0,1.0,3.0,1.0,2.0,3.133,1.746
22,3.0,9.0,2.0,2.0,0.0,4.0,5.0,4.0,2.0,0.0,8.0,4.0,1.0,5.0,4.0,2.0,5.0,2.0,4.0,1.0,4.0,5.0,4.0,3.0,1.0,2.0,1.0,5.0,1.0,3.0,3.2,2.088
23,3.0,7.0,3.0,6.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,0.0,5.0,1.0,3.0,4.0,4.0,6.0,4.0,4.0,1.0,1.0,2.0,4.0,0.0,2.0,2.967,1.683
24,2.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,1.0,4.0,2.0,2.0,1.0,3.0,0.0,6.0,1.0,0.0,3.0,5.0,4.0,3.0,5.0,3.0,2.0,2.0,6.0,0.0,1.0,2.667,1.599
25,2.0,3.0,1.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,0.0,6.0,2.0,0.0,4.0,2.0,3.0,3.0,8.0,1.0,2.0,2.0,5.0,1.0,2.0,2.633,1.622
26,4.0,4.0,7.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,6.0,2.0,0.0,4.0,2.0,5.0,4.0,8.0,0.0,3.0,3.0,6.0,2.0,3.0,3.667,1.758
27,4.0,4.0,4.0,5.0,0.0,4.0,4.0,4.0,3.0,1.0,7.0,3.0,3.0,2.0,4.0,3.0,4.0,1.0,0.0,3.0,6.0,2.0,2.0,8.0,0.0,3.0,3.0,7.0,2.0,5.0,3.367,1.975
28,4.0,4.0,0.0,5.0,1.0,7.0,5.0,5.0,4.0,0.0,6.0,5.0,3.0,4.0,6.0,1.0,6.0,1.0,1.0,5.0,4.0,0.0,3.0,7.0,1.0,4.0,6.0,3.0,2.0,5.0,3.6,2.123
29,2.0,3.0,0.0,5.0,1.0,3.0,3.0,3.0,5.0,7.0,5.0,4.0,4.0,3.0,5.0,2.0,6.0,2.0,0.0,2.0,4.0,7.0,5.0,6.0,3.0,6.0,4.0,4.0,2.0,2.0,3.6,1.837
30,5.0,6.0,5.0,6.0,3.0,5.0,3.0,10.0,5.0,1.0,5.0,6.0,4.0,3.0,3.0,0.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,6.0,3.0,3.0,3.0,3.0,1.0,4.0,3.733,1.948
31,5.0,4.0,9.0,8.0,5.0,2.0,2.0,8.0,2.0,0.0,5.0,4.0,4.0,4.0,3.0,5.0,9.0,4.0,1.0,2.0,4.0,4.0,3.0,10.0,4.0,5.0,4.0,5.0,2.0,6.0,4.433,2.376
32,7.0,4.0,5.0,8.0,1.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,5.0,5.0,7.0,6.0,2.0,5.0,0.0,3.0,6.0,3.0,4.0,5.0,5.0,0.0,5.0,4.033,1.871
33,4.0,5.0,5.0,4.0,0.0,3.0,5.0,4.0,5.0,6.0,4.0,8.0,3.0,4.0,0.0,1.0,5.0,3.0,6.0,2.0,3.0,5.0,5.0,7.0,3.0,5.0,4.0,8.0,0.0,3.0,4.0,2.033
34,4.0,5.0,6.0,4.0,0.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,9.0,3.0,4.0,4.0,5.0,0.0,9.0,3.8,1.939
