Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,0.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.933,1.062
1,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.7,0.971
2,0.0,2.0,2.0,4.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,2.0,3.0,2.0,1.0,1.667,0.978
3,0.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,4.0,1.0,1.0,0.0,1.967,1.016
4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,2.0,3.0,3.0,3.0,2.0,3.0,0.0,3.0,2.0,2.0,0.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,2.167,0.898
5,1.0,3.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,0.0,0.0,3.0,2.0,0.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,1.8,0.98
6,4.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.233,0.883
7,2.0,3.0,3.0,2.0,1.0,1.0,3.0,0.0,2.0,4.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,0.0,2.0,0.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,0.0,0.0,1.8,1.108
8,3.0,4.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,0.0,2.0,3.0,2.0,1.0,3.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,2.167,1.003
9,2.0,3.0,3.0,2.0,3.0,0.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.1,0.943
10,4.0,0.0,2.0,3.0,3.0,2.0,0.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,6.0,1.0,0.0,3.0,2.0,4.0,3.0,0.0,2.067,1.389
11,2.0,4.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,0.0,2.0,0.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,4.0,1.9,1.106
12,3.0,4.0,2.0,2.0,3.0,3.0,0.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,4.0,2.0,1.0,2.233,0.883
13,3.0,3.0,2.0,3.0,0.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,7.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,2.267,1.236
14,2.0,3.0,0.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,4.0,0.0,4.0,2.0,2.0,3.0,3.0,7.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.167,1.344
15,1.0,2.0,2.0,3.0,5.0,1.0,2.0,4.0,1.0,0.0,3.0,3.0,3.0,2.0,4.0,3.0,1.0,3.0,2.0,2.0,4.0,2.0,6.0,0.0,5.0,2.0,2.0,2.0,2.0,0.0,2.4,1.451
16,3.0,2.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,5.0,3.0,2.0,3.0,3.0,2.0,0.0,3.0,2.167,1.035
17,0.0,4.0,0.0,1.0,3.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,1.933,1.236
