Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,4.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.767,0.955
1,2.0,2.0,3.0,2.0,1.0,3.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,3.0,0.0,2.0,3.0,1.667,1.075
2,1.0,3.0,0.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,1.533,0.921
3,2.0,2.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,2.067,1.031
4,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.967,0.752
5,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.1,0.79
6,1.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,0.0,2.5,0.847
7,0.0,3.0,1.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,3.0,0.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,2.133,1.056
8,2.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,2.233,0.844
9,3.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,0.0,1.0,2.0,0.0,3.0,0.0,2.0,2.0,1.0,3.0,0.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.867,0.991
