Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.2,0.833
1,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.6,0.712
2,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.633,0.657
3,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.467,0.618
4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.267,0.442
5,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.333,0.596
6,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.64
7,1.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.533,0.718
8,0.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.767,1.086
9,1.0,1.0,1.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.933,1.153
10,1.0,0.0,1.0,2.0,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.033,1.14
11,2.0,0.0,1.0,2.0,0.0,6.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.133,1.284
12,0.0,2.0,0.0,2.0,1.0,6.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,3.0,3.0,4.0,2.0,6.0,2.0,2.0,0.0,0.0,2.0,1.933,1.548
13,0.0,2.0,3.0,0.0,1.0,5.0,1.0,3.0,1.0,5.0,2.0,2.0,2.0,4.0,1.0,2.0,0.0,4.0,2.0,3.0,0.0,2.0,4.0,0.0,3.0,1.0,1.0,0.0,2.0,3.0,1.967,1.472
14,2.0,1.0,3.0,0.0,2.0,6.0,0.0,4.0,1.0,5.0,3.0,2.0,0.0,5.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.233,1.499
15,2.0,1.0,6.0,2.0,2.0,6.0,2.0,4.0,3.0,8.0,0.0,3.0,0.0,3.0,1.0,2.0,1.0,2.0,3.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,2.667,1.758
16,3.0,3.0,6.0,3.0,3.0,8.0,4.0,3.0,3.0,8.0,1.0,6.0,0.0,4.0,0.0,1.0,2.0,2.0,4.0,4.0,3.0,1.0,3.0,3.0,5.0,4.0,2.0,8.0,2.0,5.0,3.467,2.109
17,3.0,2.0,4.0,3.0,3.0,7.0,2.0,3.0,1.0,6.0,0.0,3.0,3.0,5.0,0.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,3.0,1.0,5.0,5.0,1.0,8.0,0.0,6.0,3.3,1.986
18,3.0,1.0,4.0,4.0,3.0,6.0,3.0,3.0,4.0,6.0,1.0,3.0,0.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,4.0,5.0,3.0,1.0,7.0,5.0,2.0,9.0,2.0,5.0,3.5,1.875
19,4.0,1.0,6.0,4.0,1.0,4.0,3.0,3.0,4.0,7.0,2.0,3.0,0.0,3.0,3.0,4.0,5.0,1.0,4.0,4.0,8.0,4.0,2.0,2.0,6.0,7.0,2.0,10.0,2.0,6.0,3.833,2.237
20,3.0,3.0,11.0,1.0,1.0,1.0,5.0,4.0,4.0,5.0,6.0,3.0,5.0,2.0,5.0,4.0,5.0,2.0,3.0,2.0,6.0,5.0,1.0,2.0,7.0,3.0,2.0,10.0,3.0,5.0,3.967,2.387
21,1.0,4.0,6.0,0.0,0.0,1.0,3.0,6.0,5.0,7.0,6.0,5.0,5.0,4.0,5.0,3.0,3.0,2.0,3.0,4.0,6.0,3.0,0.0,3.0,7.0,1.0,2.0,8.0,2.0,4.0,3.633,2.183
22,2.0,5.0,5.0,7.0,2.0,2.0,3.0,5.0,3.0,6.0,8.0,3.0,5.0,9.0,5.0,1.0,5.0,6.0,3.0,3.0,7.0,4.0,3.0,2.0,7.0,3.0,3.0,8.0,2.0,4.0,4.367,2.089
23,5.0,5.0,5.0,7.0,2.0,3.0,4.0,5.0,3.0,5.0,7.0,3.0,6.0,8.0,6.0,2.0,4.0,7.0,2.0,0.0,5.0,3.0,6.0,3.0,6.0,4.0,4.0,5.0,2.0,4.0,4.367,1.816
24,10.0,5.0,9.0,8.0,7.0,5.0,8.0,3.0,4.0,4.0,6.0,3.0,11.0,2.0,11.0,3.0,2.0,5.0,4.0,3.0,5.0,4.0,6.0,3.0,5.0,4.0,3.0,6.0,4.0,2.0,5.167,2.544
25,9.0,3.0,6.0,9.0,7.0,7.0,5.0,3.0,5.0,6.0,6.0,5.0,7.0,3.0,9.0,3.0,2.0,5.0,2.0,3.0,8.0,6.0,6.0,5.0,5.0,6.0,3.0,5.0,4.0,4.0,5.233,1.978
