Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,1.233,0.844
1,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.967,0.875
2,0.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.067,0.854
3,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.667,0.699
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4,0.554
5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.467,0.618
6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.633,0.752
7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.267,0.512
8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.667,0.83
9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.6,0.611
10,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.9,0.87
11,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.867,0.763
12,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.067,0.929
13,3.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.3,1.159
14,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,1.167,1.003
15,0.0,0.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,6.0,1.0,1.0,2.0,10.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.567,1.978
16,0.0,0.0,1.0,0.0,3.0,1.0,0.0,3.0,3.0,6.0,1.0,0.0,1.0,6.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,1.5,1.586
17,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,8.0,2.0,3.0,2.0,2.0,0.0,2.0,0.0,5.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.833,1.614
18,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,7.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.6,1.381
19,1.0,1.0,5.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,10.0,1.0,3.0,3.0,2.0,3.0,0.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,2.1,1.972
20,2.0,0.0,5.0,3.0,0.0,3.0,0.0,1.0,2.0,5.0,2.0,1.0,1.0,9.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,4.0,1.0,1.0,5.0,3.0,3.0,2.0,1.0,7.0,2.5,2.029
21,0.0,0.0,5.0,3.0,3.0,3.0,1.0,3.0,4.0,5.0,4.0,3.0,2.0,9.0,0.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,3.0,1.0,4.0,4.0,3.0,2.0,3.0,5.0,2.9,1.832
22,0.0,1.0,3.0,4.0,3.0,4.0,1.0,5.0,4.0,4.0,3.0,3.0,3.0,12.0,0.0,2.0,3.0,1.0,6.0,0.0,1.0,6.0,0.0,3.0,5.0,3.0,5.0,2.0,2.0,5.0,3.133,2.405
